COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,INVOICE_AMT,NET_PAYABLE_AMT,TCS_TDS,TCS_AMT,TCS_FACTOR,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,TRANSPORTATION_CHARGE,TRANSPORTATION_AMOUNT,MARKET_MARGIN,MARKET_MARGIN_AMT,OTHER_CHARGES,OTHER_CHARGES_AMT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT
HCG&D006/21-22,2021-2022,01,S0369/20-21,8000,6.35,1,50800,SBI RATE BUY SELL,31/03/2021,73.275,null,3723432.62,83342.89,CST 2%,4254737.78,4254737.78,null,null,null,null,null,null,null,null,null,null,null,null,null,48,07/04/2021,null,null
HCG&D007/21-22,2021-2022,2-0,S0370/20-21,22275,8.77,1,195351.75,SBI RATE BUY SELL,31/03/2021,73.275,null,14318365.45,311056.36,CST 2%,15879738.44,15879738.44,null,null,null,null,null,null,null,null,null,null,null,null,null,48,07/04/2021,null,null
HCG&D022/23-24,2023-2024,06,S0215/23-24,26075.22,10.159,2,264898.16,SBI FIRST RATE TT BUY SELL,30/11/2023,83.345,null,22144918.14,518455.17,CST 2%,26441213.77,26441213.77,null,null,null,.1,null,null,null,null,null,null,null,null,null,113,03/12/2023,null,null
HCG&D024/23-24,2023-2024,06,S0262/23-24,24000,10.159,2,243816,SBI FIRST RATE TT BUY SELL,30/12/2023,83.335,null,20318406.36,475911.68,CST 2%,24271495.64,24271495.64,null,null,null,.1,null,null,null,null,null,null,null,null,null,201,04/01/2024,null,null
HCG&C036/23-24,2023-2024,06,S0390/23-24,28000,10.159,2,284452,SBI FIRST RATE TT BUY SELL,29/02/2024,82.89,null,23592448.88,552983.13,CST 2%,28202139.21,28202139.21,null,null,null,null,null,null,null,null,null,null,null,null,null,201,05/03/2024,null,null
HCG&D020/24-25,2024-2025,SN08 T2,S0161/24-25,13981.93,13,2,181765.09,SBI FIRST RATE TT SELL,14/08/2024,84.36,null,15374424.99,332569.17,CST 2%,16961027.87,16961027.87,null,null,null,.1,null,null,null,null,null,null,null,null,null,201,20/08/2024,null,null
HCG&C005/24-25,2024-2025,SN08 T1,S0180/24-25,14500,10.0674,2,145977.3,SBI FIRST RATE TT SELL,30/08/2024,83.98,null,12349679.58,286492.29,CST 2%,14611106.67,14611106.67,null,null,null,null,null,null,null,null,null,null,null,null,null,201,05/09/2024,null,null
HCG&C003/24-25,2024-2025,SN08 T1,S0145/24-25,15400,10.0674,2,155037.96,SBI FIRST RATE TT SELL,30/07/2024,83.81,null,13108459.52,304119.53,CST 2%,15510096.01,15510096.01,null,null,null,null,null,null,null,null,null,null,null,null,null,23,07/08/2024,null,null
HCG&C006/24-25,2024-2025,SN08 T1,S0193/24-25,15000,10.0674,2,151011,SBI FIRST RATE TT SELL,13/09/2024,83.73,null,12837445.11,297609.62,CST 2%,15178090.73,15178090.73,null,null,null,null,null,null,null,null,null,null,null,null,null,201,20/09/2024,null,null
HCG&D026/23-24,2023-2024,06,S0320/23-24,22494.21,10.159,2,228518.68,SBI FIRST RATE TT BUY SELL,15/01/2024,82.855,null,18967584.18,444531.99,CST 2%,22671131.3,22671131.3,null,null,null,.1,null,null,null,null,null,null,null,null,null,113,18/01/2024,null,null
