COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO,SAC_CD
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0027/23-24,null,null,LP,27,IT0027/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0688/23-24 dated 15-SEP-23,INR,875.58,12.65,11076.087,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0028/23-24,null,null,LP,28,IT0028/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0694/23-24 dated 15-SEP-23,INR,857.33,12.65,10845.2245,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0094/23-24,null,null,LP,94,IT0094/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1037/23-24 dated 15-NOV-23,INR,787.93,12.65,9967.3145,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0011/23-24,null,null,LP,11,IT0011/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0648/23-24 dated 10-SEP-23,INR,873.47,12.65,11049.3955,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0012/23-24,null,null,LP,12,IT0012/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0649/23-24 dated 10-SEP-23,INR,894.4,12.65,11314.16,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0013/23-24,null,null,LP,13,IT0013/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0652/23-24 dated 10-SEP-23,INR,879.24,12.65,11122.386,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0014/23-24,null,null,LP,14,IT0014/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0655/23-24 dated 10-SEP-23,INR,770.5,12.65,9746.825,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0015/23-24,null,null,LP,15,IT0015/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0658/23-24 dated 11-SEP-23,INR,782.05,12.65,9892.9325,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0016/23-24,null,null,LP,16,IT0016/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0660/23-24 dated 11-SEP-23,INR,868.84,12.65,10990.826,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0017/23-24,null,null,LP,17,IT0017/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0661/23-24 dated 11-SEP-23,INR,878.73,12.65,11115.9345,201,13/11/2023 00:00:00,0,null
