COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,SEQ_NO,PAY_RECV_DT,PAY_RECV_AMT,PAY_REMARK,ENT_BY,ENT_DT
S,2SMH0037/25-26,null,null,1,21/07/2025 00:00:00,14039966.26,null,201,21/07/2025 00:00:00
S,2SGJ0071/25-26,null,null,1,21/07/2025 00:00:00,56036232.23,null,201,21/07/2025 00:00:00
C,2LGJ0024/25-26,null,null,1,14/07/2025 00:00:00,81802154.56,null,201,14/07/2025 00:00:00
E,2LGJ0026/25-26,null,null,1,14/07/2025 00:00:00,641170.55,null,201,14/07/2025 00:00:00
C,2LGJ0023/25-26,null,null,1,14/07/2025 00:00:00,171252035.04,null,201,14/07/2025 00:00:00
E,2LGJ0025/25-26,null,null,1,14/07/2025 00:00:00,182638.64,null,201,14/07/2025 00:00:00
C,2LGJ0022/25-26,null,null,1,14/07/2025 00:00:00,18102731.48,null,201,14/07/2025 00:00:00
S,2SGJ0067/25-26,null,null,1,09/07/2025 00:00:00,14315218.42,null,201,09/07/2025 00:00:00
S,2SAP0009/25-26,null,null,1,09/07/2025 00:00:00,56653336.05,null,201,09/07/2025 00:00:00
S,2SGJ0068/25-26,null,null,1,09/07/2025 00:00:00,25063831.46,null,201,09/07/2025 00:00:00
S,2SAP0010/25-26,null,null,1,09/07/2025 00:00:00,45012149.59,null,201,09/07/2025 00:00:00
C,2LGJ0027/25-26,null,null,1,08/07/2025 00:00:00,340079.74,null,201,08/07/2025 00:00:00
S,2SMH0035/25-26,null,null,1,07/07/2025 00:00:00,8295472.33,null,201,07/07/2025 00:00:00
S,2SMH0036/25-26,null,null,1,07/07/2025 00:00:00,6175390.65,null,201,07/07/2025 00:00:00
S,2SAP0008/25-26,null,null,1,07/07/2025 00:00:00,133796583.57,null,201,07/07/2025 00:00:00
S,2SMH0032/25-26,null,null,1,07/07/2025 00:00:00,2775171.81,null,201,07/07/2025 00:00:00
S,2SGJ0064/25-26,null,null,1,07/07/2025 00:00:00,28077268.49,null,201,07/07/2025 00:00:00
L,2SGJ0066/25-26,null,null,1,07/07/2025 00:00:00,3039738.98,null,201,07/07/2025 00:00:00
L,2SMH0034/25-26,null,null,1,07/07/2025 00:00:00,19719972.81,null,201,07/07/2025 00:00:00
S,2DRMH0009/25-26,null,null,1,07/07/2025 00:00:00,61436.41,null,201,07/07/2025 00:00:00
S,2SMH0033/25-26,null,null,1,07/07/2025 00:00:00,18644574.9,null,201,07/07/2025 00:00:00
L,2SMH0008/25-26,null,null,1,30/06/2025 00:00:00,1211851.4,null,201,30/06/2025 00:00:00
L,2SMH0010/25-26,null,null,1,30/06/2025 00:00:00,3029628.52,null,201,30/06/2025 00:00:00
C,2LGJ0016/25-26,null,null,2,25/06/2025 00:00:00,28934765.72,null,201,25/06/2025 00:00:00
C,2LGJ0016/25-26,null,null,1,25/06/2025 00:00:00,1112875.64,null,201,25/06/2025 00:00:00
C,2LGJ0017/25-26,null,null,1,25/06/2025 00:00:00,201296068.08,null,201,25/06/2025 00:00:00
C,2LGJ0018/25-26,null,null,1,24/06/2025 00:00:00,25515197.68,null,201,24/06/2025 00:00:00
S,2SGJ0061/25-26,null,null,1,24/06/2025 00:00:00,8772562,null,201,24/06/2025 00:00:00
S,2SGJ0062/25-26,null,null,1,24/06/2025 00:00:00,186819673.68,null,201,24/06/2025 00:00:00
S,2SGJ0060/25-26,null,null,1,24/06/2025 00:00:00,5201826.51,null,201,24/06/2025 00:00:00
C,2LGJ0021/25-26,null,null,1,24/06/2025 00:00:00,2036694,null,201,24/06/2025 00:00:00
S,2SAP0007/25-26,null,null,1,24/06/2025 00:00:00,21858713.3,null,201,24/06/2025 00:00:00
S,2SMH0031/25-26,null,null,1,23/06/2025 00:00:00,9261497,null,201,23/06/2025 00:00:00
S,2DRMH0008/25-26,null,null,1,23/06/2025 00:00:00,17297.82,null,201,23/06/2025 00:00:00
S,2SMH0029/25-26,null,null,1,23/06/2025 00:00:00,8377872.83,null,201,23/06/2025 00:00:00
S,2SMH0030/25-26,null,null,1,23/06/2025 00:00:00,56349723.05,null,201,23/06/2025 00:00:00
S,2SMH0029/25-26,null,null,2,23/06/2025 00:00:00,8377872.83,null,201,23/06/2025 00:00:00
C,2LGJ0019/25-26,null,null,1,23/06/2025 00:00:00,7016223.3,null,201,23/06/2025 00:00:00
C,2LGJ0020/25-26,null,null,1,23/06/2025 00:00:00,4347811.86,null,201,23/06/2025 00:00:00
S,2SGJ0059/25-26,null,null,1,20/06/2025 00:00:00,28074467.14,null,201,20/06/2025 00:00:00
L,2DRGJ0002/25-26,null,null,2,16/06/2025 00:00:00,118290,null,201,16/06/2025 00:00:00
L,2DRGJ0001/25-26,null,null,2,16/06/2025 00:00:00,343700.47,null,201,16/06/2025 00:00:00
L,2DRMH0001/25-26,null,null,3,16/06/2025 00:00:00,164.5,null,201,16/06/2025 00:00:00
C,2LGJ0015/25-26,null,null,1,16/06/2025 00:00:00,2649372,null,201,16/06/2025 00:00:00
S,2SMH0021/25-26,null,null,1,16/06/2025 00:00:00,7668565.79,null,201,16/06/2025 00:00:00
C,2LGJ0014/25-26,null,null,1,11/06/2025 00:00:00,2336764,null,201,11/06/2025 00:00:00
C,2LGJ0012/25-26,null,null,1,11/06/2025 00:00:00,179677370.56,null,201,11/06/2025 00:00:00
C,2LGJ0011/25-26,null,null,1,11/06/2025 00:00:00,97693574.48,null,201,11/06/2025 00:00:00
S,2SGJ0044/25-26,null,null,1,09/06/2025 00:00:00,6970908.63,null,201,09/06/2025 00:00:00
C,2LGJ0013/25-26,null,null,1,09/06/2025 00:00:00,611212.06,null,201,09/06/2025 00:00:00
S,2SAP0006/25-26,null,null,1,09/06/2025 00:00:00,129536128.75,null,201,09/06/2025 00:00:00
S,2SMH0020/25-26,null,null,1,09/06/2025 00:00:00,15809901.37,null,201,09/06/2025 00:00:00
S,2SGJ0045/25-26,null,null,1,09/06/2025 00:00:00,25557564.37,null,201,09/06/2025 00:00:00
S,2SGJ0046/25-26,null,null,1,09/06/2025 00:00:00,10741878.12,null,201,09/06/2025 00:00:00
C,2LGJ0010/25-26,null,null,1,09/06/2025 00:00:00,1989438,null,201,09/06/2025 00:00:00
S,2SGJ0043/25-26,null,null,1,05/06/2025 00:00:00,29750748.07,null,201,05/06/2025 00:00:00
S,2SMH0022/25-26,null,null,1,05/06/2025 00:00:00,9683129.91,null,201,05/06/2025 00:00:00
S,2DRMH0007/25-26,null,null,1,05/06/2025 00:00:00,2798.51,null,201,05/06/2025 00:00:00
S,2DRMH0002/25-26,null,null,4,02/06/2025 00:00:00,24438.67,null,201,02/06/2025 00:00:00
S,2DRMH0003/25-26,null,null,4,02/06/2025 00:00:00,32518.6,null,201,02/06/2025 00:00:00
L,S0331/24-25,null,null,1,30/05/2025 00:00:00,4931062.36,null,201,30/05/2025 00:00:00
S,2DRMH0006/25-26,null,null,3,30/05/2025 00:00:00,629.33,null,201,30/05/2025 00:00:00
S,2DRMH0005/25-26,null,null,2,30/05/2025 00:00:00,2392.69,null,201,30/05/2025 00:00:00
S,2DRMH0004/25-26,null,null,5,30/05/2025 00:00:00,737.48,null,201,30/05/2025 00:00:00
L,S0332/24-25,null,null,1,30/05/2025 00:00:00,6862395.12,null,201,30/05/2025 00:00:00
C,2LGJ0008/25-26,null,null,1,27/05/2025 00:00:00,122204910.2,null,201,27/05/2025 00:00:00
C,2LGJ0006/25-26,null,null,1,27/05/2025 00:00:00,2790980,null,201,27/05/2025 00:00:00
C,2LGJ0007/25-26,null,null,1,27/05/2025 00:00:00,40129760.56,null,201,27/05/2025 00:00:00
S,2SAP0005/25-26,null,null,1,26/05/2025 00:00:00,153813737.57,null,201,26/05/2025 00:00:00
S,2SGJ0017/25-26,null,null,1,26/05/2025 00:00:00,37645827.99,null,201,26/05/2025 00:00:00
S,2SGJ0019/25-26,null,null,1,26/05/2025 00:00:00,11009973.43,null,201,26/05/2025 00:00:00
S,2SGJ0016/25-26,null,null,1,26/05/2025 00:00:00,534338.28,null,201,26/05/2025 00:00:00
S,2SMH0017/25-26,null,null,1,26/05/2025 00:00:00,114350877.91,null,201,26/05/2025 00:00:00
L,2SGJ0015/25-26,null,null,1,22/05/2025 00:00:00,33200358.56,null,201,22/05/2025 00:00:00
L,2SGJ0020/25-26,null,null,1,22/05/2025 00:00:00,792789.48,null,201,22/05/2025 00:00:00
C,2LGJ0009/25-26,null,null,1,22/05/2025 00:00:00,1073154.12,null,201,22/05/2025 00:00:00
S,2DRMH0005/25-26,null,null,1,21/05/2025 00:00:00,2392.69,null,201,21/05/2025 00:00:00
S,2DRMH0004/25-26,null,null,4,21/05/2025 00:00:00,736.76,null,201,21/05/2025 00:00:00
S,2SMH0019/25-26,null,null,1,21/05/2025 00:00:00,7211940.36,null,201,21/05/2025 00:00:00
S,2DRMH0006/25-26,null,null,1,20/05/2025 00:00:00,629.33,null,201,20/05/2025 00:00:00
S,2DRMH0006/25-26,null,null,2,20/05/2025 00:00:00,629.33,null,201,20/05/2025 00:00:00
S,2SGJ0018/25-26,null,null,1,20/05/2025 00:00:00,27891326.31,null,201,20/05/2025 00:00:00
S,2SMH0018/25-26,null,null,1,20/05/2025 00:00:00,8373524.59,null,201,20/05/2025 00:00:00
S,S0335/24-25,null,null,1,19/05/2025 00:00:00,5096931.92,null,201,19/05/2025 00:00:00
C,2LGJ0004/25-26,null,null,1,12/05/2025 00:00:00,85321753.04,null,201,12/05/2025 00:00:00
S,2SGJ0012/25-26,null,null,1,09/05/2025 00:00:00,2743267.94,null,201,09/05/2025 00:00:00
S,2SGJ0013/25-26,null,null,1,09/05/2025 00:00:00,125601782.23,null,201,09/05/2025 00:00:00
S,2SGJ0014/25-26,null,null,1,09/05/2025 00:00:00,222370038.29,null,201,09/05/2025 00:00:00
S,2SAP0004/25-26,null,null,1,09/05/2025 00:00:00,95025289.95,null,201,09/05/2025 00:00:00
S,2DRMH0003/25-26,null,null,3,09/05/2025 00:00:00,32550.2,null,201,09/05/2025 00:00:00
L,2SMH0011/25-26,null,null,1,08/05/2025 00:00:00,506070.49,null,201,08/05/2025 00:00:00
L,2SAP0003/25-26,null,null,1,08/05/2025 00:00:00,129384887.08,null,201,08/05/2025 00:00:00
L,2SMH0012/25-26,null,null,1,08/05/2025 00:00:00,102835928.51,null,201,08/05/2025 00:00:00
L,2SGJ0010/25-26,null,null,1,08/05/2025 00:00:00,65855548.82,null,201,08/05/2025 00:00:00
L,2SGJ0011/25-26,null,null,1,08/05/2025 00:00:00,178385964.15,null,201,08/05/2025 00:00:00
L,2DRGJ0001/25-26,null,null,1,08/05/2025 00:00:00,343700.47,null,201,08/05/2025 00:00:00
L,2DRGJ0002/25-26,null,null,1,08/05/2025 00:00:00,118290,null,201,08/05/2025 00:00:00
C,2LGJ0005/25-26,null,null,1,07/05/2025 00:00:00,2745990.88,null,201,07/05/2025 00:00:00
S,2SGJ0008/25-26,null,null,1,06/05/2025 00:00:00,27792712.01,null,201,06/05/2025 00:00:00
S,2SMH0007/25-26,null,null,1,06/05/2025 00:00:00,17494899.46,null,201,06/05/2025 00:00:00
S,2SGJ0009/25-26,null,null,1,06/05/2025 00:00:00,7930745.98,null,201,06/05/2025 00:00:00
S,2SMH0006/25-26,null,null,1,06/05/2025 00:00:00,13864026.8,null,201,06/05/2025 00:00:00
S,2SMH0009/25-26,null,null,1,06/05/2025 00:00:00,9337178.95,null,201,06/05/2025 00:00:00
L,2SGJ0006/25-26,null,null,1,28/04/2025 00:00:00,192433181.17,null,201,28/04/2025 00:00:00
L,2SMH0005/25-26,null,null,1,28/04/2025 00:00:00,24116100.42,null,201,28/04/2025 00:00:00
L,2SGJ0007/25-26,null,null,1,28/04/2025 00:00:00,30645844.17,null,201,28/04/2025 00:00:00
L,2DRMH0001/25-26,null,null,1,28/04/2025 00:00:00,164.5,null,201,28/04/2025 00:00:00
L,2DRMH0001/25-26,null,null,2,28/04/2025 00:00:00,164.5,null,201,28/04/2025 00:00:00
S,2DRMH0004/25-26,null,null,3,28/04/2025 00:00:00,737.48,null,201,28/04/2025 00:00:00
S,2SGJ0001/25-26,null,null,1,28/04/2025 00:00:00,7234920.7,null,201,28/04/2025 00:00:00
C,2LGJ0002/25-26,null,null,1,28/04/2025 00:00:00,9478928.56,null,201,28/04/2025 00:00:00
L,2SAP0002/25-26,null,null,1,28/04/2025 00:00:00,126467164.69,null,201,28/04/2025 00:00:00
L,2SMH0004/25-26,null,null,1,28/04/2025 00:00:00,161253388.31,null,201,28/04/2025 00:00:00
C,2LGJ0003/25-26,null,null,1,28/04/2025 00:00:00,83551230.96,null,201,28/04/2025 00:00:00
S,2DRMH0003/25-26,null,null,2,24/04/2025 00:00:00,32550.2,null,201,24/04/2025 00:00:00
S,2SAP0001/25-26,null,null,1,24/04/2025 00:00:00,58744047.66,null,201,24/04/2025 00:00:00
S,2SGJ0003/25-26,null,null,1,24/04/2025 00:00:00,4208677.36,null,201,24/04/2025 00:00:00
S,2SGJ0004/25-26,null,null,1,24/04/2025 00:00:00,4802715.87,null,201,24/04/2025 00:00:00
S,2SGJ0005/25-26,null,null,1,24/04/2025 00:00:00,28789264.12,null,201,24/04/2025 00:00:00
S,2DRMH0004/25-26,null,null,1,24/04/2025 00:00:00,737.48,null,201,24/04/2025 00:00:00
S,2DRMH0004/25-26,null,null,2,24/04/2025 00:00:00,737.48,null,201,24/04/2025 00:00:00
S,2SMH0002/25-26,null,null,1,24/04/2025 00:00:00,5418141.71,null,201,24/04/2025 00:00:00
S,2SMH0001/25-26,null,null,1,24/04/2025 00:00:00,4290068.09,null,201,24/04/2025 00:00:00
C,2LGJ0001/25-26,null,null,1,22/04/2025 00:00:00,2556602.32,null,201,22/04/2025 00:00:00
S,2SGJ0002/25-26,null,null,1,21/04/2025 00:00:00,27961765.09,null,201,21/04/2025 00:00:00
S,2DRMH0003/25-26,null,null,1,21/04/2025 00:00:00,32550.2,null,201,21/04/2025 00:00:00
S,2DRMH0002/25-26,null,null,3,21/04/2025 00:00:00,24462.42,null,201,21/04/2025 00:00:00
S,2SMH0003/25-26,null,null,1,21/04/2025 00:00:00,7999201.44,null,201,21/04/2025 00:00:00
S,SAP0031/24-25,null,null,1,17/04/2025 00:00:00,35252894.72,null,201,17/04/2025 00:00:00
S,2DRMH0002/25-26,null,null,1,17/04/2025 00:00:00,24461.71,null,201,17/04/2025 00:00:00
S,SAP0032/24-25,null,null,1,17/04/2025 00:00:00,36255182.9,null,201,17/04/2025 00:00:00
S,2DRMH0002/25-26,null,null,2,17/04/2025 00:00:00,24461.71,null,201,17/04/2025 00:00:00
S,S0339/24-25,null,null,1,14/04/2025 00:00:00,7697918.21,null,201,14/04/2025 00:00:00
C,L00109/24-25,null,null,1,14/04/2025 00:00:00,2540506,null,201,14/04/2025 00:00:00
S,D029/23-24,null,null,1,10/04/2025 00:00:00,75679.66,null,201,10/04/2025 00:00:00
C,L00108/24-25,null,null,1,10/04/2025 00:00:00,11550567.2,null,201,10/04/2025 00:00:00
S,SMH0113/24-25,null,null,1,10/04/2025 00:00:00,15238572.85,null,201,10/04/2025 00:00:00
S,D030/24-25,null,null,1,10/04/2025 00:00:00,514.75,null,201,10/04/2025 00:00:00
C,L00106/24-25,null,null,1,10/04/2025 00:00:00,23497234.08,null,201,10/04/2025 00:00:00
C,L00107/24-25,null,null,1,10/04/2025 00:00:00,199533633.44,null,201,10/04/2025 00:00:00
S,SMH0116/24-25,null,null,1,08/04/2025 00:00:00,41732.42,null,201,08/04/2025 00:00:00
S,S0334/24-25,null,null,1,08/04/2025 00:00:00,6637614.01,null,201,08/04/2025 00:00:00
S,S0333/24-25,null,null,1,08/04/2025 00:00:00,14409645.52,null,201,08/04/2025 00:00:00
S,SAP0029/24-25,null,null,1,08/04/2025 00:00:00,56644179.9,null,201,08/04/2025 00:00:00
S,S0336/24-25,null,null,1,08/04/2025 00:00:00,6774437.3,null,201,08/04/2025 00:00:00
S,DAP008/24-25,null,null,1,07/04/2025 00:00:00,1766.52,null,201,07/04/2025 00:00:00
S,SAP0030/24-25,null,null,1,07/04/2025 00:00:00,14562992.16,null,201,07/04/2025 00:00:00
S,SMH0115/24-25,null,null,1,07/04/2025 00:00:00,10025343.46,null,201,07/04/2025 00:00:00
C,L00105/24-25,null,null,1,07/04/2025 00:00:00,322557.32,null,201,07/04/2025 00:00:00
L,S0341/24-25,null,null,1,07/04/2025 00:00:00,22558771.02,null,201,07/04/2025 00:00:00
L,SAP0028/24-25,null,null,1,07/04/2025 00:00:00,176785857.77,null,201,07/04/2025 00:00:00
L,SMH0117/24-25,null,null,1,07/04/2025 00:00:00,21035.79,null,201,07/04/2025 00:00:00
S,S0340/24-25,null,null,1,07/04/2025 00:00:00,29110013.9,null,201,07/04/2025 00:00:00
S,S0338/24-25,null,null,1,07/04/2025 00:00:00,7980946.26,null,201,07/04/2025 00:00:00
S,S0337/24-25,null,null,1,07/04/2025 00:00:00,7980946.26,null,201,07/04/2025 00:00:00
S,SMH0114/24-25,null,null,1,07/04/2025 00:00:00,11355819.35,null,201,07/04/2025 00:00:00
L,S0342/24-25,null,null,1,07/04/2025 00:00:00,165138128.4,null,201,07/04/2025 00:00:00
S,S0321/24-25,null,null,1,26/03/2025 00:00:00,6935972.38,null,201,26/03/2025 00:00:00
K,D010/24-25,null,null,1,26/03/2025 00:00:00,1234755.9,null,201,26/03/2025 00:00:00
S,S0320/24-25,null,null,1,26/03/2025 00:00:00,12175497.06,null,201,26/03/2025 00:00:00
K,D011/24-25,null,null,1,26/03/2025 00:00:00,3371950.68,null,201,26/03/2025 00:00:00
C,L00100/24-25,null,null,1,26/03/2025 00:00:00,24272628.76,null,201,26/03/2025 00:00:00
C,L00099/24-25,null,null,1,26/03/2025 00:00:00,106246942.08,null,201,26/03/2025 00:00:00
C,L00104/24-25,null,null,1,26/03/2025 00:00:00,3958366,null,201,26/03/2025 00:00:00
S,DMH043/24-25,null,null,1,26/03/2025 00:00:00,1417.46,null,201,26/03/2025 00:00:00
K,D024/24-25,null,null,1,26/03/2025 00:00:00,1317072.96,null,201,26/03/2025 00:00:00
K,D021/24-25,null,null,1,26/03/2025 00:00:00,3460792.13,null,201,26/03/2025 00:00:00
K,D017/24-25,null,null,1,26/03/2025 00:00:00,1234755.9,null,201,26/03/2025 00:00:00
K,D018/24-25,null,null,1,26/03/2025 00:00:00,3158536.08,null,201,26/03/2025 00:00:00
K,D014/24-25,null,null,1,26/03/2025 00:00:00,3536584.8,null,201,26/03/2025 00:00:00
K,D013/24-25,null,null,1,26/03/2025 00:00:00,1317072.96,null,201,26/03/2025 00:00:00
S,S0328/24-25,null,null,1,25/03/2025 00:00:00,1446401.21,null,201,25/03/2025 00:00:00
S,S0324/24-25,null,null,1,25/03/2025 00:00:00,1084800.91,null,201,25/03/2025 00:00:00
S,S0327/24-25,null,null,1,24/03/2025 00:00:00,3814883.19,null,201,24/03/2025 00:00:00
S,S0314/24-25,null,null,1,24/03/2025 00:00:00,5096266.39,null,201,24/03/2025 00:00:00
S,S0315/24-25,null,null,1,24/03/2025 00:00:00,1280503.16,null,201,24/03/2025 00:00:00
S,DAP007/24-25,null,null,1,24/03/2025 00:00:00,3454.36,null,201,24/03/2025 00:00:00
S,DMH044/24-25,null,null,1,24/03/2025 00:00:00,50.42,null,201,24/03/2025 00:00:00
L,S0330/24-25,null,null,1,24/03/2025 00:00:00,11793457.49,null,201,24/03/2025 00:00:00
L,SMH0110/24-25,null,null,1,24/03/2025 00:00:00,6083574.82,null,201,24/03/2025 00:00:00
L,SMH0112/24-25,null,null,1,24/03/2025 00:00:00,8730995.56,null,201,24/03/2025 00:00:00
L,SAP0027/24-25,null,null,1,24/03/2025 00:00:00,163710854.74,null,201,24/03/2025 00:00:00
L,S0329/24-25,null,null,1,24/03/2025 00:00:00,177756334.31,null,201,24/03/2025 00:00:00
C,L00101/24-25,null,null,1,24/03/2025 00:00:00,308602.06,null,201,24/03/2025 00:00:00
S,SAP0026/24-25,null,null,1,21/03/2025 00:00:00,13593940.54,null,201,21/03/2025 00:00:00
S,SMH0111/24-25,null,null,1,21/03/2025 00:00:00,9412727.1,null,201,21/03/2025 00:00:00
S,SMH0109/24-25,null,null,1,21/03/2025 00:00:00,14515889.2,null,201,21/03/2025 00:00:00
S,S0326/24-25,null,null,1,21/03/2025 00:00:00,4856839.06,null,201,21/03/2025 00:00:00
S,S0325/24-25,null,null,1,21/03/2025 00:00:00,25953627.68,null,201,21/03/2025 00:00:00
S,S0323/24-25,null,null,1,21/03/2025 00:00:00,7350091.97,null,201,21/03/2025 00:00:00
S,S0322/24-25,null,null,1,21/03/2025 00:00:00,7350091.97,null,201,21/03/2025 00:00:00
S,SAP0025/24-25,null,null,1,21/03/2025 00:00:00,102873253.85,null,201,21/03/2025 00:00:00
S,DAP006/24-25,null,null,1,21/03/2025 00:00:00,4996.9,null,201,21/03/2025 00:00:00
S,SMH0108/24-25,null,null,1,21/03/2025 00:00:00,10243592.57,null,201,21/03/2025 00:00:00
E,L00102/24-25,null,null,1,21/03/2025 00:00:00,8296245.85,null,201,21/03/2025 00:00:00
C,L00103/24-25,null,null,1,21/03/2025 00:00:00,4374783.5,null,201,21/03/2025 00:00:00
S,SAP0024/24-25,null,null,1,17/03/2025 00:00:00,12054432.1,null,201,17/03/2025 00:00:00
S,SMH0107/24-25,null,null,1,17/03/2025 00:00:00,10823636.33,null,201,17/03/2025 00:00:00
C,L00091/24-25,null,null,1,17/03/2025 00:00:00,2546806,null,201,17/03/2025 00:00:00
S,S0309/24-25,null,null,1,15/03/2025 00:00:00,7711688.31,null,201,15/03/2025 00:00:00
S,S0308/24-25,null,null,1,15/03/2025 00:00:00,12398288.72,null,201,15/03/2025 00:00:00
C,L00092/24-25,null,null,1,15/03/2025 00:00:00,27375278.8,null,201,15/03/2025 00:00:00
C,L00093/24-25,null,null,1,15/03/2025 00:00:00,70860143.28,null,201,15/03/2025 00:00:00
E,L00096/24-25,null,null,1,10/03/2025 00:00:00,114970.7,null,201,10/03/2025 00:00:00
E,L00098/24-25,null,null,1,10/03/2025 00:00:00,1034736.57,null,201,10/03/2025 00:00:00
L,S0319/24-25,null,null,1,10/03/2025 00:00:00,240841.53,null,201,10/03/2025 00:00:00
L,SMH0106/24-25,null,null,1,10/03/2025 00:00:00,31504840.79,null,201,10/03/2025 00:00:00
L,SMH0105/24-25,null,null,1,10/03/2025 00:00:00,61630096.73,null,201,10/03/2025 00:00:00
S,S0318/24-25,null,null,1,07/03/2025 00:00:00,24101825.07,null,201,07/03/2025 00:00:00
C,L00094/24-25,null,null,1,07/03/2025 00:00:00,4613326.34,null,201,07/03/2025 00:00:00
E,L00097/24-25,null,null,1,07/03/2025 00:00:00,30480401.94,null,201,07/03/2025 00:00:00
E,L00095/24-25,null,null,1,07/03/2025 00:00:00,1189724.73,null,201,07/03/2025 00:00:00
S,SAP0023/24-25,null,null,1,07/03/2025 00:00:00,173537881.17,null,201,07/03/2025 00:00:00
S,S0312/24-25,null,null,1,07/03/2025 00:00:00,2617870.49,null,201,07/03/2025 00:00:00
S,S0313/24-25,null,null,1,07/03/2025 00:00:00,629386.14,null,201,07/03/2025 00:00:00
S,SMH0104/24-25,null,null,1,07/03/2025 00:00:00,7616143.53,null,201,07/03/2025 00:00:00
S,S0311/24-25,null,null,1,07/03/2025 00:00:00,4496833.56,null,201,07/03/2025 00:00:00
S,SMH0103/24-25,null,null,1,07/03/2025 00:00:00,8747273.7,null,201,07/03/2025 00:00:00
S,S0310/24-25,null,null,1,07/03/2025 00:00:00,6397855.45,null,201,07/03/2025 00:00:00
L,SMH0090/24-25,null,null,1,06/03/2025 00:00:00,241663881.54,null,201,06/03/2025 00:00:00
S,SMH0095/24-25,null,null,1,27/02/2025 00:00:00,8878014.77,null,201,27/02/2025 00:00:00
S,SAP0022/24-25,null,null,1,27/02/2025 00:00:00,14000106.22,null,201,27/02/2025 00:00:00
S,DMH042/24-25,null,null,1,27/02/2025 00:00:00,7632.09,null,201,27/02/2025 00:00:00
C,L00090/24-25,null,null,1,27/02/2025 00:00:00,833570,null,201,27/02/2025 00:00:00
C,L00087/24-25,null,null,1,27/02/2025 00:00:00,50473580.16,null,201,27/02/2025 00:00:00
S,S0299/24-25,null,null,1,25/02/2025 00:00:00,11591073.03,null,201,25/02/2025 00:00:00
S,S0300/24-25,null,null,1,25/02/2025 00:00:00,8561165.6,null,201,25/02/2025 00:00:00
L,S0307/24-25,null,null,1,24/02/2025 00:00:00,85243.48,null,201,24/02/2025 00:00:00
K,SMH0094/24-25,null,null,1,24/02/2025 00:00:00,1187010.92,null,164,24/02/2025 00:00:00
K,SMH0093/24-25,null,null,1,24/02/2025 00:00:00,4711009.71,null,164,24/02/2025 00:00:00
K,SMH0093/24-25,null,null,2,24/02/2025 00:00:00,4708994.4,null,164,24/02/2025 00:00:00
K,SMH0098/24-25,null,null,1,24/02/2025 00:00:00,31160600.09,null,164,24/02/2025 00:00:00
K,SMH0092/24-25,null,null,1,24/02/2025 00:00:00,13098939.07,null,164,24/02/2025 00:00:00
L,SMH0096/24-25,null,null,1,24/02/2025 00:00:00,858879.44,null,201,24/02/2025 00:00:00
