COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_CONTACT_PERSON_CD,TRANS_BU_UNIT,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,INVOICE_DT,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,ALLOC_QTY,NEG_IMB_QTY,POS_IMB_QTY,UNAUTH_OVERRUN_QTY,RATE_UNIT,TRANSPORT_RATE,POSITIVE_IMB_RATE,NEGETIVE_IMB_RATE,UNAUTH_OVERRUN_RATE,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,TAX_EFF_DT,INVOICE_AMT,ADJUST_SIGN,ADJUST_AMT,NET_PAYABLE_AMT,INV_STATUS,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,FINANCIAL_YEAR,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,NEG_IMB_AMT,POS_IMB_AMT,UNAUTH_OVERRUN_AMT,DEFICIENCY_QTY,SIP_PAY_RATE,DEFICIENCY_AMT,TRANSMISSION_AMT,SIP_PAY_FREQ,TDS_AMT,TDS_FACTOR,TDS_STRUCT_CD,TDS_EFF_DT,TCS_TDS,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,SYS_INV_NO,INV_COMPONENT,PARKING_QTY,PARKING_RATE,PARKING_AMT
Gail,16-1-32-16-1601-1141,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001877,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,18355,null,null,null,1,18355,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,113,20/03/202300:00:00,2022-2023,O,113,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-5-16-1603-861,R,null,null,null,R,null,null,1,PC/PC,2022-2023,UPG2A22109006588,28/02/202300:00:00,2,16/02/2023 00:00:00,28/02/2023 00:00:00,04/03/202300:00:00,,null,null,null,1,null,null,null,null,166012,null,null,null,1,166012,null,null,null,null,null,null,null,null,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,23,23/03/202300:00:00,2022-2023,O,23,23/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-10-16-1604-782,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001788,28/02/202300:00:00,2,16/02/2023 00:00:00,28/02/2023 00:00:00,04/03/202300:00:00,,null,null,null,1,null,null,null,null,126921,null,null,null,1,126921,null,null,null,null,null,null,null,null,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,23,23/03/202300:00:00,2022-2023,O,23,23/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-1-16-1603-851,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MPG2A22106002763,28/02/202300:00:00,2,16/02/2023 00:00:00,28/02/2023 00:00:00,04/03/202300:00:00,,null,null,null,1,null,null,null,null,27495,null,null,null,1,27495,null,null,null,null,null,null,null,null,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,23,23/03/202300:00:00,2022-2023,O,23,23/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-15-16-1604-333,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103003412,28/02/202300:00:00,2,16/02/2023 00:00:00,28/02/2023 00:00:00,04/03/202300:00:00,,null,null,null,1,null,null,null,null,9603914,null,null,null,1,9603914,null,null,null,null,null,null,null,null,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,Y,6,24/03/202300:00:00,23,23/03/202300:00:00,2022-2023,O,23,23/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-3-16-1603-581,R,null,null,null,R,null,null,1,PC/PC,2022-2023,RJG2A22107001314,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,1287776,null,null,null,1,1287776,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,113,06/01/202300:00:00,2022-2023,O,113,06/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-7-16-1604-101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001286,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,1408,null,null,null,1,1408,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,23,09/01/202300:00:00,2022-2023,O,23,09/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-8-16-1601-411,R,null,null,null,R,null,null,1,PC/PC,2022-2023,UPG2A22109004617,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,6974952,null,null,null,1,6974952,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,23,09/01/202300:00:00,2022-2023,O,23,09/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-17-16-1601-82,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103002798,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,42746,null,null,null,1,42746,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,130,23/01/202300:00:00,2022-2023,O,130,23/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-7-16-1604-101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001437,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,953827,null,null,null,1,953827,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,Y,6,09/02/202300:00:00,130,31/01/202300:00:00,2022-2023,O,130,31/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-5-16-1603-861,R,null,null,null,R,null,null,1,PC/PC,2022-2023,UPG2A22109006043,31/01/202300:00:00,2,16/01/2023 00:00:00,31/01/2023 00:00:00,04/02/202300:00:00,,null,null,null,1,null,null,null,null,431431,null,null,null,1,431431,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,N,null,null,130,07/02/202300:00:00,2022-2023,O,130,07/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-2-16-1604-542,R,null,null,null,R,null,null,1,PC/PC,2022-2023,HRG2A22136000647,31/01/202300:00:00,2,16/01/2023 00:00:00,31/01/2023 00:00:00,05/02/202300:00:00,,null,null,null,1,null,null,null,null,595099,null,null,null,1,595099,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,N,null,null,130,08/02/202300:00:00,2022-2023,O,130,08/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-2-16-1604-542,R,null,null,null,R,null,null,1,PC/PC,2022-2023,HRG2A22136000657,31/01/202300:00:00,2,16/01/2023 00:00:00,31/01/2023 00:00:00,04/02/202300:00:00,,null,null,null,1,null,null,null,null,2088,null,null,null,1,2088,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,N,null,null,130,08/02/202300:00:00,2022-2023,O,130,08/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-21-16-1604-92,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103003056,22/01/202300:00:00,2,16/01/2023 00:00:00,22/01/2023 00:00:00,05/02/202300:00:00,,null,null,null,1,null,null,null,null,5322366,null,null,null,1,5322366,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,N,null,null,130,08/02/202300:00:00,2022-2023,O,130,08/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-4-16-1604-1101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GAG2A22134000334,15/02/202300:00:00,1,01/02/2023 00:00:00,15/02/2023 00:00:00,22/02/202300:00:00,,null,null,null,1,null,null,null,null,217906,null,null,null,1,217906,null,null,null,null,null,null,null,null,Y,6,13/03/202300:00:00,Y,6,13/03/202300:00:00,Y,6,13/03/202300:00:00,169,13/03/202300:00:00,2022-2023,O,169,13/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-2-16-1604-542,R,null,null,null,R,null,null,1,PC/PC,2022-2023,HRG2A22136000559,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,26790,null,null,null,1,26790,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,113,04/01/202300:00:00,2022-2023,O,113,04/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-13-16-1601-782,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001270,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,33626552,null,null,null,1,33626552,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,23,11/01/202300:00:00,2022-2023,O,23,11/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-10-16-1604-782,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001269,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,1617495,null,null,null,1,1617495,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,23,11/01/202300:00:00,2022-2023,O,23,11/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-12-16-1604-782,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001267,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,191278,null,null,null,1,191278,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,23,11/01/202300:00:00,2022-2023,O,23,11/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-18-16-1602-101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001685,15/02/202300:00:00,1,01/02/2023 00:00:00,15/02/2023 00:00:00,20/02/202300:00:00,,null,null,null,1,null,null,null,null,2258255,null,null,null,1,2258255,null,null,null,null,null,null,null,null,Y,6,02/03/202300:00:00,Y,6,02/03/202300:00:00,Y,6,02/03/202300:00:00,49,28/02/202300:00:00,2022-2023,O,49,28/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-23-16-1601-442,R,null,null,null,R,null,null,1,PC/PC,2022-2023,PBG2A22141000685,15/02/202300:00:00,1,01/02/2023 00:00:00,15/02/2023 00:00:00,22/02/202300:00:00,,null,null,null,1,null,null,null,null,3745560,null,null,null,1,3745560,null,null,null,null,null,null,null,null,Y,6,02/03/202300:00:00,Y,6,02/03/202300:00:00,Y,6,02/03/202300:00:00,49,28/02/202300:00:00,2022-2023,O,49,28/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-5-16-1603-861,R,null,null,null,R,null,null,1,PC/PC,2022-2023,UPG2A22109004661,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,240178,null,null,null,1,240178,null,null,null,null,null,null,null,null,Y,6,20/01/202300:00:00,Y,6,20/01/202300:00:00,N,null,null,113,09/01/202300:00:00,2022-2023,O,113,09/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-9-16-1602-782,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001271,31/12/202200:00:00,2,16/12/2022 00:00:00,31/12/2022 00:00:00,05/01/202300:00:00,,null,null,null,1,null,null,null,null,2676014,null,null,null,1,2676014,null,null,null,null,null,null,null,null,N,null,null,N,null,null,N,null,null,23,10/01/202300:00:00,2022-2023,O,23,10/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-16-16-1605-10000165,R,null,null,null,R,null,null,1,PC/PC,2022-2023,APG2A22100000974,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,94903,null,null,null,1,94903,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,130,23/01/202300:00:00,2022-2023,O,130,23/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-5-16-1603-861,R,null,null,null,R,null,null,1,PC/PC,2022-2023,UPG2A22109005177,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,396127,null,null,null,1,396127,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,130,23/01/202300:00:00,2022-2023,O,130,23/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-6-16-1603-852,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MPG2A22106002143,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,19974,null,null,null,1,19974,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,130,23/01/202300:00:00,2022-2023,O,130,23/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-14-16-1601-81,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103002837,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,21/01/202300:00:00,,null,null,null,1,null,null,null,null,68013,null,null,null,1,68013,null,null,null,null,null,null,null,null,Y,6,23/01/202300:00:00,Y,6,23/01/202300:00:00,Y,6,09/02/202300:00:00,130,23/01/202300:00:00,2022-2023,O,130,23/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-14-16-1601-81,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103002840,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,21/01/202300:00:00,,null,null,null,1,null,null,null,null,2010,null,null,null,1,2010,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,130,23/01/202300:00:00,2022-2023,O,130,23/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-18-16-1602-101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001438,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,2255148,null,null,null,1,2255148,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,130,23/01/202300:00:00,2022-2023,O,130,23/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-18-16-1602-101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,MHG2A22105001607,31/01/202300:00:00,2,16/01/2023 00:00:00,31/01/2023 00:00:00,05/02/202300:00:00,,null,null,null,1,null,null,null,null,2401482,null,null,null,1,2401482,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,N,null,null,130,07/02/202300:00:00,2022-2023,O,130,07/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-4-16-1604-1101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GAG2A22134000322,31/01/202300:00:00,2,16/01/2023 00:00:00,31/01/2023 00:00:00,05/02/202300:00:00,,null,null,null,1,null,null,null,null,238941,null,null,null,1,238941,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,N,null,null,130,07/02/202300:00:00,2022-2023,O,130,07/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-29-16-1601-401,R,null,null,null,R,null,null,1,PC/PC,2022-2023,RJG2A22107001867,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,5977091,null,null,null,1,5977091,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,130,20/03/202300:00:00,2022-2023,O,130,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-25-16-1601-402,R,null,null,null,R,null,null,1,PC/PC,2022-2023,RJG2A22107001869,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,5977091,null,null,null,1,5977091,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,130,20/03/202300:00:00,2022-2023,O,130,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
