COMPANY_CD,REPORT_DT,BUY_SELL,COUNTERPARTY_CD,COUNTERPARTY_NM,CONTRACT_TYPE,MAPPING_ID,CONT_REF,CONT_SIGN_DT,CONT_START_DT,CONT_END_DT,CONT_ENT_BY,CONT_ENT_DT,CONT_APRV_BY,CONT_APRV_DT,CONT_STATUS,PRICE_TYPE,CONT_PRICE,RATE_UNIT,PHYS_CURVE,FIN_CURVE,TOT_DCQ,TOT_ALLOC_QTY,TOT_ORI_EXPO_PHY,TOT_ORI_EXPO_FIN,TOT_UNR_EXPO_PHY,TOT_UNR_EXPO_FIN,TOT_R_EXPO_PHY,TOT_R_EXPO_FIN,TOT_UNR_PHY_LEG,TOT_UNR_FIN_LEG,TOT_R_FIN_LEG,TOT_MTM_TOTAL,PHYS_FWD_PRICE_DT,FIN_FWD_PRICE_DT,ENT_BY,ENT_DT,DEAL_NUM
2,23/12/2022 00:00:00,Sell,PipeInfra,Pipeline Infrastructure Limited,S,S43-1-0-1-0,S-1-0-1-0,26/04/2022 00:00:00,26/04/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-375000,-1500,-375000,0,-12000,0,-363000,0,-343824,0,24239.25,-319584.75,null,null,4,26/04/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,KRIBHCO,Krishak Bharati Cooperative Limited,L,L9-25-0-1-0,L-25-1-0,03/01/2022 00:00:00,03/01/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-181137,-2497,-181137,0,-3992,0,-177145,0,-114378.8,0,5333.98,-109044.82,null,null,4,15/03/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,L,L2-3-0-1-0,L-3-1-0,20/07/2022 00:00:00,20/07/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-824835,-4000,-824835,0,-39992,0,-784843,0,-1145850.8,0,3611.76,-1142239.04,null,null,4,20/07/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,L,L2-5-0-1-0,L-5-1-0,29/08/2022 00:00:00,29/08/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-62375,0,-62375,0,-3992,0,-58383,0,-114378.8,0,39920,-74458.8,null,null,4,29/08/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,TGPL,TOTAL Gas & Power Limited,N,B1-21002-0-2-1,21002,12/06/2021 00:00:00,12/06/2021 00:00:00,24/06/2021 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,2121211.95,0,2121211.95,0,0,0,2121211.95,0,0,0,0,0,null,null,4,12/06/2021 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,N,B3-21001-0-21001-1,21001,25/02/2021 00:00:00,06/03/2021 00:00:00,25/03/2021 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,150000,0,150000,0,0,0,150000,0,0,0,0,0,null,null,4,26/02/2021 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,N,B3-21005-0-21002-1,21003,09/11/2021 00:00:00,01/11/2021 00:00:00,30/11/2021 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,24999.9,2272.7272,24999.9,0,0,0,24999.9,0,0,0,-1363.64,-1363.64,null,null,4,09/11/2021 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,N,B3-21005-0-21002-2,21004,09/11/2021 00:00:00,09/11/2021 00:00:00,30/11/2021 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,24999.92,12000,24999.92,0,0,0,24999.92,0,0,0,-9600,-9600,null,null,4,09/11/2021 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,N,B3-21006-0-21003-1,21005,06/12/2021 00:00:00,10/12/2021 00:00:00,13/12/2021 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,25000,0,25000,0,0,0,25000,0,0,0,0,0,null,null,4,10/12/2021 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,N,B3-21006-0-21003-2,21006,06/12/2021 00:00:00,10/12/2021 00:00:00,13/12/2021 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,25000,0,25000,0,0,0,25000,0,0,0,0,0,null,null,4,10/12/2021 00:00:00,null
