COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,PLANT_SEQ,INVOICE_NO,INVOICE_SEQ,INVOICE_ID_SEQ,DR_CR_REF_NO,DR_CR_NO,CRITERIA,DR_CR_FLAG,DR_CR_SEQ,ITEM_DESCRIPTION,LINE_SEQ,ITEM_CD,ITEM_EFF_DT,ITEM_AMT,ITEM_DIFF_AMT,ITEM_DIFF_VALUE
AMNS,2021-2022,65,1,0,21,0,S,1,2,S0191/21-22,191,191,C006/21-22,C006/21-22,10,CR,null,null,1,10,null,null,null,null
AMNS,2022-2023,69,1,0,24,0,S,2,3,SMH0087/22-23,87,87,DMH002/22-23,DMH002/22-23,10,DR,null,Imbalance Charges,1,10,null,null,null,null
AMNS,2022-2023,69,1,0,24,0,S,2,3,SMH0093/22-23,93,93,DMH004/22-23,DMH004/22-23,10,DR,null, Imbalance and Ship or Pay charges,1,10,null,null,null,null
AMNS,2022-2023,69,1,0,24,0,S,2,3,SMH0103/22-23,103,103,DMH006/22-23,DMH006/22-23,10,DR,null, Imbalance Charges,1,10,null,null,null,null
AMNS,2023-2024,C-33-11921-29-0,11921,0,29,0,O,1,1,L00002/23-24,2,2,C0001/23-24,C0001/23-24,1,CR,null,null,1,1,null,82.025,81.825,0.2000
AMNS,2023-2024,C-33-11921-31-0,11921,0,31,0,O,1,1,L00020/23-24,20,20,C0004/23-24,C0004/23-24,10,CR,null,null,1,10,null,null,null,null
AMNS,2016-2017,C-33-12017-1-0,12017,0,1,0,O,1,1,0669@2016-2017,669,669,0005/16-17,0005/16-17,10,CR,null,null,1,10,null,null,null,null
AMNS,2019-2020,C-33-11719-2-0,11719,0,2,0,O,1,1,00692/19-20,692,692,D001/19-20,D001/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
AMNS,2025-2026,,1,2,39,0,S,3,5,2SAP0008/25-26,8,8,2CRAP0004/25-26,2CRAP0004/25-26,6,CR,null,OTHERS,1,6,null,null,null,null
AMNS,2025-2026,,1,2,39,0,S,2,3,2SMH0036/25-26,36,36,2CRMH0006/25-26,2CRMH0006/25-26,10,CR,null,DIFF-PRICE,1,10,null,null,null,null
AMNS,2024-2025,SN 78,1,1,38,0,S,2,3,SMH0116/24-25,116,116,2DRMH0012/25-26,2DRMH0012/25-26,3,DR,null,null,1,3,null,null,null,null
SEMTPL,2024-2025,SN-19,1,0,21,0,S,2,9,SMH0067/24-25,67,67,DMH028/24-25,DMH028/24-25,10,DR,null,OTHERS:OTHERS,1,10,null,null,null,null
SEMTPL,2024-2025,SN-19,1,0,21,0,S,3,13,SAP0032/24-25,32,32,CAP002/24-25,CAP002/24-25,2,CR,null,null,1,2,null,10.3632,10.16,0.2032
SEMTPL,2023-2024,14,1,2,14,0,S,2,7,SMH0118/23-24,118,118,CMH014/23-24,CMH014/23-24,3,CR,null,null,1,3,null,null,null,null
SEMTPL,2023-2024,14,1,1,14,0,S,2,7,SMH0044/23-24,44,44,DMH013/23-24,DMH013/23-24,10,DR,null, Imbalance Charges,1,10,null,null,null,null
SEMTPL,2023-2024,14,1,2,14,0,S,2,7,SMH0054/23-24,54,54,DMH016/23-24,DMH016/23-24,10,DR,null, Diff Price for SMH0054/23-24 Period from 16-19-Ju,1,10,null,null,null,null
SEMTPL,2024-2025,SN-19,1,0,21,0,S,2,9,SMH0067/24-25,67,67,CMH016/24-25,CMH016/24-25,1,CR,null,null,1,1,null,84.51,84.085,0.4250
SEMTPL,2019-2020,02,1,0,2,0,S,1,1,0101/19-20,101,101,D012/19-20,D012/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
SEMTPL,2024-2025,SN-19,1,0,21,0,S,3,12,SAP0031/24-25,31,31,CAP001/24-25,CAP001/24-25,3,CR,null,null,1,3,null,null,null,null
SEMTPL,2025-2026,,1,0,22,0,S,3,13,2SAP0004/25-26,4,4,2CRAP0003/25-26,2CRAP0003/25-26,3,CR,null,null,1,3,null,null,null,null
SEMTPL,2025-2026,,1,1,24,0,S,1,10,2SGJ0088/25-26,88,88,2DRGJ0003/25-26,2DRGJ0003/25-26,10,DR,null,Transportation charges from Hazira to Mhaskal,1,10,null,null,null,null
SGIPL,2020-2021,15,1,1,15,0,S,1,1,S0365/20-21,365,365,D004/21-22,D004/21-22,10,DR,null,null,1,10,null,null,null,null
SGIPL,2020-2021,15,1,1,15,0,S,1,2,S0366/20-21,366,366,D005/21-22,D005/21-22,10,DR,null,null,1,10,null,null,null,null
SGIPL,2020-2021,13,1,0,13,0,S,1,3,S0235/20-21,235,235,D045/20-21,D045/20-21,7,DR,null,15% VAT required less 6% VAT already collected thr,1,7,null,null,null,null
SGIPL,2020-2021,13,1,0,13,0,S,1,3,S0254/20-21,254,254,D048/20-21,D048/20-21,7,DR,null,15% VAT required less 6% VAT already collected thr,1,7,null,null,null,null
SGIPL,2019-2020,2-0,1,1,2,0,S,1,2,0098/19-20,98,98,D009/19-20,D009/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
SGIPL,2019-2020,11-0,1,0,11,0,S,1,2,0099/19-20,99,99,D010/19-20,D010/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
PGPGPL,2023-2024,06,1,0,14,0,S,1,1,S0083/23-24,83,83,C012/23-24,C012/23-24,2,CR,null,null,1,2,null,12.812,12.8057,0.0063
PGPGPL,2023-2024,06,1,0,14,0,S,1,2,S0084/23-24,84,84,C013/23-24,C013/23-24,2,CR,null,null,1,2,null,12.812,12.8057,0.0063
HCG,2020-2021,03,1,0,3,0,S,1,1,S0371/20-21,371,371,D001/21-22,D001/21-22,10,DR,null, Imbalance Charges,1,10,null,null,null,null
HCG,2020-2021,01,1,0,1,0,S,1,1,S0369/20-21,369,369,D006/21-22,D006/21-22,10,DR,null,null,1,10,null,null,null,null
HCG,2020-2021,2-0,1,0,2,0,S,1,1,S0370/20-21,370,370,D007/21-22,D007/21-22,10,DR,null,null,1,10,null,null,null,null
HCG,2024-2025,SN08 T2,1,0,9,0,S,1,1,S0161/24-25,161,161,D020/24-25,D020/24-25,10,DR,null, Imbalance Charges.,1,10,null,null,null,null
HCG,2024-2025,SN08 T1,1,0,8,0,S,1,1,S0180/24-25,180,180,C005/24-25,C005/24-25,1,CR,null,null,1,1,null,84.29,83.98,0.3100
HCG,2024-2025,SN08 T1,1,0,8,0,S,1,1,S0145/24-25,145,145,C003/24-25,C003/24-25,1,CR,null,null,1,1,null,84.18,83.81,0.3700
HCG,2024-2025,SN08 T1,1,0,8,0,S,1,1,S0193/24-25,193,193,C006/24-25,C006/24-25,1,CR,null,null,1,1,null,84.37,83.73,0.6400
HCG,2023-2024,06,1,0,6,0,S,1,1,S0190/23-24,190,190,D014/23-24,D014/23-24,10,DR,null, Imbalance Charges ,1,10,null,null,null,null
HCG,2023-2024,06,1,0,6,0,S,1,1,S0166/23-24,166,166,D008/23-24,D008/23-24,10,DR,null, Imbalance charges,1,10,null,null,null,null
