COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_CONTACT_PERSON_CD,ADDR_FLAG,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,FINANCIAL_YEAR,INVOICE_TYPE
Gail,1-1-1604-1101S1-0-3-0-1,UPG2A24109010761,30,null,null,C,null,null,null,null,UPG2A24109010761,1,Positive Imbalance Above 10 Rate,INR,78.083,9.21,719.14,219,17/10/2024 00:00:00,2024-2025,IC
Gail,1-1-1604-1101S1-0-3-0-1,UPG2A24109010762,30,null,null,C,null,null,null,null,UPG2A24109010762,1,Positive Imbalance Above 10 Rate,INR,223.848,9.21,2061.64,219,17/10/2024 00:00:00,2024-2025,IC
Gail,1-1-1604-542S1-0-3-1-2,UPG2A23109017268,16,null,null,C,null,null,null,null,UPG2A23109017268,1,Transmission Charge,INR,751,11.45,8598.95,130,02/04/2024 00:00:00,2023-2024,TC
Gail,1-1-1604-1101S1-0-4-0-1,UPG2A24109013098,16,null,null,C,null,null,null,null,UPG2A24109013098,1,Transmission Charge,INR,4874.64,18.42,89790.92,219,18/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1604-1101S1-0-4-0-1,UPG2A24109013099,16,null,null,C,null,null,null,null,UPG2A24109013099,1,Transmission Charge,INR,2402.62,18.42,44256.34,113,21/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1604-1101S1-0-4-0-1,UPG2A24109013478,30,null,null,C,null,null,null,null,UPG2A24109013478,1,Positive Imbalance Above 10 Rate,INR,83.59,9.21,769.86,113,21/11/2024 00:00:00,2024-2025,IC
Gail,1-1-1604-1101S1-0-4-0-1,UPG2A24109013479,30,null,null,C,null,null,null,null,UPG2A24109013479,1,Positive Imbalance Above 10 Rate,INR,0,0,0,113,21/11/2024 00:00:00,2024-2025,IC
Gail,1-1-1604-1101S1-0-4-0-1,UPG2A24109015309,30,null,null,C,null,null,null,null,UPG2A24109015309,1,Positive Imbalance Above 10 Rate,INR,0,0,0,219,03/12/2024 00:00:00,2024-2025,IC
Gail,1-1-1604-1101S1-0-4-0-1,UPG2A24109015382,30,null,null,C,null,null,null,null,UPG2A24109015382,1,Positive Imbalance Above 10 Rate,INR,9.556,9.21,88.01,219,03/12/2024 00:00:00,2024-2025,IC
Gail,1-1-1604-1101S1-0-4-1-1,UPG2A24109017485,16,null,null,C,null,null,null,null,UPG2A24109017485,1,Transmission Charge,INR,2400,25.63,61512,219,19/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1604-1101S1-0-4-1-1,UPG2A24109017752,30,null,null,C,null,null,null,null,UPG2A24109017752,1,Positive Imbalance Above 10 Rate,INR,27.783,9.21,255.88,219,03/01/2025 00:00:00,2024-2025,IC
Gail,1-1-1604-542S1-0-5-0-2,UPG2A23109017267,16,null,null,C,null,null,null,null,UPG2A23109017267,1,Transmission Charge,INR,3907.61,26.28,102691.86,130,02/04/2024 00:00:00,2023-2024,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109000626,16,null,null,C,null,null,null,null,UPG2A25109000626,1,Transmission Charge,INR,2274.83,18.42,41902.33,219,17/04/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109000627,16,null,null,C,null,null,null,null,UPG2A25109000627,1,Transmission Charge,INR,2265.51,18.42,41730.67,219,17/04/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109000918,16,null,null,C,null,null,null,null,UPG2A25109000918,1,Transmission Charge,INR,0,0,0,219,21/04/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109000920,16,null,null,C,null,null,null,null,UPG2A25109000920,1,Transmission Charge,INR,0,0,0,219,17/04/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109002684,16,null,null,C,null,null,null,null,UPG2A25109002684,1,Transmission Charge,INR,1358.53,18.42,25024.18,219,02/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109002685,16,null,null,C,null,null,null,null,UPG2A25109002685,1,Transmission Charge,INR,3304.72,18.42,60872.95,219,02/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109002860,16,null,null,C,null,null,null,null,UPG2A25109002860,1,Transmission Charge,INR,0,0,0,219,02/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-5-0-1,UPG2A25109002861,16,null,null,C,null,null,null,null,UPG2A25109002861,1,Transmission Charge,INR,0,0,0,219,02/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1603-381S1-0-6-0-1,UPG2A23109008904,30,null,null,C,null,null,null,null,UPG2A23109008904,1,Positive Imbalance Above 10 Rate,INR,2143.62,13.14,28167.17,130,17/10/2023 00:00:00,2023-2024,IC
Gail,1-1-1603-381S1-0-6-0-1,UPG2A23109010046,30,null,null,C,null,null,null,null,UPG2A23109010046,1,Positive Imbalance Above 10 Rate,INR,2890,13.14,37974.6,130,02/11/2023 00:00:00,2023-2024,IC
Gail,1-1-1603-381S1-0-6-0-1,UPG2A23109010683,30,null,null,C,null,null,null,null,UPG2A23109010683,1,Positive Imbalance Above 10 Rate,INR,10285.219,13.14,135147.78,130,17/11/2023 00:00:00,2023-2024,IC
Gail,1-1-1603-381S1-0-6-0-1,UPG2A23109013255,30,null,null,C,null,null,null,null,UPG2A23109013255,1,Positive Imbalance Above 10 Rate,INR,2287.772,13.14,30061.32,130,17/01/2024 00:00:00,2023-2024,IC
Gail,1-1-1601-581S1-0-6-0-1,UPG2A24109020468,16,null,null,C,null,null,null,null,UPG2A24109020468,1,Transmission Charge,INR,2250,106.77,240232.5,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1603-581S1-0-6-0-1,UPG2A24109003988,16,null,null,C,null,null,null,null,UPG2A24109003988,1,Transmission Charge,INR,5510,26.28,144802.8,219,02/07/2024 00:00:00,2024-2025,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109003991,16,null,null,C,null,null,null,null,UPG2A25109003991,1,Transmission Charge,INR,3658.83,18.42,67395.55,219,18/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109004015,16,null,null,C,null,null,null,null,UPG2A25109004015,1,Transmission Charge,INR,0,0,0,219,19/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109004020,16,null,null,C,null,null,null,null,UPG2A25109004020,1,Transmission Charge,INR,0,0,0,219,19/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109005471,16,null,null,C,null,null,null,null,UPG2A25109005471,1,Transmission Charge,INR,0,0,0,219,03/06/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109005574,16,null,null,C,null,null,null,null,UPG2A25109005574,1,Transmission Charge,INR,0,0,0,219,03/06/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109006776,16,null,null,C,null,null,null,null,UPG2A25109006776,1,Transmission Charge,INR,0,0,0,44,17/06/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109006831,16,null,null,C,null,null,null,null,UPG2A25109006831,1,Transmission Charge,INR,0,0,0,44,18/06/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109009364,16,null,null,C,null,null,null,null,UPG2A25109009364,1,Transmission Charge,INR,1283.41,25.63,32893.82,219,17/07/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1101S1-0-6-0-1,UPG2A25109009365,16,null,null,C,null,null,null,null,UPG2A25109009365,1,Transmission Charge,INR,2698.49,25.63,69162.22,219,17/07/2025 00:00:00,2025-2026,TC
Gail,1-1-1603-381S1-0-7-0-1,UPG2A24109003230,16,null,null,C,null,null,null,null,UPG2A24109003230,1,Transmission Charge,INR,67500,26.28,1773900,219,18/06/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-381S1-0-7-0-1,UPG2A24109007956,16,null,null,C,null,null,null,null,UPG2A24109007956,1,Transmission Charge,INR,0,0,0,219,03/09/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109000073,32,null,null,C,null,null,null,null,UPG2A24109000073,1,Negative Imbalance Above 5 Rate,INR,265.092,20,5301.84,113,18/04/2024 00:00:00,2024-2025,IC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109004237,34,null,null,C,null,null,null,null,UPG2A24109004237,1,UnAuthorised Overrun Above 10%,INR,216.554,20,4331.08,219,03/07/2024 00:00:00,2024-2025,IC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109004847,30,null,null,C,null,null,null,null,UPG2A24109004847,1,Positive Imbalance Above 10 Rate,INR,60.412,21.02,1269.86,219,17/07/2024 00:00:00,2024-2025,IC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109005726,30,null,null,C,null,null,null,null,UPG2A24109005726,1,Positive Imbalance Above 10 Rate,INR,19.106,21.02,401.61,219,02/08/2024 00:00:00,2024-2025,IC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109007221,30,null,null,C,null,null,null,null,UPG2A24109007221,1,Positive Imbalance Above 10 Rate,INR,19.459,21.02,409.03,219,19/08/2024 00:00:00,2024-2025,IC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109008172,30,null,null,C,null,null,null,null,UPG2A24109008172,1,Positive Imbalance Above 10 Rate,INR,15.159,21.02,318.64,219,03/09/2024 00:00:00,2024-2025,IC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109008767,34,null,null,C,null,null,null,null,UPG2A24109008767,1,UnAuthorised Overrun Above 10%,INR,184.231,21.02,3872.54,219,18/09/2024 00:00:00,2024-2025,IC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109011730,16,null,null,C,null,null,null,null,UPG2A24109011730,1,Transmission Charge,INR,3400,42.04,142936,219,05/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109011732,16,null,null,C,null,null,null,null,UPG2A24109011732,1,Transmission Charge,INR,3400,42.04,142936,219,05/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109013648,16,null,null,C,null,null,null,null,UPG2A24109013648,1,Transmission Charge,INR,27800.89,42.04,1168749.56,219,18/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109013650,16,null,null,C,null,null,null,null,UPG2A24109013650,1,Transmission Charge,INR,24230.6,42.04,1018654.25,219,18/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109014700,16,null,null,C,null,null,null,null,UPG2A24109014700,1,Transmission Charge,INR,10980,42.04,461599.2,219,02/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109015922,16,null,null,C,null,null,null,null,UPG2A24109015922,1,Transmission Charge,INR,3080,42.04,129483.2,219,17/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109015929,16,null,null,C,null,null,null,null,UPG2A24109015929,1,Transmission Charge,INR,3040,42.04,127801.6,219,17/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-701S1-0-8-0-1,UPG2A24109017273,16,null,null,C,null,null,null,null,UPG2A24109017273,1,Transmission Charge,INR,5400,42.04,227016,219,03/01/2025 00:00:00,2024-2025,TC
Gail,1-1-1607-701S1-0-8-0-1,UPG2A24109001036,43,null,null,C,null,null,null,null,UPG2A24109001036,1,Ship or Pay Charges,INR,25612.147,40,1024485.88,113,02/05/2024 00:00:00,2024-2025,TC
Gail,1-1-1608-701S1-0-8-0-1,UPG2A24109017278,16,null,null,C,null,null,null,null,UPG2A24109017278,1,Transmission Charge,INR,720,42.04,30268.8,219,03/01/2025 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A23109016592,16,null,null,C,null,null,null,null,UPG2A23109016592,1,Transmission Charge,INR,0,0,0,113,18/03/2024 00:00:00,2023-2024,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A23109017486,16,null,null,C,null,null,null,null,UPG2A23109017486,1,Transmission Charge,INR,0,0,0,130,02/04/2024 00:00:00,2023-2024,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A23109017520,16,null,null,C,null,null,null,null,UPG2A23109017520,1,Transmission Charge,INR,15325.9,26.28,402764.65,130,02/04/2024 00:00:00,2023-2024,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109009692,16,null,null,C,null,null,null,null,UPG2A24109009692,1,Transmission Charge,INR,0,0,0,219,03/10/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109011729,16,null,null,C,null,null,null,null,UPG2A24109011729,1,Transmission Charge,INR,24229.08,25.63,620991.33,219,05/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109011731,16,null,null,C,null,null,null,null,UPG2A24109011731,1,Transmission Charge,INR,24475.42,25.63,627305.12,219,05/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109014699,16,null,null,C,null,null,null,null,UPG2A24109014699,1,Transmission Charge,INR,5812.45,25.63,148973.2,219,02/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109014701,16,null,null,C,null,null,null,null,UPG2A24109014701,1,Transmission Charge,INR,5857.01,25.63,150115.19,219,03/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109014702,16,null,null,C,null,null,null,null,UPG2A24109014702,1,Transmission Charge,INR,3878.8,25.63,99413.67,219,03/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109014799,16,null,null,C,null,null,null,null,UPG2A24109014799,1,Transmission Charge,INR,0,0,0,219,03/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109014826,16,null,null,C,null,null,null,null,UPG2A24109014826,1,Transmission Charge,INR,0,0,0,219,03/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109016522,16,null,null,C,null,null,null,null,UPG2A24109016522,1,Transmission Charge,INR,0,0,0,219,17/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-701S1-0-8-0-1,UPG2A24109017449,16,null,null,C,null,null,null,null,UPG2A24109017449,1,Transmission Charge,INR,0,0,0,219,03/01/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-391S1-0-10-0-1,UPG2A24109024007,16,null,null,C,null,null,null,null,UPG2A24109024007,1,Transmission Charge,INR,1020,42.04,42880.8,219,18/03/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-391S1-0-10-0-1,UPG2A24109024017,16,null,null,C,null,null,null,null,UPG2A24109024017,1,Transmission Charge,INR,1530,42.04,64321.2,219,18/03/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-371S1-0-14-0-1,UPG2A23109016534,16,null,null,C,null,null,null,null,UPG2A23109016534,1,Transmission Charge,INR,1690,40,67600,113,18/03/2024 00:00:00,2023-2024,TC
Gail,1-1-1601-372S1-0-14-0-2,UPG2A23109016665,16,null,null,C,null,null,null,null,UPG2A23109016665,1,Transmission Charge,INR,3614,40,144560,113,18/03/2024 00:00:00,2023-2024,TC
Gail,1-1-1601-348S1-0-15-0-8,UPG2A23109004747,16,null,null,C,null,null,null,null,UPG2A23109004747,1,Transmission Charge,INR,31173.1,79,2462675.22,113,18/07/2023 00:00:00,2023-2024,TC
Gail,1-1-1604-349S1-0-15-0-9,UPG2A23109004748,16,null,null,C,null,null,null,null,UPG2A23109004748,1,Transmission Charge,INR,128000,26.28,3363840,113,17/07/2023 00:00:00,2023-2024,TC
Gail,1-1-1603-371S1-0-15-0-1,UPG2A24109011721,16,null,null,C,null,null,null,null,UPG2A24109011721,1,Transmission Charge,INR,8160,25.63,209140.8,219,05/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-371S1-0-15-0-1,UPG2A24109011722,16,null,null,C,null,null,null,null,UPG2A24109011722,1,Transmission Charge,INR,8160,25.63,209140.8,219,05/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1603-372S1-0-15-0-2,UPG2A24109024020,16,null,null,C,null,null,null,null,UPG2A24109024020,1,Transmission Charge,INR,3600,25.63,92268,219,18/03/2025 00:00:00,2024-2025,TC
Gail,1-1-1603-372S1-0-15-0-2,UPG2A24109024022,16,null,null,C,null,null,null,null,UPG2A24109024022,1,Transmission Charge,INR,4050,25.63,103801.5,219,18/03/2025 00:00:00,2024-2025,TC
Gail,1-1-1603-372S1-0-15-0-2,UPG2A24109025262,16,null,null,C,null,null,null,null,UPG2A24109025262,1,Transmission Charge,INR,4280,25.63,109696.4,219,02/04/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-371S1-0-15-0-1,UPG2A24109013367,16,null,null,C,null,null,null,null,UPG2A24109013367,1,Transmission Charge,INR,8160,42.04,343046.4,219,18/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-371S1-0-15-0-1,UPG2A24109013368,16,null,null,C,null,null,null,null,UPG2A24109013368,1,Transmission Charge,INR,7140,42.04,300165.6,219,18/11/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-371S1-0-15-0-1,UPG2A24109014671,16,null,null,C,null,null,null,null,UPG2A24109014671,1,Transmission Charge,INR,8160,42.04,343046.4,219,02/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-371S1-0-15-0-1,UPG2A24109014673,16,null,null,C,null,null,null,null,UPG2A24109014673,1,Transmission Charge,INR,7140,42.04,300165.6,219,02/12/2024 00:00:00,2024-2025,TC
Gail,1-1-1601-371S1-0-16-0-1,UPG2A24109021627,16,null,null,C,null,null,null,null,UPG2A24109021627,1,Transmission Charge,INR,200,42.04,8408,88,17/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-371S1-0-16-0-1,UPG2A24109021628,16,null,null,C,null,null,null,null,UPG2A24109021628,1,Transmission Charge,INR,1000,42.04,42040,88,17/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-372S1-0-17-0-2,UPG2A24109021637,16,null,null,C,null,null,null,null,UPG2A24109021637,1,Transmission Charge,INR,90,42.04,3783.6,88,17/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-372S1-0-17-0-2,UPG2A24109021638,16,null,null,C,null,null,null,null,UPG2A24109021638,1,Transmission Charge,INR,450,42.04,18918,88,17/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1606-372S1-0-19-0-2,UPG2A25109009355,16,null,null,C,null,null,null,null,UPG2A25109009355,1,Transmission Charge,INR,2165,42.04,91016.6,219,17/07/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-333S1-0-29-0-3,UPG2A23109004659,16,null,null,C,null,null,null,null,UPG2A23109004659,1,Transmission Charge,INR,54192.95,26.28,1424190.7,113,17/07/2023 00:00:00,2023-2024,TC
Gail,1-1-1606-332S1-0-30-0-2,UPG2A23109007139,16,null,null,C,null,null,null,null,UPG2A23109007139,1,Transmission Charge,INR,5000,40,200000,113,02/09/2023 00:00:00,2023-2024,TC
Gail,1-1-1603-332S1-0-32-0-2,UPG2A23109010924,16,null,null,C,null,null,null,null,UPG2A23109010924,1,Transmission Charge,INR,850,26.28,22338,130,17/11/2023 00:00:00,2023-2024,TC
Gail,1-1-1603-332S1-0-32-0-2,UPG2A23109010925,16,null,null,C,null,null,null,null,UPG2A23109010925,1,Transmission Charge,INR,950,26.28,24966,130,17/11/2023 00:00:00,2023-2024,TC
Gail,1-1-1604-333S1-0-33-0-3,UPG2A23109013301,16,null,null,C,null,null,null,null,UPG2A23109013301,1,Transmission Charge,INR,11700,26.28,307476,130,17/01/2024 00:00:00,2023-2024,TC
Gail,1-1-1601-1211L2-0-1-0-1,UPG2A23109008796,30,null,null,C,null,null,null,null,UPG2A23109008796,1,Positive Imbalance Above 10 Rate,INR,.013,39.5,.51,130,17/10/2023 00:00:00,2023-2024,IC
Gail,16-1-2-16-1604-542,UPG2A23109000244,16,null,null,R,null,null,null,null,UPG2A23109000244,1,Transmission Charge,INR,181.54,13.99,2539.68,23,26/04/2023 00:00:00,2023-2024,TC
Gail,1-1-1601-1201L3-0-1-0-1,UPG2A23109012053,16,null,null,C,null,null,null,null,UPG2A23109012053,1,Transmission Charge,INR,123634.42,114.52,14158613.78,130,18/12/2023 00:00:00,2023-2024,TC
Gail,1-1-1601-1211L3-0-1-0-1,UPG2A24109020368,16,null,null,C,null,null,null,null,UPG2A24109020368,1,Transmission Charge,INR,24080,80.08,1928326.4,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-1211L3-0-1-0-1,UPG2A24109020370,16,null,null,C,null,null,null,null,UPG2A24109020370,1,Transmission Charge,INR,12200,80.08,976976,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-1211L3-0-1-0-1,UPG2A24109020371,16,null,null,C,null,null,null,null,UPG2A24109020371,1,Transmission Charge,INR,8000,80.08,640640,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1606-892L4-0-1-0-2,UPG2A23109012526,16,null,null,C,null,null,null,null,UPG2A23109012526,1,Transmission Charge,INR,700,40,28000,130,03/01/2024 00:00:00,2023-2024,TC
Gail,1-1-1601-292L5-0-1-0-2,UPG2A24109020631,16,null,null,C,null,null,null,null,UPG2A24109020631,1,Transmission Charge,INR,22764,42.04,956998.56,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-292L5-0-1-0-2,UPG2A24109020632,16,null,null,C,null,null,null,null,UPG2A24109020632,1,Transmission Charge,INR,16906,42.04,710728.24,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-292L5-0-1-0-2,UPG2A24109020633,16,null,null,C,null,null,null,null,UPG2A24109020633,1,Transmission Charge,INR,13008,42.04,546856.32,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-1032L5-0-1-0-2,UPG2A24109020306,16,null,null,C,null,null,null,null,UPG2A24109020306,1,Transmission Charge,INR,19520,80.08,1563161.6,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-1032L5-0-1-0-2,UPG2A24109020307,16,null,null,C,null,null,null,null,UPG2A24109020307,1,Transmission Charge,INR,37000,80.08,2962960,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-1032L5-0-1-0-2,UPG2A24109020308,16,null,null,C,null,null,null,null,UPG2A24109020308,1,Transmission Charge,INR,18840,80.08,1508707.2,219,04/02/2025 00:00:00,2024-2025,TC
Gail,16-1-5-16-1603-861,UPG2A22109006201,16,null,null,R,null,null,null,null,UPG2A22109006201,1,Transmission Charge,INR,1072,49.64,53214.08,49,27/03/2023 00:00:00,2022-2023,TC
Gail,16-1-16-16-1605-10000165,UPG2A23109017553,16,null,null,R,null,null,null,null,UPG2A23109017553,1,Transmission Charge,INR,70000,15.23,1066100,130,02/04/2024 00:00:00,2023-2024,TC
Gail,1-1-1604-721L20-0-1-0-1,UPG2A23109016855,32,null,null,C,null,null,null,null,UPG2A23109016855,1,Negative Imbalance Above 5 Rate,INR,52987.08,13.14,696250.23,113,18/03/2024 00:00:00,2023-2024,IC
Gail,1-1-1604-721L20-0-1-0-1,UPG2A23109017634,34,null,null,C,null,null,null,null,UPG2A23109017634,1,UnAuthorised Overrun Above 10%,INR,14545.971,13.14,191134.06,130,02/04/2024 00:00:00,2023-2024,IC
Gail,1-1-1604-721L20-0-1-0-1,UPG2A23109017635,32,null,null,C,null,null,null,null,UPG2A23109017635,1,Negative Imbalance Above 5 Rate,INR,15325.677,13.14,201379.4,130,02/04/2024 00:00:00,2023-2024,IC
Gail,1-1-1604-721L20-0-1-0-1,UPG2A23109017667,16,null,null,C,null,null,null,null,UPG2A23109017667,1,Transmission Charge,INR,14677.97,26.28,385737.06,130,02/04/2024 00:00:00,2023-2024,TC
Gail,16-1-21-16-1604-92,GJG2A22103003056,16,null,null,R,null,null,null,null,GJG2A22103003056,1,Transmission Charge,INR,119250,39.85,4752112.5,130,08/02/2023 00:00:00,2022-2023,TC
Gail,1-1-1601-412L24-0-1-0-2,UPG2A24109021004,16,null,null,C,null,null,null,null,UPG2A24109021004,1,Transmission Charge,INR,80000,106.77,8541600,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-412L24-0-1-0-2,UPG2A24109021005,16,null,null,C,null,null,null,null,UPG2A24109021005,1,Transmission Charge,INR,40000,106.77,4270800,219,04/02/2025 00:00:00,2024-2025,TC
Gail,1-1-1601-412L24-0-1-0-2,UPG2A24109021006,16,null,null,C,null,null,null,null,UPG2A24109021006,1,Transmission Charge,INR,40000,106.77,4270800,219,04/02/2025 00:00:00,2024-2025,TC
