COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,PLANT_SEQ,BU_SEQ,BASE,GCV,NCV,GAS_DT,FILL_STATION_CD,BAY_CD,SLOT_START_TIME,SLOT_END_TIME,GEN_DT,GEN_TIME,NOM_REV_NO,TRUCK_TRANS_CD,TRUCK_CD,LOAD_START_DT,LOAD_START_TIME,LOAD_END_DT,LOAD_END_TIME,NEXT_AVAIL_HRS,QTY_MMBTU,QTY_MT,GCV_MMBTU,ENT_BY,ENT_DT
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,29/06/2022 00:00:00,1,1,GPLPL-43,null,30/06/2022 00:00:00,00:00,1,GPLPL,43,29/06/2022 00:00:00,00:00,29/06/2022 00:00:00,00:00,24,841.4745,16.14,52.13597,71,29/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,11/04/2022 00:00:00,1,1,GPLPL-43,null,12/04/2022 00:00:00,00:00,1,GPLPL,43,11/04/2022 00:00:00,00:00,11/04/2022 00:00:00,00:00,24,833.321,16.11,51.72691,56,11/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,15/04/2022 00:00:00,1,1,GPLPL-43,null,16/04/2022 00:00:00,00:00,3,GPLPL,43,15/04/2022 00:00:00,00:00,15/04/2022 00:00:00,00:00,24,831.131,16.07,51.71943,56,15/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,24/05/2022 00:00:00,1,1,GPLPL-42,null,25/05/2022 00:00:00,00:00,1,GPLPL,42,24/05/2022 00:00:00,00:00,24/05/2022 00:00:00,00:00,24,844.638,16.27,51.91383,61,24/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,17/06/2022 00:00:00,1,1,GPLPL-42,null,18/06/2022 00:00:00,00:00,1,GPLPL,42,17/06/2022 00:00:00,00:00,17/06/2022 00:00:00,00:00,24,839.164,16.13,52.02502,61,17/06/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,16/02/2022 00:00:00,1,1,GPLPL-42,null,17/02/2022 00:00:00,00:00,1,GPLPL,42,16/02/2022 00:00:00,00:00,16/02/2022 00:00:00,00:00,24,837.245,16.10,52.0028,64,16/02/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,19/02/2022 00:00:00,1,1,GPLPL-43,null,20/02/2022 00:00:00,00:00,1,GPLPL,43,19/02/2022 00:00:00,00:00,19/02/2022 00:00:00,00:00,24,840.239,16.15,52.02717,56,19/02/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,01/03/2022 00:00:00,1,1,GPLPL-43,null,02/03/2022 00:00:00,00:00,1,GPLPL,43,01/03/2022 00:00:00,00:00,01/03/2022 00:00:00,00:00,24,843.937,16.21,52.06276,132,01/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,17/02/2022 00:00:00,1,1,GPLPL-43,null,18/02/2022 00:00:00,00:00,1,GPLPL,43,17/02/2022 00:00:00,00:00,17/02/2022 00:00:00,00:00,24,839.054,16.13,52.01823,64,17/02/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,26/02/2022 00:00:00,1,1,GPLPL-43,null,27/02/2022 00:00:00,00:00,1,GPLPL,43,26/02/2022 00:00:00,00:00,26/02/2022 00:00:00,00:00,24,839.601,16.13,52.05214,88,26/02/2022 00:00:00
