COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,INVOICE_TYPE,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
AMNS,2023-2024,3,L00003/23-24,DI,D,INVOICE-E-2023-2024-3-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,17/04/2023 00:00:00,null,null,null
AMNS,2023-2024,9,L00009/23-24,DI,O,INVOICE-E-2023-2024-96-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,19/01/2024 00:00:00,null,null,null
AMNS,2023-2024,9,L00009/23-24,DI,D,INVOICE-E-2023-2024-96-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,19/01/2024 00:00:00,null,null,null
AMNS,2023-2024,9,L00009/23-24,DI,O,INVOICE-E-2023-2024-94-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,18/01/2024 00:00:00,null,null,null
AMNS,2023-2024,9,L00009/23-24,DI,D,INVOICE-E-2023-2024-94-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,18/01/2024 00:00:00,null,null,null
AMNS,2023-2024,9,L00009/23-24,DI,O,INVOICE-E-2023-2024-9-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,09/05/2023 00:00:00,null,null,null
AMNS,2023-2024,9,L00009/23-24,DI,D,INVOICE-E-2023-2024-9-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,09/05/2023 00:00:00,null,null,null
AMNS,2023-2024,22,L00022/23-24,DI,O,INVOICE-E-2023-2024-22-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,23/06/2023 00:00:00,null,null,null
AMNS,2023-2024,22,L00022/23-24,DI,D,INVOICE-E-2023-2024-22-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,23/06/2023 00:00:00,null,null,null
AMNS,2023-2024,41,L00041/23-24,DI,O,INVOICE-E-2023-2024-41-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,07/08/2023 00:00:00,null,null,null
AMNS,2023-2024,41,L00041/23-24,DI,D,INVOICE-E-2023-2024-41-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,07/08/2023 00:00:00,null,null,null
AMNS,2023-2024,61,L00061/23-24,DI,O,INVOICE-E-2023-2024-61-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,29/09/2023 00:00:00,null,null,null
AMNS,2023-2024,61,L00061/23-24,DI,D,INVOICE-E-2023-2024-61-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,29/09/2023 00:00:00,null,null,null
AMNS,2023-2024,66,L00066/23-24,DI,O,INVOICE-E-2023-2024-66-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,06/10/2023 00:00:00,null,null,null
