COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,BU_UNIT,PLANT_SEQ,CONTRACT_TYPE,CARGO_NO,INVOICE_NO,FINANCIAL_YEAR,INVOICE_ID_SEQ,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,PAY_RECV_AMT
AMNS,11921,A-33-19-11921-0,19,0,1,1,M,0,L00012/22-23,2022-2023,12,10,28612.26,null,null,30901
AMNS,11921,A-33-19-11921-0,19,0,1,1,M,0,L00013/22-23,2022-2023,13,10,13447.17,null,null,14522
AMNS,11921,A-33-19-11921-0,19,0,1,1,M,0,L00032/22-23,2022-2023,32,10,33025.09,null,null,35666
AMNS,11921,A-33-19-11921-0,13,0,1,1,M,0,L00211/21-22,2021-2022,211,10,446421.72,null,80355.91,482135
AMNS,1,20,21,0,1,2,I,0,I0027/21-22,2021-2022,27,null,12851.89,null,null,12852
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00207/21-22,2021-2022,207,2,170519072,null,null,197802122
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00208/21-22,2021-2022,208,2,9300581.36,null,null,10788673
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00209/21-22,2021-2022,209,2,7291934,null,null,8458643
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00210/21-22,2021-2022,210,2,170519072,null,null,197802122
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00075/22-23,2022-2023,75,2,193283200,null,null,224208512
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00094/22-23,2022-2023,94,2,193720960,null,null,189846540.8
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00108/22-23,2022-2023,108,2,135641000,null,null,157343560
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00139/22-23,2022-2023,139,2,200408960,null,null,196400780.8
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00159/22-23,2022-2023,159,2,201430400,null,null,197401792
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00165/22-23,2022-2023,165,2,19164065,null,null,22230315.7
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00169/22-23,2022-2023,169,2,7971497.5,null,null,9246937.55
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00175/22-23,2022-2023,175,2,9461172.22,null,null,10407288.56
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00176/22-23,2022-2023,176,2,200652160,null,null,196639116.8
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00183/22-23,2022-2023,183,2,11366991.09,null,null,12503689.27
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00003/23-24,2023-2024,3,2,199484800,null,null,195495104
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00009/23-24,2023-2024,9,2,9745215.9,null,null,9550311.58
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00022/23-24,2023-2024,22,2,199776640,null,null,195781107.2
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00041/23-24,2023-2024,41,2,201235840,null,null,197211123.2
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00061/23-24,2023-2024,61,2,103656856,null,null,101583718.88
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00066/23-24,2023-2024,66,2,18979860,null,null,22016636.8
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00075/23-24,2023-2024,75,2,202476160,null,null,198426636.8
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00083/23-24,2023-2024,83,2,9507030,null,null,11028155.4
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00085/23-24,2023-2024,85,2,202792320,null,null,198736473.6
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00094/23-24,2023-2024,94,2,18970740,null,null,22006059.2
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00096/23-24,2023-2024,96,2,600000,null,null,696000
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00079/24-25,2024-2025,79,2,2374973.4,null,null,2754969.93
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00084/24-25,2024-2025,84,2,22897413,null,null,26560998.74
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00085/24-25,2024-2025,85,2,8934059.16,null,null,10363507.98
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00088/24-25,2024-2025,88,2,55354111.84,null,null,64210769.6
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00089/24-25,2024-2025,89,2,3381234.3,null,null,3922231.61
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00095/24-25,2024-2025,95,2,1025625.23,null,null,1189724.73
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00096/24-25,2024-2025,96,2,99112.96,null,null,114970.7
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00097/24-25,2024-2025,97,2,26276208.1,null,null,30480401.94
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00098/24-25,2024-2025,98,2,892014.87,null,null,1034736.57
AMNS,A-33-19-11921-0,0,11921,0,1,1,Q,null,L00102/24-25,2024-2025,102,2,7151936.58,null,null,8296245.85
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00015/20-21 ,2020-2021,15,1.5,17881200,null,null,20831598
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00016/20-21 ,2020-2021,16,1.5,24151927,null,null,28136994.09
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00017/20-21 ,2020-2021,17,1.5,3384341,null,null,3942757.88
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00043/20-21 ,2020-2021,43,1.5,16002534,null,null,18642951.99
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00044/20-21 ,2020-2021,44,1.5,3384341,null,null,3942757.88
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00046/20-21 ,2020-2021,46,1.5,36532453,null,null,42560308.2
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00047/20-21 ,2020-2021,47,1.5,6098809,null,null,7105112.86
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00071/20-21 ,2020-2021,71,1.5,65918078,null,null,76794560.83
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00072/20-21 ,2020-2021,72,1.5,1864197,null,null,2171790.04
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00138/20-21 ,2020-2021,138,1.5,142135567,null,null,165587935.49
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00141/20-21 ,2020-2021,141,1.5,123248,null,null,143583.28
AMNS,A-33-17-11719-0,0,11719,0,2,1,Q,null,L00182/20-21 ,2020-2021,182,1.5,5025337,null,null,5854516.95
AMNS,A-33-19-11921-0,0,11921,0,2,1,Q,null,L00149/22-23,2022-2023,149,10,4981547.75,null,null,5380071.57
AMNS,A-33-19-11921-0,0,11921,0,2,1,Q,null,L00150/22-23,2022-2023,150,10,968551.8,null,null,1046035.94
AMNS,,0,29,0,null,1,S,null,DMH020/23-24,2023-2024,69,null,41153030.2,null,null,23538569.93
AMNS,,0,29,0,null,1,S,null,DMH021/23-24,2023-2024,81,null,105647411,null,null,60223122.69
AMNS,,0,30,1,null,2,S,null,D015/23-24,2023-2024,117,.1,27837336.6,null,null,6983510.86
AMNS,,0,30,2,null,2,S,null,D019/23-24,2023-2024,138,.1,131724678,null,null,42819817.91
AMNS,,0,30,2,null,2,S,null,D020/23-24,2023-2024,155,.1,7034572.16,null,null,2273921.51
AMNS,,0,29,0,null,1,S,null,DMH028/23-24,2023-2024,69,.1,41153030.2,null,null,3933.72
AMNS,,0,29,0,null,1,S,null,DMH029/23-24,2023-2024,81,.1,105647411,null,null,10086.36
AMNS,,0,29,0,null,1,S,null,DMH030/23-24,2023-2024,86,.1,275910186,null,null,20879.71
AMNS,,0,29,3,null,1,S,null,DMH031/23-24,2023-2024,106,.1,331387768,null,null,26581.44
AMNS,,0,29,3,null,1,S,null,DMH032/23-24,2023-2024,110,.1,414746658,null,null,27761.83
AMNS,,0,29,4,null,1,S,null,DMH033/23-24,2023-2024,121,.1,330065789,null,null,22295
AMNS,,0,30,3,null,2,S,null,D021/23-24,2023-2024,179,.1,84634262.2,null,null,5622.23
AMNS,,0,35,0,null,1,S,null,DMH036/23-24,2023-2024,154,.1,14805924.2,null,null,49246.54
AMNS,,0,29,0,null,1,S,null,DMH022/23-24,2023-2024,86,null,275910186,null,null,65741214.27
AMNS,,0,29,3,null,1,S,null,DMH023/23-24,2023-2024,106,null,331387768,null,null,104156056.98
AMNS,,0,29,3,null,1,S,null,DMH024/23-24,2023-2024,110,null,414746658,null,null,38079068.94
AMNS,,0,29,4,null,1,S,null,DMH025/23-24,2023-2024,121,null,330065789,null,null,30215812.29
AMNS,,0,30,1,null,2,S,null,D010/23-24,2023-2024,117,null,27837336.6,null,null,6987925.55
AMNS,,0,30,2,null,2,S,null,D011/23-24,2023-2024,138,null,131724678,null,null,42849353.38
AMNS,,0,30,2,null,2,S,null,D012/23-24,2023-2024,155,null,7034572.16,null,null,2275487.47
AMNS,,0,30,3,null,2,S,null,D013/23-24,2023-2024,179,null,84634262.2,null,null,7973976.68
SEMTIPL,,0,3,1,null,1,S,null,D024/20-21,2020-2021,218,null,5823871.16,null,null,4455.26
SEMTIPL,,0,5,3,null,3,S,null,D025/20-21,2020-2021,217,null,11500857.9,null,null,8798.16
SGIPL,1,2,2,1,1,2,I,0,I0003/21-22,2021-2022,3,null,17716.97,null,null,null
SGIPL,1,13-0,13,0,1,2,I,0,I0001/21-22,2021-2022,1,null,45294.63,null,null,null
SGIPL,1,2,2,1,1,2,I,0,I0002/21-22,2021-2022,2,null,43676.05,null,null,null
SGIPL,,0,13,0,null,3,S,null,D019/20-21,2020-2021,188,null,1232400.04,null,null,105809
SGIPL,,0,13,0,null,3,S,null,D020/20-21,2020-2021,213,null,1169047.34,null,null,80800
SGIPL,,0,13,0,null,3,S,null,D001/20-21,2020-2021,9,null,2777277.63,null,null,78370
SGIPL,,0,13,0,null,3,S,null,D002/20-21,2020-2021,23,null,2736137.02,null,null,103350
SGIPL,,0,13,0,null,3,S,null,D003/20-21,2020-2021,38,null,2488410.92,null,null,104628
SGIPL,,0,13,0,null,3,S,null,D004/20-21,2020-2021,54,null,2661333.92,null,null,48122
SGIPL,,0,13,0,null,3,S,null,D005/20-21,2020-2021,71,null,795572.81,null,null,8548
SGIPL,,0,13,0,null,3,S,null,D008/20-21,2020-2021,105,null,664782.17,null,null,59614
SGIPL,,0,13,0,null,3,S,null,D010/20-21,2020-2021,122,null,879320.5,null,null,79139
SGIPL,,0,13,0,null,3,S,null,D012/20-21,2020-2021,145,null,894949.58,null,null,80545
SGIPL,,0,2,1,null,2,S,null,D015/20-21,2019-2020,98,null,5645428.91,null,null,17031
SGIPL,,0,11,0,null,2,S,null,D016/20-21,2019-2020,99,null,51040016.9,null,null,2831
SGIPL,,0,13,0,null,3,S,null,D017/20-21,2020-2021,163,null,992521.4,null,null,89327
SGIPL,,0,13,0,null,2,S,null,D026/20-21,2020-2021,212,null,9229659.64,null,null,7061
SGIPL,,0,13,0,null,3,S,null,D027/20-21,2020-2021,213,null,1169047.34,null,null,990
PGPGPL,,0,7,0,null,1,S,null,D033/20-21,2020-2021,223,null,2775149.37,null,null,2567
PGPGPL,,0,7,0,null,1,S,null,D033/20-21,2020-2021,223,null,2775149.37,null,null,2567
PGPGPL,,0,7,0,null,1,S,null,D033/20-21,2020-2021,223,null,2775149.37,null,null,2567
PGPGPL,,0,2,0,null,1,S,null,D028/20-21,2020-2021,222,null,664479.76,null,null,638
PGPGPL,,0,2,0,null,1,S,null,D028/20-21,2020-2021,222,null,664479.76,null,null,638
PGPGPL,,0,2,0,null,1,S,null,D028/20-21,2020-2021,222,null,664479.76,null,null,638
PGPGPL,,0,2,0,null,2,S,null,D029/20-21,2020-2021,221,null,1563301.69,null,null,1500
PGPGPL,,0,2,0,null,2,S,null,D029/20-21,2020-2021,221,null,1563301.69,null,null,1500
PGPGPL,,0,2,0,null,2,S,null,D029/20-21,2020-2021,221,null,1563301.69,null,null,1500
HCG,1,1-0,1,0,1,1,I,0,I0006/21-22,2021-2022,6,null,5577.48,null,null,5577.48
HCG,1,4-0,4,0,1,1,I,0,I0004/21-22,2021-2022,4,null,24111.41,null,null,24111.41
HCG,1,2-0,2,0,1,1,I,0,I0005/21-22,2021-2022,5,null,15981.33,null,null,15981.33
HCG,1,2-0,2,0,1,1,I,0,I0019/21-22,2021-2022,19,null,18412.37,null,null,18413
HCG,1,2-0,2,0,1,1,I,0,I0014/21-22,2021-2022,14,null,27647.82,null,null,27647.82
HCG,1,1-1,1,1,1,1,I,0,I0015/21-22,2021-2022,15,null,10309.31,null,null,10309.31
HCG,1,2-0,2,0,1,1,I,0,I0016/21-22,2021-2022,16,null,46753.64,null,null,46753.64
HCG,1,1-0,1,0,1,1,I,0,I0001/20-21,2020-2021,1,null,3685.02,null,null,null
HCG,1,1-0,1,0,1,1,I,0,I0003/20-21,2020-2021,3,null,8152.37,null,null,8152.37
HCG,1,1-0,1,0,1,1,I,0,I0004/20-21,2020-2021,4,null,5098.32,null,null,5098.32
HCG,1,1-0,1,0,1,1,I,0,I0005/20-21,2020-2021,5,null,2553.8,null,null,2553.8
HCG,1,2-0,2,0,1,1,I,0,I0022/21-22,2021-2022,22,null,9336.85,null,null,9336.85
HCG,1,2-0,2,0,1,1,I,0,I0024/21-22,2021-2022,24,null,4710.05,null,null,4710.05
HCG,1,2-0,2,0,1,1,I,0,I0025/21-22,2021-2022,25,null,28589.88,null,null,28589.88
HCG,1,1-1,1,1,1,1,I,0,I0012/21-22,2021-2022,12,null,6361.83,null,null,6361.83
HCG,1,2-0,2,0,1,1,I,0,I0013/21-22,2021-2022,13,null,6821.93,null,null,null
HCG,1,2-0,2,0,1,1,I,0,I0021/21-22,2021-2022,21,null,20022.22,null,null,20022.22
HCG,1,1-0,1,0,1,1,I,0,I0002/20-21,2020-2021,2,null,24828.21,null,null,24828
HCG,1,2-0,2,0,1,1,I,0,I0017/21-22,2021-2022,17,null,24882.85,null,null,24882.85
HCG,1,2-0,2,0,1,1,I,0,I0018/21-22,2021-2022,18,null,17105.75,null,null,17105.75
HCG,1,2-0,2,0,1,1,I,0,I0020/21-22,2021-2022,20,null,13982.73,null,null,13982.73
HCG,1,1-1,1,1,1,1,I,0,I0007/21-22,2021-2022,7,null,7656.55,null,null,7656.55
HCG,1,2-0,2,0,1,1,I,0,I0008/21-22,2021-2022,8,null,19159.02,null,null,19159.02
HCG,1,1-1,1,1,1,1,I,0,I0009/21-22,2021-2022,9,null,13472.58,null,null,13472.58
HCG,1,2-0,2,0,1,1,I,0,I0010/21-22,2021-2022,10,null,14443.7,null,null,14443.7
HCG,1,1-0,1,0,1,1,I,0,I0006/20-21,2020-2021,6,null,13734.03,null,null,13734.03
HCG,1,1-0,1,0,1,1,I,0,I0007/20-21,2020-2021,7,null,12836.86,null,null,12836.86
HCG,1,1-0,1,0,1,1,I,0,I0008/20-21,2020-2021,8,null,5426.75,null,null,5426.75
HCG,1,1-0,1,0,1,1,I,0,I0009/20-21,2020-2021,9,null,1185.36,null,null,1185.36
HCG,1,1-0,1,0,1,1,I,0,I0010/20-21,2020-2021,10,null,8119.27,null,null,8119.27
HCG,1,2-0,2,0,1,1,I,0,I0011/20-21,2020-2021,11,null,2693.34,null,null,2693.34
HCG,1,2-0,2,0,1,1,I,0,I0012/20-21,2020-2021,12,null,35158.52,null,null,35158.52
HCG,1,1-0,1,0,1,1,I,0,I0013/20-21,2020-2021,13,null,8833.74,null,null,8833.74
HCG,1,1-0,1,0,1,1,I,0,I0014/20-21,2020-2021,14,null,5539.11,null,null,5539.11
HCG,1,2-0,2,0,1,1,I,0,I0015/20-21,2020-2021,15,null,8821.76,null,null,8821.76
HCG,1,1-0,1,0,1,1,I,0,I0016/20-21,2020-2021,16,null,3783.56,null,null,3783.56
HCG,,0,6,0,null,1,S,null,D029/23-24,2023-2024,320,.1,18933915.2,null,null,75679.66
HCG,,0,6,0,null,1,S,null,D034/23-24,2023-2024,350,.1,19005076.2,null,null,53987.02
HCG,,0,6,0,null,1,S,null,D036/23-24,2023-2024,350,.1,19005076.2,null,null,25403.67
HCG,,0,1,0,null,1,S,null,D030/20-21,2020-2021,216,null,7031831.25,null,null,6018
GGL,1,5-0,5,0,1,1,I,0,I0011/23-24,2023-2024,11,null,15590.71,null,null,15590.71
GGL,,0,1,0,null,1,S,null,D031/20-21,2020-2021,214,null,489681.22,null,null,389
GGL,,0,3,1,null,1,S,null,D032/20-21,2020-2021,215,null,7726872.95,null,null,6143
HGL-RLNG,1,2-0,2,0,1,1,I,0,I0023/21-22,2021-2022,23,null,2764.11,null,null,2764
PipeInfra,L-2-1-0,0,1,0,null,7,L,null,D041/20-21,2020-2021,207,null,124395.13,null,null,95.16
PipeInfra,L-2-1-0,0,1,0,null,7,L,null,D041/20-21,2020-2021,207,null,124395.13,null,null,95.16
PipeInfra,L-2-1-0,0,1,0,null,9,L,null,D042/20-21,2020-2021,208,null,199032.2,null,null,171.67
PipeInfra,L-2-1-0,0,1,0,null,9,L,null,D042/20-21,2020-2021,208,null,199032.2,null,null,171.67
PipeInfra,L-2-1-0,0,1,0,null,10,L,null,D043/20-21,2020-2021,209,null,248790.25,null,null,214.58
PipeInfra,L-2-1-0,0,1,0,null,10,L,null,D043/20-21,2020-2021,209,null,248790.25,null,null,214.58
PipeInfra,L-2-1-0,0,1,0,null,11,L,null,D044/20-21,2020-2021,210,null,1492741.5,null,null,1287.49
PipeInfra,L-2-1-0,0,1,0,null,11,L,null,D044/20-21,2020-2021,210,null,1492741.5,null,null,1287.49
PipeInfra,L-2-1-0,0,1,0,null,5,L,null,D039/20-21,2020-2021,205,null,3483063.5,null,null,3004.14
PipeInfra,L-2-1-0,0,1,0,null,5,L,null,D039/20-21,2020-2021,205,null,3483063.5,null,null,3004.14
PipeInfra,L-2-1-0,0,1,0,null,1,L,null,D036/20-21,2020-2021,202,null,746370.75,null,null,570.97
PipeInfra,L-2-1-0,0,1,0,null,1,L,null,D036/20-21,2020-2021,202,null,746370.75,null,null,570.97
PipeInfra,L-2-1-0,0,1,0,null,2,L,null,D037/20-21,2020-2021,203,null,4975805,null,null,3806.49
PipeInfra,L-2-1-0,0,1,0,null,2,L,null,D037/20-21,2020-2021,203,null,4975805,null,null,3806.49
PipeInfra,L-2-1-0,0,1,0,null,3,L,null,D038/20-21,2020-2021,204,null,3483063.5,null,null,2664.54
PipeInfra,L-2-1-0,0,1,0,null,3,L,null,D038/20-21,2020-2021,204,null,3483063.5,null,null,2664.54
PipeInfra,L-2-1-0,0,1,0,null,6,L,null,D040/20-21,2020-2021,206,null,174153.18,null,null,133.23
PipeInfra,L-2-1-0,0,1,0,null,6,L,null,D040/20-21,2020-2021,206,null,174153.18,null,null,133.23
HSIL,,0,1,0,null,1,S,null,D021/20-21,2020-2021,220,null,11156684.04,null,null,15858
HSIL,,0,1,0,null,1,S,null,D006/20-21,2020-2021,82,null,4493183.66,null,null,21982
HSIL,,0,1,0,null,1,S,null,D007/20-21,2020-2021,102,null,8028734.31,null,null,21024
HSIL,,0,1,0,null,1,S,null,D009/20-21,2020-2021,118,null,13770806.3,null,null,2214
HSIL,,0,1,0,null,1,S,null,D011/20-21,2020-2021,140,null,13204729.8,null,null,24458
HSIL,,0,1,0,null,1,S,null,D013/20-21,2020-2021,160,null,10736045.6,null,null,831
HSIL,,0,1,0,null,1,S,null,D018/20-21,2020-2021,183,null,10955893.91,null,null,10364
HSIL,,0,2,0,null,1,S,null,D034/20-21,2020-2021,220,null,11156684,null,null,11456
HCGD-B,1,6-0,6,0,1,1,I,0,I0008/24-25,2024-2025,8,null,17327.88,null,null,17328
HCGD-B,1,6-0,6,0,1,1,I,0,I0006/24-25,2024-2025,6,null,40445.73,null,null,40445.73
HCGD-B,1,6-0,6,0,1,1,I,0,I0004/24-25,2024-2025,4,null,64865.94,null,null,64865.94
SISECAM,,0,3,1,null,1,S,null,D003/22-23,2022-2023,12,.1,97906808.31,null,null,188134.35
OPAL,L-16-1-1,0,1,1,2,1,L,null,SMH0020/23-24,2023-2024,20,null,18142715,null,null,18142715
TGLPL,1,1-0,1,0,1,2,I,0,I0004/22-23,2022-2023,4,null,6910.63,null,null,6910.63
TGLPL,1,1-0,1,0,1,2,I,0,I0003/22-23,2022-2023,3,null,861.77,null,null,861
TGLPL,1,1-0,1,0,1,1,I,0,I0002/22-23,2022-2023,2,null,985.87,null,null,985
GFCL,1,3-0,3,0,1,2,I,0,I0004/23-24,2023-2024,4,null,24315.37,null,null,null
