COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
AMNS,2021-2022,228,L00228/21-22,T,LATEPAY_INVOICE-25022022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-228-T.pdf,49,25/02/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,25/02/2022 00:00:00,null,null,null,Y,null,25/02/2022 00:00:00
AMNS,2021-2022,236,L00236/21-22,O,LATEPAY_INVOICE-08032022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-236-O.pdf,49,08/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/03/2022 00:00:00,null,null,null,Y,null,08/03/2022 00:00:00
AMNS,2021-2022,236,L00236/21-22,D,LATEPAY_INVOICE-08032022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-236-D.pdf,49,08/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/03/2022 00:00:00,null,null,null,null,null,null
AMNS,2021-2022,236,L00236/21-22,T,LATEPAY_INVOICE-08032022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-236-T.pdf,49,08/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/03/2022 00:00:00,null,null,null,Y,null,08/03/2022 00:00:00
AMNS,2021-2022,237,L00237/21-22,O,LATEPAY_INVOICE-08032022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-237-O.pdf,49,08/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/03/2022 00:00:00,null,null,null,Y,null,08/03/2022 00:00:00
AMNS,2021-2022,237,L00237/21-22,D,LATEPAY_INVOICE-08032022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-237-D.pdf,49,08/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/03/2022 00:00:00,null,null,null,null,null,null
AMNS,2021-2022,237,L00237/21-22,T,LATEPAY_INVOICE-08032022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-237-T.pdf,49,08/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,08/03/2022 00:00:00,null,null,null,Y,null,08/03/2022 00:00:00
AMNS,2022-2023,11,L00011/22-23,O,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-11-O.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,Y,null,28/04/2022 00:00:00
AMNS,2022-2023,11,L00011/22-23,D,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-11-D.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,null,null,null
AMNS,2022-2023,11,L00011/22-23,T,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-11-T.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,Y,null,28/04/2022 00:00:00
AMNS,2022-2023,12,L00012/22-23,O,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-12-O.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,Y,null,28/04/2022 00:00:00
AMNS,2022-2023,12,L00012/22-23,D,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-12-D.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,null,null,null
AMNS,2022-2023,12,L00012/22-23,T,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-12-T.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,Y,null,28/04/2022 00:00:00
AMNS,2022-2023,13,L00013/22-23,O,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-13-O.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,Y,null,28/04/2022 00:00:00
AMNS,2022-2023,13,L00013/22-23,D,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-13-D.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,null,null,null
AMNS,2022-2023,13,L00013/22-23,T,LATEPAY_INVOICE-28042022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-13-T.pdf,49,28/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2022 00:00:00,null,null,null,Y,null,28/04/2022 00:00:00
AMNS,2022-2023,19,L00019/22-23,D,LATEPAY_INVOICE-10052022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-19-D.pdf,49,10/05/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,10/05/2022 00:00:00,null,null,null,null,null,null
AMNS,2022-2023,19,L00019/22-23,T,LATEPAY_INVOICE-10052022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-19-T.pdf,49,10/05/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,10/05/2022 00:00:00,null,null,null,Y,null,10/05/2022 00:00:00
AMNS,2022-2023,19,L00019/22-23,O,LATEPAY_INVOICE-10052022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-19-O.pdf,49,10/05/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,10/05/2022 00:00:00,null,null,null,Y,null,10/05/2022 00:00:00
