COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,INV_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY
DV002/24-25,null,2,null,null,O,INVOICE-29042024-SPSSETL1-SINGAPORE-H-2.pdf,113,29/04/2024 16:18:45,null,null,Y,NAKUL ASHOK RAHEJA,29/04/2024 16:40:32,null,null,null
DV004/24-25,null,4,null,null,O,INVOICE-22072024-SPSSETL1-SINGAPORE-H-4.pdf,113,22/07/2024 15:50:43,null,null,Y,NAKUL ASHOK RAHEJA,22/07/2024 15:51:56,null,null,null
RDV013/24-25,null,13,null,null,O,INVOICE-21082024-SPSSETL1-SINGAPORE-H-13.pdf,113,05/09/2024 10:20:41,null,null,null,null,null,null,null,null
DV006/24-25,null,6,null,null,O,INVOICE-23092024-SPSSETL1-SINGAPORE-H-6.pdf,153,23/09/2024 18:39:49,null,null,Y,NAKUL ASHOK RAHEJA,04/11/2024 17:09:51,null,null,null
DV013/24-25,null,13,null,null,O,INVOICE-18122024-SPSSETL1-SINGAPORE-H-13.pdf,46,18/12/2024 16:51:38,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 16:53:09,null,null,null
DV017/24-25,null,17,null,null,O,INVOICE-15012025-SPSSETL1-SINGAPORE-H-17.pdf,113,17/01/2025 11:40:27,null,null,Y,NAKUL ASHOK RAHEJA,17/01/2025 12:29:43,null,null,null
DV019/24-25,null,19,null,null,O,INVOICE-15022025-SPSSETL1-SINGAPORE-H-19.pdf,46,18/02/2025 17:41:55,null,null,Y,NAKUL ASHOK RAHEJA,18/02/2025 17:43:25,null,null,null
DV021/24-25,null,21,null,null,O,INVOICE-15032025-SPSSETL1-SINGAPORE-H-21.pdf,201,18/03/2025 17:00:52,null,null,Y,NAKUL ASHOK RAHEJA,18/03/2025 17:06:42,null,null,null
2VD0001/25-26,null,1,null,null,O,INVOICE-22042025-SPSSETL1-SINGAPORE-H-1.pdf,46,28/04/2025 17:41:43,null,null,null,null,null,null,null,null
2VD0002/25-26,null,2,null,null,O,INVOICE-19052025-SPSSETL1-SINGAPORE-H-2.pdf,46,28/05/2025 15:46:52,null,null,null,null,null,null,null,null
2VGJ0006/25-26,null,6,null,null,O,INVOICE-15062025-SPSSETL1-SINGAPORE-H-6.pdf,46,16/06/2025 17:28:50,null,null,Y,NAKUL ASHOK RAHEJA,16/06/2025 17:31:01,null,null,null
2VGJ0008/25-26,null,8,null,null,O,INVOICE-15072025-SPSSETL1-SINGAPORE-H-8.pdf,46,16/07/2025 17:46:25,null,null,Y,NAKUL ASHOK RAHEJA,16/07/2025 17:47:04,null,null,null
2VD0004/25-26,null,4,null,null,O,INVOICE-22082025-SPSSETL1-SINGAPORE-H-4.pdf,46,29/08/2025 13:28:29,null,null,null,null,null,null,null,null
DV004/23-24,null,4,null,null,O,INVOICE-02012024-SIETCO-SINGAPORE-H-4-O.pdf,0,03/01/2024 18:15:01,null,null,Y,NAKUL ASHOK RAHEJA,03/01/2024 18:15:38,null,null,null
DV005/23-24,null,5,null,null,O,INVOICE-01022024-SIETCO-SINGAPORE-H-5-O.pdf,0,01/02/2024 18:33:03,null,null,Y,NAKUL ASHOK RAHEJA,01/02/2024 18:57:59,null,null,null
DV006/23-24,null,6,null,null,O,INVOICE-01032024-SIETCO-SINGAPORE-H-6-O.pdf,0,01/03/2024 18:10:01,null,null,Y,NAKUL ASHOK RAHEJA,01/03/2024 18:21:43,null,null,null
DV006/23-24,null,6,null,null,O,INVOICE-01032024-SIETCO-SINGAPORE-H-6.pdf,0,01/03/2024 18:10:01,null,null,null,null,null,null,null,null
RDV001/23-24,null,1,null,null,O,INVOICE-04012024-SIETCO-SINGAPORE-H-1-O.pdf,0,05/01/2024 19:54:29,null,null,null,null,null,null,null,null
RDV002/23-24,null,2,null,null,O,INVOICE-02022024-SIETCO-SINGAPORE-H-2-O.pdf,0,28/02/2024 10:06:27,null,null,null,null,null,null,null,null
RDV002/23-24,null,2,null,null,O,INVOICE-02022024-SIETCO-SINGAPORE-H-2.pdf,0,28/02/2024 10:06:27,null,null,null,null,null,null,null,null
RDV003/23-24,null,3,null,null,O,INVOICE-05032024-SIETCO-SINGAPORE-H-3-O.pdf,0,05/03/2024 16:54:58,null,null,null,null,null,null,null,null
RDV012/24-25,null,12,null,null,O,INVOICE-02082024-SIETCO-SINGAPORE-H-12.pdf,113,05/09/2024 10:20:43,null,null,null,null,null,null,null,null
RDV014/24-25,null,14,null,null,O,INVOICE-03092024-SIETCO-SINGAPORE-H-14.pdf,113,26/09/2024 11:03:22,null,null,null,null,null,null,null,null
DV008/24-25,null,8,null,null,O,INVOICE-03102024-SIETCO-SINGAPORE-H-8.pdf,46,03/10/2024 14:58:06,null,null,Y,NAKUL ASHOK RAHEJA,04/11/2024 17:09:51,null,null,null
DV010/24-25,null,10,null,null,O,INVOICE-31102024-SIETCO-SINGAPORE-H-10.pdf,201,04/11/2024 17:07:39,null,null,Y,NAKUL ASHOK RAHEJA,04/11/2024 17:09:51,null,null,null
DV012/24-25,null,12,null,null,O,INVOICE-30112024-SIETCO-SINGAPORE-H-12.pdf,113,03/12/2024 11:16:14,null,null,Y,NAKUL ASHOK RAHEJA,03/12/2024 11:21:07,null,null,null
DV015/24-25,null,15,null,null,O,INVOICE-03012025-SIETCO-SINGAPORE-H-15.pdf,46,03/01/2025 14:26:14,null,null,Y,NAKUL ASHOK RAHEJA,03/01/2025 14:29:03,null,null,null
RDV015/24-25,null,15,null,null,O,INVOICE-05022025-SIETCO-SINGAPORE-H-15.pdf,46,10/02/2025 16:01:17,null,null,null,null,null,null,null,null
DV020/24-25,null,20,null,null,O,INVOICE-28022025-SIETCO-SINGAPORE-H-20.pdf,46,04/03/2025 14:00:46,null,null,Y,NAKUL ASHOK RAHEJA,04/03/2025 14:08:23,null,null,null
DV022/24-25,null,22,null,null,O,INVOICE-31032025-SIETCO-SINGAPORE-H-22.pdf,46,21/04/2025 10:36:31,null,null,Y,NAKUL ASHOK RAHEJA,21/04/2025 10:38:57,null,null,null
2VGJ0002/25-26,null,2,null,null,O,INVOICE-30042025-SIETCO-SINGAPORE-H-2.pdf,46,02/05/2025 13:47:53,null,null,Y,NAKUL ASHOK RAHEJA,02/05/2025 13:50:39,null,null,null
2VGJ0004/25-26,null,4,null,null,O,INVOICE-31052025-SIETCO-SINGAPORE-H-4.pdf,201,04/06/2025 11:39:11,null,null,Y,NAKUL ASHOK RAHEJA,04/06/2025 11:43:51,null,null,null
2VGJ0007/25-26,null,7,null,null,O,INVOICE-30062025-SIETCO-SINGAPORE-H-7.pdf,201,03/07/2025 17:33:17,null,null,Y,NAKUL ASHOK RAHEJA,16/07/2025 17:47:04,null,null,null
2VGJ0009/25-26,null,9,null,null,O,INVOICE-31072025-SIETCO-SINGAPORE-H-9.pdf,46,04/08/2025 16:02:00,null,null,Y,NAKUL ASHOK RAHEJA,04/08/2025 16:43:20,null,null,null
2VGJ0011/25-26,null,11,null,null,O,INVOICE-31082025-SIETCO-SINGAPORE-H-11.pdf,201,02/09/2025 17:29:32,null,null,null,null,null,null,null,null
