COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_DT,INVOICE_NO,INVOICE_SEQ,CRITERIA,DR_CR_FLAG,DR_CR_REF_NO,DR_CR_SEQ,ENT_BY,ENT_DT,REMARK
GGL,2019-2020,39,S,31/01/2020 00:00:00,0100/19-20,100,1,DR,D011/19-20,null,23,04/02/2020 00:00:00,Ex rt for 31.01.2020 was published on 03.02.2020
GGL,2022-2023,39,S,31/08/2022 00:00:00,S0079/22-23,79,10,DR,D013/22-23,null,23,02/09/2022 00:00:00,Ship or pay charges
GGL,2023-2024,39,S,15/09/2023 00:00:00,S0127/23-24,127,10,DR,D007/23-24,null,23,10/10/2023 00:00:00,Shortfall of quantity billed
GGL,2020-2021,39,S,31/03/2021 00:00:00,S0367/20-21,367,10,DR,D008/21-22,null,48,07/04/2021 00:00:00,TCS Debit Note
GGL,2022-2023,39,S,15/06/2022 00:00:00,S0022/22-23,22,10,DR,D004/22-23,null,23,17/06/2022 00:00:00,Imbalance charges
GGL,2023-2024,39,S,15/04/2023 00:00:00,S0004/23-24,4,1,CR,C005/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
GGL,2023-2024,39,S,15/03/2024 00:00:00,SMH0192/23-24,192,2,DR,DMH037/23-24,null,23,19/03/2024 00:00:00,Change of price
GGL,2024-2025,39,S,15/05/2024 00:00:00,SMH0017/24-25,17,1,CR,CMH006/24-25,null,201,22/05/2024 00:00:00,Ex rate difference
GGL,2024-2025,39,S,31/05/2024 00:00:00,SMH0020/24-25,20,1,DR,DMH006/24-25,null,201,07/06/2024 00:00:00,Ex rate difference
GGL,2024-2025,39,S,30/06/2024 00:00:00,SMH0032/24-25,32,1,DR,DMH007/24-25,null,219,05/07/2024 00:00:00,Exchange rate Difference 
GGL,2024-2025,39,S,15/07/2024 00:00:00,SMH0037/24-25,37,1,DR,DMH012/24-25,null,219,22/07/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
GGL,2024-2025,39,S,15/08/2024 00:00:00,S0050/23-24,50,1,CR,CMH010/24-25,null,201,21/08/2024 00:00:00,EX RATE DIFF
