COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_DT,INVOICE_NO,INVOICE_SEQ,CRITERIA,DR_CR_FLAG,DR_CR_REF_NO,DR_CR_SEQ,ENT_BY,ENT_DT,REMARK
TASTELI,2022-2023,114,S,15/02/2023 00:00:00,SMH0168/22-23,168,10,DR,DMH017/22-23,null,153,17/02/2023 00:00:00,GAIL Imbalance Charges for Transmission service for Feb1FN 2023
TASTELI,2023-2024,114,S,15/04/2023 00:00:00,SMH0002/23-24,2,10,DR,DMH002/23-24,null,130,19/04/2023 00:00:00,GAIL Imbalance charges on account of off-take variation
TASTELI,2023-2024,114,S,31/05/2023 00:00:00,SMH0032/23-24,32,10,DR,DMH009/23-24,null,113,02/06/2023 00:00:00,Imbalance Charges
TASTELI,2022-2023,114,S,28/02/2023 00:00:00,SMH0177/22-23,177,10,DR,DMH020/22-23,null,153,03/03/2023 00:00:00,GAIL Imbalance Charges for Transmission service for Feb2FN 2023
TASTELI,2022-2023,114,S,15/03/2023 00:00:00,SMH0181/22-23,181,10,DR,DMH027/22-23,null,49,17/03/2023 00:00:00,Imbalance charges for transmission service
TASTELI,2023-2024,114,S,30/04/2023 00:00:00,SMH0013/23-24,13,10,DR,DMH004/23-24,null,130,03/05/2023 00:00:00,GAIL Imbalance charges for transmission service
TASTELI,2023-2024,114,S,15/05/2023 00:00:00,SMH0022/23-24,22,10,DR,DMH007/23-24,null,49,17/05/2023 00:00:00,Imbalance charges for transmission service
TASTELI,2023-2024,114,S,07/06/2023 00:00:00,SMH0036/23-24,36,10,DR,DMH010/23-24,null,113,20/06/2023 00:00:00,Debit note for Imbalance charges
TASTELI,2024-2025,114,S,30/06/2024 00:00:00,SMH0033/24-25,33,1,DR,DMH009/24-25,null,219,05/07/2024 00:00:00,Exchange rate deference 
TASTELI,2024-2025,114,S,15/07/2024 00:00:00,SMH0041/24-25,41,1,DR,DMH013/24-25,null,219,22/07/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
TASTELI,2024-2025,114,S,15/06/2024 00:00:00,SMH0027/24-25,27,1,CR,CMH009/24-25,null,219,20/06/2024 00:00:00,Difference in Exchange rate
TASTELI,2024-2025,114,S,31/07/2024 00:00:00,SMH0048/24-25,48,1,DR,DMH018/24-25,null,46,06/08/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
HMEL,2023-2024,113,L,15/03/2024 00:00:00,SMH0194/23-24,194,10,DR,DMH038/23-24,null,23,19/03/2024 00:00:00,Change in weighted av ex rt and addition of TT
HMEL,2024-2025,113,L,15/11/2024 00:00:00,S0229/24-25,229,10,DR,D028/24-25,null,46,18/11/2024 00:00:00,Transportation tariff
HMEL,2024-2025,113,L,15/01/2025 00:00:00,S0270/24-25,270,10,DR,D036/24-25,null,201,17/01/2025 00:00:00,IMBALANCE CHARGES
HMEL,2024-2025,113,L,31/01/2025 00:00:00,S0297/24-25,297,6,CR,C010/24-25,null,46,03/02/2025 00:00:00,Transportation Tariff
HMEL,2025-2026,113,L,30/04/2025 00:00:00,SAP0011/24-25,11,1,DR,2DRGJ0002/25-26,null,201,05/05/2025 00:00:00,EX RATE DIFFERENCE
HMEL,2025-2026,113,L,30/04/2025 00:00:00,SAP0010/24-25,10,1,DR,2DRGJ0001/25-26,null,201,05/05/2025 00:00:00,EX RATE DIFFERENCE
HMEL,2024-2025,113,L,30/11/2024 00:00:00,S0241/24-25,241,10,DR,D031/24-25,null,46,02/12/2024 00:00:00,Imbalance charges
HMEL,2024-2025,113,L,31/03/2025 00:00:00,SMH0117/24-25,117,10,DR,2DRMH0001/25-26,null,46,03/04/2025 00:00:00,Imbalance charges
HMEL,2025-2026,113,L,31/08/2025 00:00:00,2SAP0026/25-26,26,10,N,2SAP0026/25-26,null,256,04/09/2025 00:00:00,ER diff for 27th August 
HMEL,2025-2026,113,L,31/08/2025 00:00:00,2SAP0025/25-26,25,10,N,2SAP0025/25-26,null,256,04/09/2025 00:00:00,ER diff for 27th August 
BOROREN,2023-2024,136,S,15/01/2024 00:00:00,S0323/23-24,323,10,DR,D027/23-24,null,201,18/01/2024 00:00:00,Imbalance charge
BOROREN,2023-2024,136,S,31/01/2024 00:00:00,S0354/23-24,354,10,DR,D035/23-24,null,201,05/02/2024 00:00:00,IMBALANCE CHARGES
SUMGLAS,2023-2024,134,S,31/10/2023 00:00:00,S0177/23-24,177,10,DR,D011/23-24,null,201,03/11/2023 00:00:00,IMBALANCE QTY
SVTPLIN,2023-2024,135,S,15/02/2024 00:00:00,S0369/23-24,369,1,DR,D041/23-24,null,46,21/02/2024 00:00:00,Difference in exchange rate
SVTPLIN,2023-2024,135,S,29/02/2024 00:00:00,S0391/23-24,391,1,CR,C037/23-24,null,201,05/03/2024 00:00:00,Ex rate difference 
SVTPLIN,2023-2024,135,S,31/01/2024 00:00:00,S0358/23-24,358,10,DR,D033/23-24,null,46,02/02/2024 00:00:00,Imbalance charge invoice
SVTPLIN,2023-2024,135,S,15/03/2024 00:00:00,S0410/23-24,410,10,DR,D044/23-24,null,201,19/03/2024 00:00:00,IMBALANCE CHARGES
SVTPLIN,2023-2024,135,S,31/03/2024 00:00:00,S0435/23-24,435,1,DR,D048/23-24,null,201,02/04/2024 00:00:00,Imbalance charges
SVTPLIN,2024-2025,135,S,30/04/2024 00:00:00,S0030/24-25,30,1,CR,C001/24-25,null,201,06/05/2024 00:00:00,EX RATE DIFFERENCE
SVTPLIN,2024-2025,135,S,01/05/2024 00:00:00,S0031/24-25,31,1,CR,C002/24-25,null,46,22/05/2024 00:00:00,DIFF IN EX RATE
SVTPLIN,2024-2025,135,S,15/04/2024 00:00:00,S0014/24-25,14,1,DR,D005/24-25,null,201,22/04/2024 00:00:00,EX RATE DIFFERENCE
LANCOKO,2025-2026,146,S,31/07/2025 00:00:00,2SAP0014/25-26,14,10,DR,2DRAP0001/25-26,null,201,05/08/2025 00:00:00,imbalance charges
LANCOKO,2025-2026,146,S,15/08/2025 00:00:00,2SAP0020/25-26,20,10,DR,2DRAP0002/25-26,null,46,18/08/2025 00:00:00,Imbalance  & UnAth Overrun Charges
LANCOKO,2025-2026,146,S,31/08/2025 00:00:00,2SAP0023/25-26,23,10,DR,2DRAP0003/25-26,null,256,03/09/2025 00:00:00,Imbalance  & UnAth Overrun Charges
CRMNDEL,2024-2025,149,S,15/07/2024 00:00:00,SAP0001/24-25,1,1,DR,DAP001/24-25,null,219,22/07/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
CRMNDEL,2024-2025,149,S,31/07/2024 00:00:00,SAP0002/24-25,2,3,DR,DAP002/24-25,null,201,06/08/2024 00:00:00,Ex rate diff
