COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,SVC_INVOICE_SEQ,SVC_INVOICE_NO,INVOICE_SEQ,INVOICE_NO,TRUCK_TRANS_CD,TRUCK_CD,MAPPING_ID,PERIOD_START_DT,PERIOD_END_DT,QTY_MMBTU,DISTANCE,ENT_BY,ENT_DT
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,17,TMS00017/22-23,T0224/22-23,T0224/22-23,null,null,null,null,null,837.00,null,36,16/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,20,TMS00020/22-23,T0230/22-23,T0230/22-23,null,null,null,null,null,834.49,null,6,01/07/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,20,TMS00020/22-23,T0235/22-23,T0235/22-23,null,null,null,null,null,839.16,null,6,01/07/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,20,TMS00020/22-23,T0270/22-23,T0270/22-23,null,null,null,null,null,841.47,null,6,01/07/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-3-5-0,1,0,5,0,B,1,null,26,TMS00026/22-23,T0351/22-23,T0351/22-23,null,null,null,null,null,840.11,null,36,01/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-3-5-0,1,0,5,0,B,1,null,26,TMS00026/22-23,T0357/22-23,T0357/22-23,null,null,null,null,null,841.47,null,36,01/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-3-5-0,1,0,5,0,B,1,null,42,TMS00042/22-23,T0461/22-23,T0461/22-23,null,null,null,null,null,827.98,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-3-5-0,1,0,5,0,B,1,null,62,TMS00062/22-23,T0718/22-23,T0718/22-23,null,null,null,null,null,836.40,null,6,02/01/2023 00:00:00
SGIPL,2022-2023,SGIPL-1-0-3-5-0,1,0,5,0,B,1,null,66,TMS00066/22-23,T0802/22-23,T0802/22-23,null,null,null,null,null,838.49,null,6,16/01/2023 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,24,TMS00024/22-23,T0287/22-23,T0287/22-23,null,null,null,null,null,840.25,null,36,18/07/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,24,TMS00024/22-23,T0292/22-23,T0292/22-23,null,null,null,null,null,839.69,null,36,18/07/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,25,TMS00025/22-23,T0324/22-23,T0324/22-23,null,null,null,null,null,847.17,null,36,01/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,25,TMS00025/22-23,T0339/22-23,T0339/22-23,null,null,null,null,null,841.57,null,36,01/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,25,TMS00025/22-23,T0344/22-23,T0344/22-23,null,null,null,null,null,844.30,null,36,01/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,25,TMS00025/22-23,T0348/22-23,T0348/22-23,null,null,null,null,null,851.39,null,36,01/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,25,TMS00025/22-23,T0355/22-23,T0355/22-23,null,null,null,null,null,839.25,null,36,01/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,32,TMS00032/22-23,T0362/22-23,T0362/22-23,null,null,null,null,null,839.93,null,36,16/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,32,TMS00032/22-23,T0364/22-23,T0364/22-23,null,null,null,null,null,840.40,null,36,16/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,32,TMS00032/22-23,T0372/22-23,T0372/22-23,null,null,null,null,null,832.85,null,36,16/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,32,TMS00032/22-23,T0378/22-23,T0378/22-23,null,null,null,null,null,841.50,null,36,16/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,32,TMS00032/22-23,T0383/22-23,T0383/22-23,null,null,null,null,null,837.15,null,36,16/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,32,TMS00032/22-23,T0388/22-23,T0388/22-23,null,null,null,null,null,841.94,null,36,16/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,32,TMS00032/22-23,T0393/22-23,T0393/22-23,null,null,null,null,null,838.57,null,36,16/08/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0395/22-23,T0395/22-23,null,null,null,null,null,838.97,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0398/22-23,T0398/22-23,null,null,null,null,null,782.34,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0404/22-23,T0404/22-23,null,null,null,null,null,882.72,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0408/22-23,T0408/22-23,null,null,null,null,null,838.24,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0411/22-23,T0411/22-23,null,null,null,null,null,838.42,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0419/22-23,T0419/22-23,null,null,null,null,null,831.76,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0421/22-23,T0421/22-23,null,null,null,null,null,837.84,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,35,TMS00035/22-23,T0423/22-23,T0423/22-23,null,null,null,null,null,835.00,null,6,01/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,38,TMS00038/22-23,T0428/22-23,T0428/22-23,null,null,null,null,null,773.90,null,36,16/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,38,TMS00038/22-23,T0436/22-23,T0436/22-23,null,null,null,null,null,839.51,null,36,16/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,38,TMS00038/22-23,T0439/22-23,T0439/22-23,null,null,null,null,null,828.60,null,36,16/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,38,TMS00038/22-23,T0443/22-23,T0443/22-23,null,null,null,null,null,829.86,null,36,16/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,38,TMS00038/22-23,T0446/22-23,T0446/22-23,null,null,null,null,null,828.56,null,36,16/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,38,TMS00038/22-23,T0451/22-23,T0451/22-23,null,null,null,null,null,840.27,null,36,16/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,38,TMS00038/22-23,T0455/22-23,T0455/22-23,null,null,null,null,null,843.09,null,36,16/09/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0463/22-23,T0463/22-23,null,null,null,null,null,832.96,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0468/22-23,T0468/22-23,null,null,null,null,null,833.97,null,153,03/10/2022 00:00:00
