COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
2,24,DT005/23-24,2023-2024,T,DEBIT-INVOICE-01112023-MINDA-Minda-Detroj-S-953-2.pdf,61,01/11/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,09/11/2023 00:00:00,null,null,null,Y,null,22/11/2023 00:00:00
2,24,DT001/24-25,2024-2025,O,DEBIT-INVOICE-11072024-MINDA-Minda-Detroj-S-484-d.pdf,216,11/07/2024 00:00:00,null,null,Y,KIRAN CHAITANYA YERRAMILLI,12/07/2024 00:00:00,null,null,null,Y,null,12/07/2024 00:00:00
2,24,DT001/24-25,2024-2025,D,DEBIT-INVOICE-11072024-MINDA-Minda-Detroj-S-484-1.pdf,113,12/07/2024 00:00:00,null,null,Y,KIRAN CHAITANYA YERRAMILLI,12/07/2024 00:00:00,null,null,null,Y,null,12/07/2024 00:00:00
2,24,DT001/24-25,2024-2025,T,DEBIT-INVOICE-11072024-MINDA-Minda-Detroj-S-484-2.pdf,216,11/07/2024 00:00:00,null,null,Y,KIRAN CHAITANYA YERRAMILLI,12/07/2024 00:00:00,null,null,null,Y,null,12/07/2024 00:00:00
2,24,DT003/24-25,2024-2025,O,DEBIT-INVOICE-15112024-MINDA-Minda-Detroj-S-1001-d.pdf,61,15/11/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/11/2024 00:00:00,null,null,null,Y,null,29/11/2024 00:00:00
2,24,DT003/24-25,2024-2025,D,DEBIT-INVOICE-15112024-MINDA-Minda-Detroj-S-1001-1.pdf,46,29/11/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/11/2024 00:00:00,null,null,null,Y,null,29/11/2024 00:00:00
2,24,DT003/24-25,2024-2025,T,DEBIT-INVOICE-15112024-MINDA-Minda-Detroj-S-1001-2.pdf,61,15/11/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/11/2024 00:00:00,null,null,null,Y,null,29/11/2024 00:00:00
2,24,DT002/23-24,2023-2024,O,DEBIT-INVOICE-03082023-LEIPL-LNG Express Plant-Vadodara -S-379-d.pdf,56,03/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/08/2023 00:00:00,null,null,null,Y,null,04/08/2023 00:00:00
2,24,DT002/23-24,2023-2024,D,DEBIT-INVOICE-03082023-LEIPL-LNG Express Plant-Vadodara -S-379-1.pdf,113,04/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/08/2023 00:00:00,null,null,null,Y,null,04/08/2023 00:00:00
2,24,DT002/23-24,2023-2024,T,DEBIT-INVOICE-03082023-LEIPL-LNG Express Plant-Vadodara -S-379-2.pdf,56,03/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/08/2023 00:00:00,null,null,null,Y,null,04/08/2023 00:00:00
2,24,DT004/23-24,2023-2024,O,DEBIT-INVOICE-05082023-LEIPL-LNG Express Plant-Vadodara -S-392-d.pdf,52,05/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/08/2023 00:00:00,null,null,null,Y,null,07/08/2023 00:00:00
2,24,DT004/23-24,2023-2024,D,DEBIT-INVOICE-05082023-LEIPL-LNG Express Plant-Vadodara -S-392-1.pdf,113,07/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/08/2023 00:00:00,null,null,null,Y,null,07/08/2023 00:00:00
2,24,DT004/23-24,2023-2024,T,DEBIT-INVOICE-05082023-LEIPL-LNG Express Plant-Vadodara -S-392-2.pdf,52,05/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/08/2023 00:00:00,null,null,null,Y,null,07/08/2023 00:00:00
2,24,CT013/23-24,2023-2024,O,CREDIT-INVOICE-06092023-LEIPL-LNG Express Plant-Vadodara -S-614-C.pdf,74,06/09/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/09/2023 00:00:00,null,null,null,Y,null,07/09/2023 00:00:00
