COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,SEC_INT_REF,INV_COMPONENT,AMOUNT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,TAX_AMT,TAX_STRUCT_CD,TDS_STRUCT_CD,TDS_TAX_AMT,BU_UNIT,PLANT_SEQ,GROSS_AMT
2019-2020,00665/19-20,665,2019-2020,A011/2019-20,CGST,12537348,null,16/01/2020 12:39:15,18,null,25074696,CGST 9%@ SGST 9%,TDS 2.0%,2786077.34,1,1,139303867
2019-2020,00665/19-20,665,2019-2020,A011/2019-20,SGST,12537348,null,16/01/2020 12:39:15,18,null,25074696,CGST 9%@ SGST 9%,TDS 2.0%,2786077.34,1,1,139303867
2019-2020,00459/19-20,459,2019-2020,A007/2019-20,GROSS,92051868,null,16/10/2019 14:50:20,18,null,16569336,CGST 9%@ SGST 9%,TDS 2.0%,1841037.36,1,1,92051868
2019-2020,00459/19-20,459,2019-2020,A007/2019-20,CGST,8284668,null,16/10/2019 14:50:20,18,null,16569336,CGST 9%@ SGST 9%,TDS 2.0%,1841037.36,1,1,92051868
2019-2020,00459/19-20,459,2019-2020,A007/2019-20,SGST,8284668,null,16/10/2019 14:50:20,18,null,16569336,CGST 9%@ SGST 9%,TDS 2.0%,1841037.36,1,1,92051868
2019-2020,00545/19-20,545,2019-2020,A009/2019-20,GROSS,64814670,null,02/12/2019 12:41:37,18,null,11666640,CGST 9%@ SGST 9%,TDS 2.0%,1296293.4,1,1,64814670
2019-2020,00545/19-20,545,2019-2020,A009/2019-20,CGST,5833320,null,02/12/2019 12:41:37,18,null,11666640,CGST 9%@ SGST 9%,TDS 2.0%,1296293.4,1,1,64814670
2019-2020,00545/19-20,545,2019-2020,A009/2019-20,SGST,5833320,null,02/12/2019 12:41:37,18,null,11666640,CGST 9%@ SGST 9%,TDS 2.0%,1296293.4,1,1,64814670
2019-2020,00580/19-20,580,2019-2020,A009/2019-20,GROSS,86703618,null,17/12/2019 16:46:03,18,null,15606652,CGST 9%@ SGST 9%,TDS 2.0%,1734072.36,1,1,86703618
2019-2020,00580/19-20,580,2019-2020,A009/2019-20,CGST,7803326,null,17/12/2019 16:46:03,18,null,15606652,CGST 9%@ SGST 9%,TDS 2.0%,1734072.36,1,1,86703618
2019-2020,00580/19-20,580,2019-2020,A009/2019-20,SGST,7803326,null,17/12/2019 16:46:03,18,null,15606652,CGST 9%@ SGST 9%,TDS 2.0%,1734072.36,1,1,86703618
2019-2020,00602/19-20,602,2019-2020,A009/2019-20,GROSS,17770997,null,19/12/2019 19:03:56,18,null,3198780,CGST 9%@ SGST 9%,TDS 2.0%,null,1,1,17770997
2019-2020,00602/19-20,602,2019-2020,A009/2019-20,CGST,1599390,null,19/12/2019 19:03:56,18,null,3198780,CGST 9%@ SGST 9%,TDS 2.0%,null,1,1,17770997
2019-2020,00602/19-20,602,2019-2020,A009/2019-20,SGST,1599390,null,19/12/2019 19:03:56,18,null,3198780,CGST 9%@ SGST 9%,TDS 2.0%,null,1,1,17770997
2019-2020,00523/19-20,523,2019-2020,A009/2019-20,GROSS,19174627,null,16/11/2019 12:51:26,18,null,3451432,CGST 9%@ SGST 9%,TDS 2.0%,383492.54,1,1,19174627
2019-2020,00523/19-20,523,2019-2020,A009/2019-20,CGST,1725716,null,16/11/2019 12:51:26,18,null,3451432,CGST 9%@ SGST 9%,TDS 2.0%,383492.54,1,1,19174627
2019-2020,00523/19-20,523,2019-2020,A009/2019-20,SGST,1725716,null,16/11/2019 12:51:26,18,null,3451432,CGST 9%@ SGST 9%,TDS 2.0%,383492.54,1,1,19174627
2019-2020,00793/19-20,793,2019-2020,A015/2019-20,GROSS,20870719,null,18/03/2020 11:44:36,18,null,3756730,CGST 9%@ SGST 9%,TDS 2.0%,417414.38,1,1,20870719
2019-2020,00793/19-20,793,2019-2020,A015/2019-20,CGST,1878365,null,18/03/2020 11:44:36,18,null,3756730,CGST 9%@ SGST 9%,TDS 2.0%,417414.38,1,1,20870719
2019-2020,00793/19-20,793,2019-2020,A015/2019-20,SGST,1878365,null,18/03/2020 11:44:36,18,null,3756730,CGST 9%@ SGST 9%,TDS 2.0%,417414.38,1,1,20870719
2020-2021,L00069/20-21,69,2020-2021,A002/20-21,GROSS,67683211,null,18/05/2020 14:13:38,18,null,12182978,CGST 9%@ SGST 9%,TDS 2.0%,1353664.22,1,1,67683211
2020-2021,L00069/20-21,69,2020-2021,A002/20-21,CGST,6091489,null,18/05/2020 14:13:38,18,null,12182978,CGST 9%@ SGST 9%,TDS 2.0%,1353664.22,1,1,67683211
2020-2021,L00069/20-21,69,2020-2021,A002/20-21,SGST,6091489,null,18/05/2020 14:13:38,18,null,12182978,CGST 9%@ SGST 9%,TDS 2.0%,1353664.22,1,1,67683211
2020-2021,L00195/20-21,195,2020-2021,A005/20-21,GROSS,64955812,null,16/07/2020 12:13:51,18,null,11692046,CGST 9%@ SGST 9%,TDS 1.5%,974337.18,1,1,64955812
2020-2021,L00195/20-21,195,2020-2021,A005/20-21,CGST,5846023,null,16/07/2020 12:13:51,18,null,11692046,CGST 9%@ SGST 9%,TDS 1.5%,974337.18,1,1,64955812
2020-2021,L00195/20-21,195,2020-2021,A005/20-21,SGST,5846023,null,16/07/2020 12:13:51,18,null,11692046,CGST 9%@ SGST 9%,TDS 1.5%,974337.18,1,1,64955812
2020-2021,L00371/20-21,371,2020-2021,A011/20-21,GROSS,4355605,null,03/11/2020 11:55:10,18,null,784008,CGST 9%@ SGST 9%,TDS 1.5%,65334.075,1,1,4355605
2020-2021,L00371/20-21,371,2020-2021,A011/20-21,CGST,392004,null,03/11/2020 11:55:10,18,null,784008,CGST 9%@ SGST 9%,TDS 1.5%,65334.075,1,1,4355605
2020-2021,L00371/20-21,371,2020-2021,A011/20-21,SGST,392004,null,03/11/2020 11:55:10,18,null,784008,CGST 9%@ SGST 9%,TDS 1.5%,65334.075,1,1,4355605
2020-2021,L00292/20-21,292,2020-2021,A008/20-21,GROSS,116339385,null,16/09/2020 10:50:37,18,null,20941090,CGST 9%@ SGST 9%,TDS 1.5%,1745090.775,1,1,116339385
2020-2021,L00292/20-21,292,2020-2021,A008/20-21,CGST,10470545,null,16/09/2020 10:50:37,18,null,20941090,CGST 9%@ SGST 9%,TDS 1.5%,1745090.775,1,1,116339385
2020-2021,L00292/20-21,292,2020-2021,A008/20-21,SGST,10470545,null,16/09/2020 10:50:37,18,null,20941090,CGST 9%@ SGST 9%,TDS 1.5%,1745090.775,1,1,116339385
2020-2021,L00314/20-21,314,2020-2021,A009/20-21,GROSS,91106908,null,01/10/2020 11:18:20,18,null,16399244,CGST 9%@ SGST 9%,TDS 1.5%,1366603.62,1,1,91106908
2020-2021,L00314/20-21,314,2020-2021,A009/20-21,CGST,8199622,null,01/10/2020 11:18:20,18,null,16399244,CGST 9%@ SGST 9%,TDS 1.5%,1366603.62,1,1,91106908
2020-2021,L00314/20-21,314,2020-2021,A009/20-21,SGST,8199622,null,01/10/2020 11:18:20,18,null,16399244,CGST 9%@ SGST 9%,TDS 1.5%,1366603.62,1,1,91106908
2019-2020,00692/19-20,692,2019-2020,A012/2019-20,GROSS,69052472,null,01/02/2020 14:45:59,18,null,12429444,CGST 9%@ SGST 9%,TDS 2.0%,1381049.44,1,1,69052472
2019-2020,00692/19-20,692,2019-2020,A012/2019-20,CGST,6214722,null,01/02/2020 14:45:59,18,null,12429444,CGST 9%@ SGST 9%,TDS 2.0%,1381049.44,1,1,69052472
2019-2020,00692/19-20,692,2019-2020,A012/2019-20,SGST,6214722,null,01/02/2020 14:45:59,18,null,12429444,CGST 9%@ SGST 9%,TDS 2.0%,1381049.44,1,1,69052472
2020-2021,L00357/20-21,357,2020-2021,A010/20-21,GROSS,103552326,null,26/10/2020 16:47:02,18,null,18639418,CGST 9%@ SGST 9%,TDS 1.5%,1553284.89,1,1,103552326
2020-2021,L00357/20-21,357,2020-2021,A010/20-21,CGST,9319709,null,26/10/2020 16:47:02,18,null,18639418,CGST 9%@ SGST 9%,TDS 1.5%,1553284.89,1,1,103552326
2020-2021,L00357/20-21,357,2020-2021,A010/20-21,SGST,9319709,null,26/10/2020 16:47:02,18,null,18639418,CGST 9%@ SGST 9%,TDS 1.5%,1553284.89,1,1,103552326
2020-2021,L00436/20-21,436,2020-2021,A012/20-21,GROSS,57168254,null,08/12/2020 12:08:02,18,null,10290286,CGST 9%@ SGST 9%,TDS 1.5%,857523.81,1,1,57168254
2020-2021,L00436/20-21,436,2020-2021,A012/20-21,CGST,5145143,null,08/12/2020 12:08:02,18,null,10290286,CGST 9%@ SGST 9%,TDS 1.5%,857523.81,1,1,57168254
2020-2021,L00436/20-21,436,2020-2021,A012/20-21,SGST,5145143,null,08/12/2020 12:08:02,18,null,10290286,CGST 9%@ SGST 9%,TDS 1.5%,857523.81,1,1,57168254
2020-2021,L00013/20-21,13,2020-2021,A015/2019-20,GROSS,29442880,null,16/04/2020 10:53:27,18,null,5299718,CGST 9%@ SGST 9%,TDS 2.0%,588857.6,1,1,29442880
2020-2021,L00013/20-21,13,2020-2021,A015/2019-20,CGST,2649859,null,16/04/2020 10:53:27,18,null,5299718,CGST 9%@ SGST 9%,TDS 2.0%,588857.6,1,1,29442880
2020-2021,L00013/20-21,13,2020-2021,A015/2019-20,SGST,2649859,null,16/04/2020 10:53:27,18,null,5299718,CGST 9%@ SGST 9%,TDS 2.0%,588857.6,1,1,29442880
2019-2020,00727/19-20,727,2019-2020,A013/2019-20,GROSS,29811250,null,20/02/2020 14:46:19,18,null,5366026,CGST 9%@ SGST 9%,TDS 2.0%,596225,1,1,29811250
2019-2020,00727/19-20,727,2019-2020,A013/2019-20,CGST,2683013,null,20/02/2020 14:46:19,18,null,5366026,CGST 9%@ SGST 9%,TDS 2.0%,596225,1,1,29811250
2019-2020,00727/19-20,727,2019-2020,A013/2019-20,SGST,2683013,null,20/02/2020 14:46:19,18,null,5366026,CGST 9%@ SGST 9%,TDS 2.0%,596225,1,1,29811250
2019-2020,00728/19-20,728,2019-2020,A013/2019-20,GROSS,26632946,null,20/02/2020 15:11:44,18,null,4793930,CGST 9%@ SGST 9%,TDS 2.0%,532658.92,1,1,26632946
2019-2020,00728/19-20,728,2019-2020,A013/2019-20,CGST,2396965,null,20/02/2020 15:11:44,18,null,4793930,CGST 9%@ SGST 9%,TDS 2.0%,532658.92,1,1,26632946
2019-2020,00728/19-20,728,2019-2020,A013/2019-20,SGST,2396965,null,20/02/2020 15:11:44,18,null,4793930,CGST 9%@ SGST 9%,TDS 2.0%,532658.92,1,1,26632946
2020-2021,L00136/20-21,136,2020-2021,A003/20-21,GROSS,142135567,null,16/06/2020 17:34:08,18,null,25584402,CGST 9%@ SGST 9%,TDS 2.0%,2842711.34,1,1,142135567
2020-2021,L00136/20-21,136,2020-2021,A003/20-21,CGST,12792201,null,16/06/2020 17:34:08,18,null,25584402,CGST 9%@ SGST 9%,TDS 2.0%,2842711.34,1,1,142135567
2020-2021,L00136/20-21,136,2020-2021,A003/20-21,SGST,12792201,null,16/06/2020 17:34:08,18,null,25584402,CGST 9%@ SGST 9%,TDS 2.0%,2842711.34,1,1,142135567
2020-2021,L00181/20-21,181,2020-2021,A004/20-21,GROSS,91948855,null,13/07/2020 18:06:43,18,null,16550794,CGST 9%@ SGST 9%,TDS 1.5%,1379232.825,1,1,91948855
2020-2021,L00181/20-21,181,2020-2021,A004/20-21,CGST,8275397,null,13/07/2020 18:06:43,18,null,16550794,CGST 9%@ SGST 9%,TDS 1.5%,1379232.825,1,1,91948855
2020-2021,L00181/20-21,181,2020-2021,A004/20-21,SGST,8275397,null,13/07/2020 18:06:43,18,null,16550794,CGST 9%@ SGST 9%,TDS 1.5%,1379232.825,1,1,91948855
2020-2021,L00405/20-21,405,2020-2021,A011/20-21,GROSS,151449821,null,17/11/2020 12:33:14,18,null,27260968,CGST 9%@ SGST 9%,TDS 1.5%,2271747.315,1,1,151449821
2020-2021,L00405/20-21,405,2020-2021,A011/20-21,CGST,13630484,null,17/11/2020 12:33:14,18,null,27260968,CGST 9%@ SGST 9%,TDS 1.5%,2271747.315,1,1,151449821
2020-2021,L00405/20-21,405,2020-2021,A011/20-21,SGST,13630484,null,17/11/2020 12:33:14,18,null,27260968,CGST 9%@ SGST 9%,TDS 1.5%,2271747.315,1,1,151449821
2020-2021,L00406/20-21,406,2020-2021,A011/20-21,GROSS,30615902,null,20/11/2020 16:14:50,18,null,5510862,CGST 9%@ SGST 9%,TDS 1.5%,459238.53,1,1,30615902
2020-2021,L00406/20-21,406,2020-2021,A011/20-21,CGST,2755431,null,20/11/2020 16:14:50,18,null,5510862,CGST 9%@ SGST 9%,TDS 1.5%,459238.53,1,1,30615902
2020-2021,L00406/20-21,406,2020-2021,A011/20-21,SGST,2755431,null,20/11/2020 16:14:50,18,null,5510862,CGST 9%@ SGST 9%,TDS 1.5%,459238.53,1,1,30615902
2020-2021,L00247/20-21,247,2020-2021,A006/20-21,GROSS,59381311,null,25/08/2020 16:35:28,18,null,10688636,CGST 9%@ SGST 9%,TDS 1.5%,890719.665,1,1,59381311
2020-2021,L00247/20-21,247,2020-2021,A006/20-21,CGST,5344318,null,25/08/2020 16:35:28,18,null,10688636,CGST 9%@ SGST 9%,TDS 1.5%,890719.665,1,1,59381311
2020-2021,L00247/20-21,247,2020-2021,A006/20-21,SGST,5344318,null,25/08/2020 16:35:28,18,null,10688636,CGST 9%@ SGST 9%,TDS 1.5%,890719.665,1,1,59381311
2020-2021,L00446/20-21,446,2020-2021,A013/20-21,GROSS,59566504,null,22/12/2020 13:04:36,18,null,10721970,CGST 9%@ SGST 9%,TDS 1.5%,893497.56,1,1,59566504
2020-2021,L00446/20-21,446,2020-2021,A013/20-21,CGST,5360985,null,22/12/2020 13:04:36,18,null,10721970,CGST 9%@ SGST 9%,TDS 1.5%,893497.56,1,1,59566504
