COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY,SUPPLIER_CD
2,00032/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-32-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00032/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-32-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00032/2017-18/P,HS,2017-2018,D,INVOICE-2-2017-2018-32-2-D.pdf,null,05/01/2018,null,null,null,null,null,null,null,null,1
2,00032/2017-18/P,HS,2017-2018,O,INVOICE-2-2017-2018-32-2-O.pdf,null,05/01/2018,null,null,null,null,null,null,null,null,1
2,00032/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-32-2-D.pdf,null,03/08/2018,null,null,null,null,null,null,null,null,1
2,00032/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-32-2-O.pdf,null,03/08/2018,null,null,null,null,null,null,null,null,1
2,00032/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-32-2-D.pdf,null,25/07/2019,null,null,null,null,null,null,null,null,1
2,00032/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-32-2-O.pdf,null,25/07/2019,null,null,null,null,null,null,null,null,1
2,00033/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-33-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00033/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-33-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00033/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-33-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00033/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-33-2-D.pdf,null,04/01/2018,null,null,null,null,null,null,null,null,1
2,00033/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-33-2-O.pdf,null,04/01/2018,null,null,null,null,null,null,null,null,1
2,00033/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-33-2-D.pdf,null,08/08/2018,null,null,null,null,null,null,null,null,1
2,00033/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-33-2-O.pdf,null,08/08/2018,null,null,null,null,null,null,null,null,1
2,00033/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-33-2-D.pdf,null,25/07/2019,null,null,null,null,null,null,null,null,1
2,00033/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-33-2-O.pdf,null,25/07/2019,null,null,null,null,null,null,null,null,1
2,00034/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-34-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00034/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-34-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00034/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-34-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00034/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-34-2-D.pdf,null,17/01/2018,null,null,null,null,null,null,null,null,1
2,00034/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-34-2-O.pdf,null,17/01/2018,null,null,null,null,null,null,null,null,1
2,00034/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-34-2-D.pdf,null,08/08/2018,null,null,null,null,null,null,null,null,1
2,00034/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-34-2-O.pdf,null,08/08/2018,null,null,null,null,null,null,null,null,1
2,00034/2019-20/P,HS,2019-2020,D,INVOICE-2-2019-2020-34-2-D.pdf,null,05/08/2019,null,null,null,null,null,null,null,null,1
2,00034/2019-20/P,HS,2019-2020,O,INVOICE-2-2019-2020-34-2-O.pdf,null,05/08/2019,null,null,null,null,null,null,null,null,1
2,00035/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-35-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00035/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-35-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00035/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-35-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00035/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-35-2-D.pdf,null,25/01/2018,null,null,null,null,null,null,null,null,1
2,00035/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-35-2-O.pdf,null,25/01/2018,null,null,null,null,null,null,null,null,1
2,00035/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-35-2-D.pdf,null,21/08/2018,null,null,null,null,null,null,null,null,1
2,00035/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-35-2-O.pdf,null,21/08/2018,null,null,null,null,null,null,null,null,1
2,00035/2019-20/P,HS,2019-2020,D,INVOICE-2-2019-2020-35-2-D.pdf,null,05/08/2019,null,null,null,null,null,null,null,null,1
2,00035/2019-20/P,HS,2019-2020,O,INVOICE-2-2019-2020-35-2-O.pdf,null,05/08/2019,null,null,null,null,null,null,null,null,1
2,00036/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-36-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
