

2 ,65 , AGP CGD , 1, 	(06-FEB-2025 11:27:14)
2 ,66 , MINDA , 1, 	(06-FEB-2025 11:27:14)
2 ,67 , LEIPL , 1, 	(06-FEB-2025 11:27:14)
2 ,  , SCHOTT , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,68 , HIL , 1, 	(06-FEB-2025 11:27:14)
2 ,69 , HCGD-B , 1, 	(06-FEB-2025 11:27:14)
2 ,70 , BIPL , 1, 	(06-FEB-2025 11:27:14)
2 ,71 , EXXARO , 1, 	(06-FEB-2025 11:27:14)
2 ,73 , STVPL , 1, 	(06-FEB-2025 11:27:14)
2 ,75 , JGPL , 1, 	(06-FEB-2025 11:27:14)
2 ,77 , WALLCERA , 1, 	(06-FEB-2025 11:27:14)
2 ,79 , ASTIS , 1, 	(06-FEB-2025 11:27:14)
2 ,80 , PROTON , 1, 	(06-FEB-2025 11:27:14)
2 ,83 , ANTIQUE , 1, 	(06-FEB-2025 11:27:14)
2 ,86 , ACER , 1, 	(06-FEB-2025 11:27:14)
2 ,89 , KAJARIA , 1, 	(06-FEB-2025 11:27:14)
2 ,90 , GASGROWS , 1, 	(06-FEB-2025 11:27:14)
2 ,92 , SISECAM , 1, 	(06-FEB-2025 11:27:14)
2 ,93 , ATPL , 1, 	(06-FEB-2025 11:27:14)
2 ,94 , OPAL , 1, 	(06-FEB-2025 11:27:14)
2 ,95 , JKPAPER , 1, 	(06-FEB-2025 11:27:14)
2 ,96 , STL , 1, 	(06-FEB-2025 11:27:14)
2 ,97 , UEPL , 1, 	(06-FEB-2025 11:27:14)
2 ,99 , CELLO , 1, 	(06-FEB-2025 11:27:14)
2 ,100 , CALDERYS , 1, 	(06-FEB-2025 11:27:14)
2 ,  , RCF , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,103 , BWRL , 1, 	(06-FEB-2025 11:27:14)
2 ,104 , KRYO , 1, 	(06-FEB-2025 11:27:14)
2 ,106 , VIRGO , 1, 	(06-FEB-2025 11:27:14)
2 ,107 , BLPL , 1, 	(06-FEB-2025 11:27:14)
2 ,108 , GIPSKARTON , 1, 	(06-FEB-2025 11:27:14)
2 ,  , TGPL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,7 , SELNG , 1, 	(06-FEB-2025 11:27:14)
2 ,8 , SITME , 1, 	(06-FEB-2025 11:27:14)
2 ,110 , DT , 1, 	(06-FEB-2025 11:27:14)
2 ,111 , ThirdParty , 1, 	(06-FEB-2025 11:27:14)
2 ,112 , Gunvor  , 1, 	(06-FEB-2025 11:27:14)
2 ,113 , RIL-D6 , 1, 	(06-FEB-2025 11:27:14)
2 ,114 , BP  , 1, 	(06-FEB-2025 11:27:14)
2 ,115 , AMNS-T , 1, 	(06-FEB-2025 11:27:14)
2 ,116 , RIL-CBM , 1, 	(06-FEB-2025 11:27:14)
2 ,  , PIL-Haz , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,118 , GSPL , 1, 	(06-FEB-2025 11:27:14)
2 ,118 , GSPL , 2, 	(06-FEB-2025 11:27:14)
2 ,119 , GAIL-Haz , 1, 	(06-FEB-2025 11:27:14)
2 ,120 , PLLD , 1, 	(06-FEB-2025 11:27:14)
2 ,121 , D6Gadimoga , 1, 	(06-FEB-2025 11:27:14)
2 ,122 , PANKGA , 1, 	(06-FEB-2025 11:27:14)
2 ,123 , PMSKGA , 1, 	(06-FEB-2025 11:27:14)
2 ,124 , PBHDGS , 1, 	(06-FEB-2025 11:27:14)
2 ,125 , PURCHASE-T , 1, 	(06-FEB-2025 11:27:14)
2 ,126 , PARK-ANK , 1, 	(06-FEB-2025 11:27:14)
2 ,127 , PHUCBM , 1, 	(06-FEB-2025 11:27:14)
2 ,128 , PARK-MSK , 1, 	(06-FEB-2025 11:27:14)
2 ,129 , PARK-BHD , 1, 	(06-FEB-2025 11:27:14)
2 ,130 , PARKPHUCBM , 1, 	(06-FEB-2025 11:27:14)
2 ,131 , TGLPL , 1, 	(06-FEB-2025 11:27:14)
2 ,132 , TGBPL , 1, 	(06-FEB-2025 11:27:14)
2 ,133 , BGEPL , 1, 	(06-FEB-2025 11:27:14)
2 ,134 , IMCL , 1, 	(06-FEB-2025 11:27:14)
2 ,135 , PMSKP , 1, 	(06-FEB-2025 11:27:14)
2 ,136 , VVF India , 1, 	(06-FEB-2025 11:27:14)
2 ,  , GNFC , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , MEIL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,139 , ONGC , 1, 	(06-FEB-2025 11:27:14)
2 ,140 , GLIL , 1, 	(06-FEB-2025 11:27:14)
2 ,  , UGEL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,142 , SGI-AP , 1, 	(06-FEB-2025 11:27:14)
2 ,143 , IGX , 1, 	(06-FEB-2025 11:27:14)
2 ,145 , RGPL , 1, 	(06-FEB-2025 11:27:14)
2 ,145 , RGPL , 2, 	(06-FEB-2025 11:27:14)
2 ,146 , GTIPL , 1, 	(06-FEB-2025 11:27:14)
2 ,147 , GSPL-C , 1, 	(06-FEB-2025 11:27:14)
2 ,148 , PEPL , 1, 	(06-FEB-2025 11:27:14)
2 ,149 , GFCL , 1, 	(06-FEB-2025 11:27:14)
2 ,150 , DERL , 1, 	(06-FEB-2025 11:27:14)
2 ,151 , CPL , 1, 	(06-FEB-2025 11:27:14)
2 ,153 , IRM , 1, 	(06-FEB-2025 11:27:14)
2 ,154 , PPL , 1, 	(06-FEB-2025 11:27:14)
2 ,155 , YARALTD , 1, 	(06-FEB-2025 11:27:14)
2 ,156 , INPEROX , 1, 	(06-FEB-2025 11:27:14)
2 ,157 , RAFECHL , 1, 	(06-FEB-2025 11:27:14)
2 ,158 , MGRPL , 1, 	(06-FEB-2025 11:27:14)
2 ,158 , MGRPL , 2, 	(06-FEB-2025 11:27:14)
2 ,160 , CNTENKA , 1, 	(06-FEB-2025 11:27:14)
2 ,161 , EFSPL , 1, 	(06-FEB-2025 11:27:14)
2 ,161 , EFSPL , 2, 	(06-FEB-2025 11:27:14)
2 ,  , HINDURV , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,166 , HCGPUTE , 1, 	(06-FEB-2025 11:27:14)
2 ,167 , GOAGLSF , 1, 	(06-FEB-2025 11:27:14)
2 ,168 , IGSPL , 1, 	(06-FEB-2025 11:27:14)
2 ,171 , PEFORCV , 1, 	(06-FEB-2025 11:27:14)
2 ,181 , BHEL , 1, 	(06-FEB-2025 11:27:14)
2 ,185 , COMFIND , 1, 	(06-FEB-2025 11:27:14)
2 ,186 , DCMSHRI , 1, 	(06-FEB-2025 11:27:14)
2 ,  , MANIKAR , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , NEL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,1 , TASTELI , 1, 	(06-FEB-2025 11:27:14)
2 ,  , HMEL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , DIL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , KINGASP , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , RATNAGI , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , IDOINVA , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , IDOINVA , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , AGPCGIN , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , SITMEFZ , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , VISHPRI , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , SOMANY , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , BHOGATD , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , VEDALTD , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , VEDALTD , 2, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , VIGASLD , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , GOLDPFG , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , CAIRENH  , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , GSIGLIM , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , GAILGAS , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , SEMTEXP , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , SEMTEXP , 2, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , SILS , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , CRMNDEL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , ACR , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,297 , JMB , 1, 	(06-FEB-2025 11:27:14)
2 ,298 , BOXCO , 1, 	(06-FEB-2025 11:27:14)
2 ,299 , SLPL , 1, 	(06-FEB-2025 11:27:14)
2 , 299 , SLPL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,301 , JBB , 1, 	(06-FEB-2025 11:27:14)
2 ,300 , SGS , 1, 	(06-FEB-2025 11:27:14)
2 , 301 , JBB , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,  , SSAPL , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,188,,, 	(06-FEB-2025 11:27:14)
 

TOTAL DATA INSERTED : ,151,,, 	(06-FEB-2025 11:27:15)
 

TOTAL SKIPPED DATA ,37,,, 	(06-FEB-2025 11:27:15)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(06-FEB-2025 11:27:15)
 

<<START>>,<<FMS_SECTOR_MST>>, 	(06-FEB-2025 11:27:15)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(06-FEB-2025 11:27:15)
ELLECTRICAL/ ELECTRONICS,, 	(06-FEB-2025 11:27:15)
HEAVY MACHINES,, 	(06-FEB-2025 11:27:15)
LIGHT MACHINES,, 	(06-FEB-2025 11:27:15)
AIRCRAFTS,, 	(06-FEB-2025 11:27:15)
SHIPBUILD. & REPAIRS,, 	(06-FEB-2025 11:27:15)
TRUCKS&PASS VEHICALS,, 	(06-FEB-2025 11:27:15)
SCOOTERS ETC,, 	(06-FEB-2025 11:27:15)
HIGH PRESSURE VESSEL,, 	(06-FEB-2025 11:27:15)
MECH. MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
STRUCTURAL WORKS,, 	(06-FEB-2025 11:27:15)
IRON & STEEL PLANTS,, 	(06-FEB-2025 11:27:15)
IRON & STEEL REWORKS,, 	(06-FEB-2025 11:27:15)
ALUMINIUM,, 	(06-FEB-2025 11:27:15)
FOUNDRIES/CASTINGS,, 	(06-FEB-2025 11:27:15)
FERROUS ALLOYS,, 	(06-FEB-2025 11:27:15)
METAL. MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
CANDLE INDUSTRY,, 	(06-FEB-2025 11:27:15)
MATCHES,, 	(06-FEB-2025 11:27:15)
RUBBER TYRES & TUBES,, 	(06-FEB-2025 11:27:15)
PAPER PRODUCTS,, 	(06-FEB-2025 11:27:15)
INDU ABRASIVES,, 	(06-FEB-2025 11:27:15)
GLASS/CERAMICS ETC,, 	(06-FEB-2025 11:27:15)
PACKING MATERIALS,, 	(06-FEB-2025 11:27:15)
PLASTIC INDUSTRIES,, 	(06-FEB-2025 11:27:15)
LEATHER,, 	(06-FEB-2025 11:27:15)
PROCESSOR,, 	(06-FEB-2025 11:27:15)
TOBACCO PRODUCTS,, 	(06-FEB-2025 11:27:15)
INDUS. MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
COTTON MILLS HOSIERY,, 	(06-FEB-2025 11:27:15)
JUTE MILLS,, 	(06-FEB-2025 11:27:15)
SYN.FIBRE/RAYON MF,, 	(06-FEB-2025 11:27:15)
TEXTI. MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
PET.EXPLO&PROD,, 	(06-FEB-2025 11:27:15)
IRON ORE,, 	(06-FEB-2025 11:27:15)
COAL,, 	(06-FEB-2025 11:27:15)
BAUXITE,, 	(06-FEB-2025 11:27:15)
MANGANESE,, 	(06-FEB-2025 11:27:15)
STONE QUARRYING,, 	(06-FEB-2025 11:27:15)
MINING MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
POST & TELEGRAPHS,, 	(06-FEB-2025 11:27:15)
STATE ELEC. BOARDS,, 	(06-FEB-2025 11:27:15)
CATERING & HOTELS,, 	(06-FEB-2025 11:27:15)
UNIVERSITIES ETC,, 	(06-FEB-2025 11:27:15)
LAUNDRIES,, 	(06-FEB-2025 11:27:15)
REFINERIES,, 	(06-FEB-2025 11:27:15)
TPP-OIL,, 	(06-FEB-2025 11:27:15)
HYDEL POWER PLANTS,, 	(06-FEB-2025 11:27:15)
ATOMIC POWER PLANTS,, 	(06-FEB-2025 11:27:15)
GAS TURBINES,, 	(06-FEB-2025 11:27:15)
POWER MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
RAILWAYS,, 	(06-FEB-2025 11:27:15)
OTHER ROAD TRANSPORT,, 	(06-FEB-2025 11:27:15)
STATE ROAD TRANSPORT,, 	(06-FEB-2025 11:27:15)
SHIP. COASTAL,, 	(06-FEB-2025 11:27:15)
SHIP. INTERNATIONAL,, 	(06-FEB-2025 11:27:15)
INLAND WATERWAYS,, 	(06-FEB-2025 11:27:15)
OTHERS (PORT TRUST),, 	(06-FEB-2025 11:27:15)
DOMESTIC DIST.,, 	(06-FEB-2025 11:27:15)
INDUSTRIAL DIST.,, 	(06-FEB-2025 11:27:15)
OWN CONSUMPTION,, 	(06-FEB-2025 11:27:15)
PARALLEL MARKETERS,, 	(06-FEB-2025 11:27:15)
TEA PLANTATION,, 	(06-FEB-2025 11:27:15)
RUBBER/COFFEE ETC,, 	(06-FEB-2025 11:27:15)
FORESTRY&TIMBER,, 	(06-FEB-2025 11:27:15)
AGRI.CROPS/ORCHARD,, 	(06-FEB-2025 11:27:15)
SUGAR MILLS,, 	(06-FEB-2025 11:27:15)
FLOUR MILLS ETC,, 	(06-FEB-2025 11:27:15)
VEG. OIL MILLS,, 	(06-FEB-2025 11:27:15)
FOOD PROCESSING,, 	(06-FEB-2025 11:27:15)
DAIRIES&MILK PROC,, 	(06-FEB-2025 11:27:15)
FISHERIES,, 	(06-FEB-2025 11:27:15)
AGRI. MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
DOMESTIC AIRLINES,, 	(06-FEB-2025 11:27:15)
FOREIGN AIRLINES,, 	(06-FEB-2025 11:27:15)
DAIRIES&MILK PROC,, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(06-FEB-2025 11:27:15)
CAUSTIC SODA ETC.,, 	(06-FEB-2025 11:27:15)
HEAVY ACIDS,, 	(06-FEB-2025 11:27:15)
OTHER INORG.CHEM,, 	(06-FEB-2025 11:27:15)
PETRO-CHEM OTHERS,, 	(06-FEB-2025 11:27:15)
PETROCHEM -GAS BASED,, 	(06-FEB-2025 11:27:15)
DYES & DYE STUFFS,, 	(06-FEB-2025 11:27:15)
SYNTHETIC RUBBER,, 	(06-FEB-2025 11:27:15)
PESTI./AGRO CHEM,, 	(06-FEB-2025 11:27:15)
OTHER ORG.CHEMICAL,, 	(06-FEB-2025 11:27:15)
DRUGS&PHARMACEUTICAL,, 	(06-FEB-2025 11:27:15)
PAINTS ETC,, 	(06-FEB-2025 11:27:15)
INDU EXPLOSIVE,, 	(06-FEB-2025 11:27:15)
CALCINATION PLANTS,, 	(06-FEB-2025 11:27:15)
SOAPS ETC,, 	(06-FEB-2025 11:27:15)
MISC CHEM INDU,, 	(06-FEB-2025 11:27:15)
CEMENT/BUILD MAT,, 	(06-FEB-2025 11:27:15)
BITUMEN/BUILD.MAT,, 	(06-FEB-2025 11:27:15)
CIVIL MISCELLANEOUS,, 	(06-FEB-2025 11:27:15)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(06-FEB-2025 11:27:15)
LDC,, 	(06-FEB-2025 11:27:15)

TOTAL DATA IN EXCEL : ,97, 	(06-FEB-2025 11:27:15)
 

TOTAL DATA INSERTED : ,96, 	(06-FEB-2025 11:27:15)
 

TOTAL SKIPPED DATA ,1, 	(06-FEB-2025 11:27:15)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(06-FEB-2025 11:27:15)
 

<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(06-FEB-2025 11:27:15)
 
COMPANY_CD,CD,ABBR,ADDR_TYPE,ENTITY,EFF_DT,TIMESTAMP
2 , 6 , RIL , B , C , 14/09/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 6 , RIL , C , C , 14/09/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 6 , RIL , R , C , 14/09/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 6 , RIL , R , T , 14/09/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 5 , MGL , B , C , 16/07/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 5 , MGL , C , C , 16/07/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 5 , MGL , R , C , 16/07/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 9 , GSPCL , B , C , 24/03/2005 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 9 , GSPCL , B , C , 21/04/2006 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 9 , GSPCL , C , C , 24/03/2005 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 9 , GSPCL , C , C , 21/04/2006 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 9 , GSPCL , R , C , 24/03/2005 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 9 , GSPCL , R , C , 21/04/2006 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 10 , Gail , B , C , 08/03/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 10 , Gail , C , C , 08/03/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 10 , Gail , R , C , 08/03/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 10 , Gail , R , R , 08/03/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 11 , BPL , B , C , 09/04/2010 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 11 , BPL , C , C , 09/04/2010 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 11 , BPL , R , C , 09/04/2010 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 12 , EPL , B , C , 09/04/2010 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 12 , EPL , C , C , 09/04/2010 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 12 , EPL , R , C , 09/04/2010 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 13 , ESL , R , C , 01/04/2006 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 13 , ESL , R , C , 26/08/2006 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 14 , NTPC , C , C , 01/06/2006 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 14 , NTPC , C , C , 18/11/2006 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 14 , NTPC , R , C , 01/06/2006 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 14 , NTPC , R , C , 18/11/2006 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 15 , KRIBHCO , B , C , 05/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 15 , KRIBHCO , C , C , 05/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 15 , KRIBHCO , R , C , 05/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 16 , DFPCL , B , C , 03/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 16 , DFPCL , C , C , 03/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 16 , DFPCL , R , C , 03/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 17 , AIGL , B , C , 22/07/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 17 , AIGL , C , C , 22/07/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 17 , AIGL , R , C , 22/07/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 18 , ESEZ , R , C , 04/04/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 19 , KSFL , C , C , 20/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 19 , KSFL , R , C , 20/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 20 , MAHAGENCO , C , C , 16/04/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 20 , MAHAGENCO , R , C , 16/04/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 21 , NPL , C , C , 28/02/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 21 , NPL , R , C , 28/02/2008 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 22 , SIGIL , B , C , 01/04/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 22 , SIGIL , C , C , 01/04/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 22 , SIGIL , R , C , 01/04/2009 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 24 , VIL , R , C , 12/12/2007 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 26 , GGCL , B , C , 11/05/2012 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 26 , GGCL , C , C , 11/05/2012 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 26 , GGCL , R , C , 11/05/2012 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 27 , TPL , B , C , 04/08/2012 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 27 , TPL , B , C , 20/12/2018 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 27 , TPL , C , C , 04/08/2012 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 27 , TPL , C , C , 20/12/2018 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 27 , TPL , R , C , 04/08/2012 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 27 , TPL , R , C , 20/12/2018 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 28 , WMSL , B , C , 31/05/2011 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 28 , WMSL , B , C , 25/11/2014 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 28 , WMSL , C , C , 31/05/2011 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 28 , WMSL , C , C , 25/11/2014 00:00:00, 	(06-FEB-2025 11:27:15)	 (Not Inserted)
2 , 28 , WMSL , R , C , 31/05/2011 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 29 , MNGL , B , C , 20/06/2013 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 29 , MNGL , C , C , 20/06/2013 00:00:00, 	(06-FEB-2025 11:27:15)
2 , 29 , MNGL , R , C , 20/06/2013 00:00:00, 	(06-FEB-2025 11:27:15)
