

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_BU_DTL()>>,,,, 	(12-MAR-2025 18:05:20)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2,264,SSAPL,S,1,1, 	(12-MAR-2025 18:05:20)
2,126,SGS,S,1,1, 	(12-MAR-2025 18:05:20)
2,232,JBB,V,1,1, 	(12-MAR-2025 18:05:20)
2,265,SLPL,H,1,1, 	(12-MAR-2025 18:05:20)

TOTAL DATA DELETED : ,4,,,, 	(12-MAR-2025 18:05:20)
 

<<ROLLBACK_END>>,<<FMS_COUNTERPARTY_BU_DTL()>>,,,, 	(12-MAR-2025 18:05:20)
 

<<ROLLBACK_START>>,<<FMS_BANK_MST()>>,,, 	(12-MAR-2025 18:05:20)
 
BANK_CD,BANK_NAME,BANK_ABBR,EFF_DATE,TIMESTAMP
2,43,T,2022-2023, 	(12-MAR-2025 18:05:20)
2,43,T,2023-2024, 	(12-MAR-2025 18:05:20)
2,43,T,2024-2025, 	(12-MAR-2025 18:05:20)
2,2,B,2020-2021, 	(12-MAR-2025 18:05:20)
2,2,B,2022-2023, 	(12-MAR-2025 18:05:20)
2,2,B,2021-2022, 	(12-MAR-2025 18:05:20)
2,46,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,46,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,46,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,47,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,47,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,47,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,48,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,48,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,48,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,231,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,49,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,49,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,50,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,50,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,140,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,52,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,52,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,52,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,255,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,255,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,255,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,117,C,2021-2022, 	(12-MAR-2025 18:05:20)
