

<<ROLLBACK_START>>,<<FMS_EXCHG_RATE_ENTRY()>>, 	(26-FEB-2025 10:09:37)
14,14/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,15/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,15/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,15/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,18/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,18/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,18/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,19/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,19/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,19/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,20/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,20/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,20/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,21/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,21/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,21/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,22/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,22/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,22/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,25/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,25/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,25/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,26/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,26/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,26/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,27/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,27/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,27/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,28/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,28/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,28/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,29/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,29/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,29/06/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,02/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,02/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,02/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,03/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,03/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,03/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,04/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,04/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,04/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,05/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,05/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,05/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,06/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,06/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,06/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,09/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,09/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
14,09/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
13,10/07/2007 00:00:00, 	(26-FEB-2025 10:09:41)
15,10/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,10/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,11/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,11/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,11/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,12/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,12/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,12/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,13/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,13/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,13/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,16/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,16/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,16/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,17/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,17/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,17/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,18/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,18/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,18/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,19/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,19/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,19/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,20/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,20/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,20/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,23/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,23/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,23/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,24/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,24/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,24/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,25/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,25/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,25/07/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,06/04/2010 00:00:00, 	(26-FEB-2025 10:09:42)
13,06/04/2010 00:00:00, 	(26-FEB-2025 10:09:42)
15,05/04/2010 00:00:00, 	(26-FEB-2025 10:09:42)
13,05/04/2010 00:00:00, 	(26-FEB-2025 10:09:42)
1,04/04/2010 00:00:00, 	(26-FEB-2025 10:09:42)
6,06/10/2010 00:00:00, 	(26-FEB-2025 10:09:42)
6,07/10/2010 00:00:00, 	(26-FEB-2025 10:09:42)
6,08/10/2010 00:00:00, 	(26-FEB-2025 10:09:42)
13,03/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,03/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,03/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,04/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,04/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,04/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,05/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,05/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,05/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,09/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,09/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,09/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,10/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,10/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,10/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,11/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,11/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,11/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,12/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,12/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,12/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,13/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,13/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,13/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,16/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,16/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,16/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,17/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,17/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,17/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,18/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,19/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,19/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,19/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,18/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,18/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,20/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,20/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,20/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,23/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,23/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,23/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,24/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
15,24/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
14,24/04/2007 00:00:00, 	(26-FEB-2025 10:09:42)
13,25/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,25/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,25/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,26/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,26/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,26/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,27/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,27/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,27/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,30/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,30/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,30/04/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,01/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,01/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,01/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,02/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,02/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,02/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,03/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,03/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,03/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,04/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,04/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,04/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,07/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,07/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,07/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,08/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,08/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,08/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,09/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,09/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,09/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,10/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,10/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,10/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,11/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,11/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,11/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,14/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,14/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,14/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,15/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
15,15/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
14,15/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
13,16/05/2007 00:00:00, 	(26-FEB-2025 10:09:43)
