

<<ROLLBACK_START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(13-MAR-2025 09:29:17)
2,197,1,C, 	(13-MAR-2025 09:29:18)
2,254,1,C, 	(13-MAR-2025 09:29:18)
2,207,1,C, 	(13-MAR-2025 09:29:18)
2,150,1,C, 	(13-MAR-2025 09:29:18)
2,187,1,C, 	(13-MAR-2025 09:29:18)
2,33,1,C, 	(13-MAR-2025 09:29:18)
2,34,1,C, 	(13-MAR-2025 09:29:18)
2,238,1,C, 	(13-MAR-2025 09:29:18)
2,35,1,C, 	(13-MAR-2025 09:29:18)
2,36,1,C, 	(13-MAR-2025 09:29:18)
2,37,1,C, 	(13-MAR-2025 09:29:18)
2,198,1,C, 	(13-MAR-2025 09:29:18)
2,220,1,C, 	(13-MAR-2025 09:29:18)
2,257,1,C, 	(13-MAR-2025 09:29:18)
2,233,1,C, 	(13-MAR-2025 09:29:18)
2,279,1,C, 	(13-MAR-2025 09:29:18)
2,193,1,C, 	(13-MAR-2025 09:29:18)
2,109,1,C, 	(13-MAR-2025 09:29:18)
2,192,1,C, 	(13-MAR-2025 09:29:18)
2,38,1,C, 	(13-MAR-2025 09:29:18)
2,222,1,C, 	(13-MAR-2025 09:29:18)
2,39,1,C, 	(13-MAR-2025 09:29:18)
2,40,1,C, 	(13-MAR-2025 09:29:18)
2,41,1,C, 	(13-MAR-2025 09:29:18)
2,234,1,C, 	(13-MAR-2025 09:29:18)
2,263,1,C, 	(13-MAR-2025 09:29:18)
2,273,1,C, 	(13-MAR-2025 09:29:18)
2,206,1,C, 	(13-MAR-2025 09:29:18)
2,204,1,C, 	(13-MAR-2025 09:29:18)
2,42,1,C, 	(13-MAR-2025 09:29:18)
2,201,1,C, 	(13-MAR-2025 09:29:18)
2,235,1,C, 	(13-MAR-2025 09:29:18)
2,276,1,C, 	(13-MAR-2025 09:29:18)
2,196,1,C, 	(13-MAR-2025 09:29:18)
2,223,1,C, 	(13-MAR-2025 09:29:18)
2,270,1,T, 	(13-MAR-2025 09:29:18)
2,116,1,T, 	(13-MAR-2025 09:29:18)
2,256,1,T, 	(13-MAR-2025 09:29:18)
2,268,1,T, 	(13-MAR-2025 09:29:18)
2,152,1,T, 	(13-MAR-2025 09:29:18)
2,1,2,T, 	(13-MAR-2025 09:29:18)
2,43,1,T, 	(13-MAR-2025 09:29:18)
2,45,1,C, 	(13-MAR-2025 09:29:18)
2,45,2,R, 	(13-MAR-2025 09:29:18)
2,46,1,C, 	(13-MAR-2025 09:29:18)
2,47,1,C, 	(13-MAR-2025 09:29:18)
2,48,1,C, 	(13-MAR-2025 09:29:18)
2,231,1,C, 	(13-MAR-2025 09:29:18)
2,49,1,C, 	(13-MAR-2025 09:29:18)
2,50,1,C, 	(13-MAR-2025 09:29:18)
2,140,1,C, 	(13-MAR-2025 09:29:18)
2,51,1,T, 	(13-MAR-2025 09:29:18)
2,52,1,C, 	(13-MAR-2025 09:29:18)
2,272,1,C, 	(13-MAR-2025 09:29:18)
2,255,1,C, 	(13-MAR-2025 09:29:18)
2,53,1,C, 	(13-MAR-2025 09:29:18)
2,53,2,R, 	(13-MAR-2025 09:29:18)
2,224,1,C, 	(13-MAR-2025 09:29:18)
2,117,1,C, 	(13-MAR-2025 09:29:18)
2,54,1,C, 	(13-MAR-2025 09:29:18)
2,55,1,C, 	(13-MAR-2025 09:29:18)
2,56,1,C, 	(13-MAR-2025 09:29:18)
2,57,1,C, 	(13-MAR-2025 09:29:18)
2,58,1,C, 	(13-MAR-2025 09:29:18)
2,59,1,C, 	(13-MAR-2025 09:29:18)
2,60,1,C, 	(13-MAR-2025 09:29:18)
2,124,1,C, 	(13-MAR-2025 09:29:18)
2,124,2,T, 	(13-MAR-2025 09:29:18)
2,208,1,C, 	(13-MAR-2025 09:29:18)
2,61,1,C, 	(13-MAR-2025 09:29:18)
2,61,2,T, 	(13-MAR-2025 09:29:18)
2,158,1,C, 	(13-MAR-2025 09:29:18)
2,227,1,C, 	(13-MAR-2025 09:29:18)
2,63,1,C, 	(13-MAR-2025 09:29:18)
2,64,1,C, 	(13-MAR-2025 09:29:18)
2,64,2,T, 	(13-MAR-2025 09:29:18)
2,65,1,C, 	(13-MAR-2025 09:29:18)
2,66,1,C, 	(13-MAR-2025 09:29:18)
2,210,1,C, 	(13-MAR-2025 09:29:18)
2,67,1,C, 	(13-MAR-2025 09:29:18)
2,81,1,C, 	(13-MAR-2025 09:29:18)
2,81,2,T, 	(13-MAR-2025 09:29:18)
2,144,1,C, 	(13-MAR-2025 09:29:18)
2,147,1,C, 	(13-MAR-2025 09:29:18)
2,86,1,C, 	(13-MAR-2025 09:29:18)
2,166,1,T, 	(13-MAR-2025 09:29:18)
2,92,1,C, 	(13-MAR-2025 09:29:18)
2,104,1,C, 	(13-MAR-2025 09:29:18)
2,105,1,C, 	(13-MAR-2025 09:29:18)
2,211,1,T, 	(13-MAR-2025 09:29:18)
2,162,1,C, 	(13-MAR-2025 09:29:18)
2,151,1,C, 	(13-MAR-2025 09:29:18)
2,106,1,C, 	(13-MAR-2025 09:29:18)
2,107,1,C, 	(13-MAR-2025 09:29:18)
2,190,1,C, 	(13-MAR-2025 09:29:18)
2,176,1,C, 	(13-MAR-2025 09:29:18)
2,110,1,T, 	(13-MAR-2025 09:29:18)
2,188,1,C, 	(13-MAR-2025 09:29:18)
2,185,1,C, 	(13-MAR-2025 09:29:18)
2,202,1,C, 	(13-MAR-2025 09:29:18)
2,186,1,C, 	(13-MAR-2025 09:29:18)
2,186,2,T, 	(13-MAR-2025 09:29:18)
2,277,1,C, 	(13-MAR-2025 09:29:18)
2,167,1,C, 	(13-MAR-2025 09:29:18)
2,159,1,T, 	(13-MAR-2025 09:29:18)
2,168,1,R, 	(13-MAR-2025 09:29:18)
2,122,1,C, 	(13-MAR-2025 09:29:18)
2,174,1,C, 	(13-MAR-2025 09:29:18)
2,278,1,C, 	(13-MAR-2025 09:29:18)
2,278,2,T, 	(13-MAR-2025 09:29:18)
2,181,1,C, 	(13-MAR-2025 09:29:18)
2,181,2,T, 	(13-MAR-2025 09:29:18)
2,183,1,C, 	(13-MAR-2025 09:29:18)
2,184,1,C, 	(13-MAR-2025 09:29:18)
2,112,1,T, 	(13-MAR-2025 09:29:18)
2,113,1,T, 	(13-MAR-2025 09:29:18)
2,123,1,C, 	(13-MAR-2025 09:29:18)
2,121,1,C, 	(13-MAR-2025 09:29:18)
2,115,1,T, 	(13-MAR-2025 09:29:18)
2,114,1,C, 	(13-MAR-2025 09:29:18)
2,114,2,T, 	(13-MAR-2025 09:29:18)
2,119,1,C, 	(13-MAR-2025 09:29:18)
2,118,1,C, 	(13-MAR-2025 09:29:18)
2,130,1,C, 	(13-MAR-2025 09:29:18)
2,281,1,C, 	(13-MAR-2025 09:29:18)
2,134,1,R, 	(13-MAR-2025 09:29:18)
2,265,1,H, 	(13-MAR-2025 09:29:18)
2,232,1,V, 	(13-MAR-2025 09:29:18)
2,126,1,S, 	(13-MAR-2025 09:29:18)
2,264,1,S, 	(13-MAR-2025 09:29:18)

TOTAL DATA DELETED : ,178,,, 	(13-MAR-2025 09:29:18)
 
<<ROLLBACK_END>>,<<FMS_ENTITY_REQ_DTL()>>,,, 	(13-MAR-2025 09:29:18)
 

<<ROLLBACK_START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(13-MAR-2025 09:29:43)
 
COMPANY_CD,COUNTERPARTY_CD,SEQ_NO,ENTIY,TIMESTAMP
2,1,1,C, 	(13-MAR-2025 09:29:43)
2,2,1,C, 	(13-MAR-2025 09:29:43)
2,3,1,C, 	(13-MAR-2025 09:29:43)
2,4,1,C, 	(13-MAR-2025 09:29:43)
2,4,2,R, 	(13-MAR-2025 09:29:43)
2,217,1,C, 	(13-MAR-2025 09:29:43)
2,5,1,C, 	(13-MAR-2025 09:29:43)
2,6,1,C, 	(13-MAR-2025 09:29:43)
2,7,1,C, 	(13-MAR-2025 09:29:43)
2,8,1,C, 	(13-MAR-2025 09:29:43)
2,218,1,C, 	(13-MAR-2025 09:29:43)
2,242,1,C, 	(13-MAR-2025 09:29:43)
2,249,1,C, 	(13-MAR-2025 09:29:43)
2,9,1,C, 	(13-MAR-2025 09:29:43)
2,225,1,C, 	(13-MAR-2025 09:29:43)
2,10,1,C, 	(13-MAR-2025 09:29:43)
2,11,1,C, 	(13-MAR-2025 09:29:43)
2,280,1,C, 	(13-MAR-2025 09:29:43)
2,12,1,C, 	(13-MAR-2025 09:29:43)
2,13,1,C, 	(13-MAR-2025 09:29:43)
2,14,1,C, 	(13-MAR-2025 09:29:43)
2,14,2,T, 	(13-MAR-2025 09:29:43)
2,269,1,C, 	(13-MAR-2025 09:29:43)
2,15,1,C, 	(13-MAR-2025 09:29:43)
2,15,2,T, 	(13-MAR-2025 09:29:43)
2,16,1,C, 	(13-MAR-2025 09:29:43)
2,17,1,C, 	(13-MAR-2025 09:29:43)
2,18,1,C, 	(13-MAR-2025 09:29:43)
2,228,1,C, 	(13-MAR-2025 09:29:43)
2,160,1,C, 	(13-MAR-2025 09:29:43)
2,19,1,C, 	(13-MAR-2025 09:29:43)
2,20,1,C, 	(13-MAR-2025 09:29:43)
2,20,2,T, 	(13-MAR-2025 09:29:43)
2,154,1,C, 	(13-MAR-2025 09:29:43)
2,154,2,T, 	(13-MAR-2025 09:29:43)
2,21,1,C, 	(13-MAR-2025 09:29:43)
2,22,1,C, 	(13-MAR-2025 09:29:43)
2,23,1,C, 	(13-MAR-2025 09:29:43)
2,24,1,C, 	(13-MAR-2025 09:29:43)
2,25,1,C, 	(13-MAR-2025 09:29:43)
2,26,1,C, 	(13-MAR-2025 09:29:43)
2,27,1,C, 	(13-MAR-2025 09:29:43)
2,28,1,C, 	(13-MAR-2025 09:29:43)
2,29,1,C, 	(13-MAR-2025 09:29:43)
2,29,2,R, 	(13-MAR-2025 09:29:43)
2,30,1,C, 	(13-MAR-2025 09:29:43)
2,31,1,C, 	(13-MAR-2025 09:29:43)
2,32,1,C, 	(13-MAR-2025 09:29:43)
2,197,1,C, 	(13-MAR-2025 09:29:43)
2,254,1,C, 	(13-MAR-2025 09:29:43)
2,207,1,C, 	(13-MAR-2025 09:29:43)
2,150,1,C, 	(13-MAR-2025 09:29:43)
2,187,1,C, 	(13-MAR-2025 09:29:43)
2,33,1,C, 	(13-MAR-2025 09:29:43)
2,34,1,C, 	(13-MAR-2025 09:29:43)
2,238,1,C, 	(13-MAR-2025 09:29:43)
2,35,1,C, 	(13-MAR-2025 09:29:43)
2,36,1,C, 	(13-MAR-2025 09:29:43)
2,37,1,C, 	(13-MAR-2025 09:29:43)
2,198,1,C, 	(13-MAR-2025 09:29:43)
2,220,1,C, 	(13-MAR-2025 09:29:43)
2,257,1,C, 	(13-MAR-2025 09:29:43)
2,233,1,C, 	(13-MAR-2025 09:29:43)
2,279,1,C, 	(13-MAR-2025 09:29:43)
2,193,1,C, 	(13-MAR-2025 09:29:43)
2,109,1,C, 	(13-MAR-2025 09:29:43)
2,192,1,C, 	(13-MAR-2025 09:29:43)
2,38,1,C, 	(13-MAR-2025 09:29:43)
2,222,1,C, 	(13-MAR-2025 09:29:43)
2,39,1,C, 	(13-MAR-2025 09:29:43)
2,40,1,C, 	(13-MAR-2025 09:29:43)
2,41,1,C, 	(13-MAR-2025 09:29:43)
2,234,1,C, 	(13-MAR-2025 09:29:43)
2,263,1,C, 	(13-MAR-2025 09:29:43)
2,273,1,C, 	(13-MAR-2025 09:29:43)
2,206,1,C, 	(13-MAR-2025 09:29:43)
2,204,1,C, 	(13-MAR-2025 09:29:43)
2,42,1,C, 	(13-MAR-2025 09:29:43)
2,201,1,C, 	(13-MAR-2025 09:29:43)
2,235,1,C, 	(13-MAR-2025 09:29:43)
2,276,1,C, 	(13-MAR-2025 09:29:43)
2,196,1,C, 	(13-MAR-2025 09:29:43)
2,223,1,C, 	(13-MAR-2025 09:29:43)
2,270,1,T, 	(13-MAR-2025 09:29:43)
2,116,1,T, 	(13-MAR-2025 09:29:43)
2,256,1,T, 	(13-MAR-2025 09:29:43)
2,268,1,T, 	(13-MAR-2025 09:29:43)
2,152,1,T, 	(13-MAR-2025 09:29:43)
2,1,2,T, 	(13-MAR-2025 09:29:43)
2,43,1,T, 	(13-MAR-2025 09:29:43)
2,45,1,C, 	(13-MAR-2025 09:29:43)
2,45,2,R, 	(13-MAR-2025 09:29:43)
2,46,1,C, 	(13-MAR-2025 09:29:43)
2,47,1,C, 	(13-MAR-2025 09:29:43)
2,48,1,C, 	(13-MAR-2025 09:29:43)
2,231,1,C, 	(13-MAR-2025 09:29:43)
2,49,1,C, 	(13-MAR-2025 09:29:43)
2,50,1,C, 	(13-MAR-2025 09:29:43)
2,140,1,C, 	(13-MAR-2025 09:29:43)
2,51,1,T, 	(13-MAR-2025 09:29:43)
2,52,1,C, 	(13-MAR-2025 09:29:43)
2,272,1,C, 	(13-MAR-2025 09:29:43)
2,255,1,C, 	(13-MAR-2025 09:29:43)
2,53,1,C, 	(13-MAR-2025 09:29:43)
2,53,2,R, 	(13-MAR-2025 09:29:43)
2,224,1,C, 	(13-MAR-2025 09:29:43)
2,117,1,C, 	(13-MAR-2025 09:29:43)
2,54,1,C, 	(13-MAR-2025 09:29:43)
2,55,1,C, 	(13-MAR-2025 09:29:43)
2,56,1,C, 	(13-MAR-2025 09:29:43)
2,57,1,C, 	(13-MAR-2025 09:29:43)
2,58,1,C, 	(13-MAR-2025 09:29:43)
2,59,1,C, 	(13-MAR-2025 09:29:43)
2,60,1,C, 	(13-MAR-2025 09:29:43)
2,124,1,C, 	(13-MAR-2025 09:29:43)
2,124,2,T, 	(13-MAR-2025 09:29:43)
2,208,1,C, 	(13-MAR-2025 09:29:43)
2,61,1,C, 	(13-MAR-2025 09:29:43)
2,61,2,T, 	(13-MAR-2025 09:29:43)
2,158,1,C, 	(13-MAR-2025 09:29:43)
2,227,1,C, 	(13-MAR-2025 09:29:43)
2,63,1,C, 	(13-MAR-2025 09:29:43)
2,64,1,C, 	(13-MAR-2025 09:29:43)
2,64,2,T, 	(13-MAR-2025 09:29:43)
2,65,1,C, 	(13-MAR-2025 09:29:43)
2,66,1,C, 	(13-MAR-2025 09:29:43)
2,210,1,C, 	(13-MAR-2025 09:29:43)
2,67,1,C, 	(13-MAR-2025 09:29:43)
2,81,1,C, 	(13-MAR-2025 09:29:43)
2,81,2,T, 	(13-MAR-2025 09:29:43)
2,144,1,C, 	(13-MAR-2025 09:29:43)
2,147,1,C, 	(13-MAR-2025 09:29:43)
2,86,1,C, 	(13-MAR-2025 09:29:43)
2,166,1,T, 	(13-MAR-2025 09:29:43)
2,92,1,C, 	(13-MAR-2025 09:29:43)
2,104,1,C, 	(13-MAR-2025 09:29:43)
2,105,1,C, 	(13-MAR-2025 09:29:43)
2,211,1,T, 	(13-MAR-2025 09:29:43)
2,162,1,C, 	(13-MAR-2025 09:29:43)
2,151,1,C, 	(13-MAR-2025 09:29:43)
2,106,1,C, 	(13-MAR-2025 09:29:43)
2,107,1,C, 	(13-MAR-2025 09:29:43)
2,190,1,C, 	(13-MAR-2025 09:29:43)
2,176,1,C, 	(13-MAR-2025 09:29:43)
2,110,1,T, 	(13-MAR-2025 09:29:43)
2,188,1,C, 	(13-MAR-2025 09:29:43)
2,185,1,C, 	(13-MAR-2025 09:29:43)
2,202,1,C, 	(13-MAR-2025 09:29:43)
2,186,1,C, 	(13-MAR-2025 09:29:43)
2,186,2,T, 	(13-MAR-2025 09:29:43)
2,277,1,C, 	(13-MAR-2025 09:29:43)
2,167,1,C, 	(13-MAR-2025 09:29:43)
2,159,1,T, 	(13-MAR-2025 09:29:43)
2,168,1,R, 	(13-MAR-2025 09:29:43)
2,122,1,C, 	(13-MAR-2025 09:29:43)
2,174,1,C, 	(13-MAR-2025 09:29:43)
2,278,1,C, 	(13-MAR-2025 09:29:43)
2,278,2,T, 	(13-MAR-2025 09:29:43)
2,181,1,C, 	(13-MAR-2025 09:29:43)
2,181,2,T, 	(13-MAR-2025 09:29:43)
2,183,1,C, 	(13-MAR-2025 09:29:43)
2,184,1,C, 	(13-MAR-2025 09:29:43)
2,112,1,T, 	(13-MAR-2025 09:29:43)
2,113,1,T, 	(13-MAR-2025 09:29:43)
2,123,1,C, 	(13-MAR-2025 09:29:43)
2,121,1,C, 	(13-MAR-2025 09:29:43)
2,115,1,T, 	(13-MAR-2025 09:29:43)
2,114,1,C, 	(13-MAR-2025 09:29:43)
2,114,2,T, 	(13-MAR-2025 09:29:43)
2,119,1,C, 	(13-MAR-2025 09:29:43)
2,118,1,C, 	(13-MAR-2025 09:29:43)
2,130,1,C, 	(13-MAR-2025 09:29:43)
2,281,1,C, 	(13-MAR-2025 09:29:43)
2,134,1,R, 	(13-MAR-2025 09:29:43)
2,265,1,H, 	(13-MAR-2025 09:29:43)
2,232,1,V, 	(13-MAR-2025 09:29:43)
2,126,1,S, 	(13-MAR-2025 09:29:43)
2,264,1,S, 	(13-MAR-2025 09:29:43)

TOTAL DATA DELETED : ,178,,, 	(13-MAR-2025 09:29:43)
 
<<ROLLBACK_END>>,<<FMS_ENTITY_REQ_DTL()>>,,, 	(13-MAR-2025 09:29:43)
 
