

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(10-MAR-2025 11:38:38)
2,29,1,R,4, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,1,R,5, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,1,R,6, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,1,R,7, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,1,R,8, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,2,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,2,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,2,R,3, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,2,R,4, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,3,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,3,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,5,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,5,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,5,R,3, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,5,R,4, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,5,R,5, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,9,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,9,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,10,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,11,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,12,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,13,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)

TOTAL DATA DELETED : ,35,,,, 	(10-MAR-2025 11:38:38)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(10-MAR-2025 11:38:38)
 
