

<<ROLLBACK_START>>,<<FMS_SAC_MST()>>, 	(11-APR-2025 08:56:12)
 
SAC_CD,TIMESTAMP

TOTAL DATA DELETED : ,0, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_SAC_MST()>>, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_PRODUCT_MOLECULE_MST()>>, 	(11-APR-2025 08:56:12)
 
MOLE_NM,MOLE_ABBR,TIMESTAMP
D6,D6, 	(11-APR-2025 08:56:12)
D6,D6, 	(11-APR-2025 08:56:12)
D6,D6, 	(11-APR-2025 08:56:12)

TOTAL DATA DELETED : ,3, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_PRODUCT_MOLECULE_MST()>>, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_PRODUCT_MST()>>, 	(11-APR-2025 08:56:12)
 
PROD_NM,PROD_ABBR,PROD_DESC,TIMESTAMP
Domestic Gas (Capped),DOM GAS (CAPPED),Used to identify molecules supplied from DOM gas capped, 	(11-APR-2025 08:56:12)
Regassified LNG,RLNG,, 	(11-APR-2025 08:56:12)
Downstream LNG,DLNG,, 	(11-APR-2025 08:56:12)
Domestic Gas,DOMGAS,, 	(11-APR-2025 08:56:12)

TOTAL DATA DELETED : ,4, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_PRODUCT_MST()>>, 	(11-APR-2025 08:56:12)
 

14/04/2025 00:00:00,Dr Baba Saheb Ambedkar Jayanti,27, 	(11-APR-2025 08:56:12)
18/04/2025 00:00:00,Good Friday,27, 	(11-APR-2025 08:56:12)
15/08/2025 00:00:00,Independence Day,27, 	(11-APR-2025 08:56:12)
16/08/2025 00:00:00,Janmashtami,27, 	(11-APR-2025 08:56:12)
27/08/2025 00:00:00,Samvatsari,27, 	(11-APR-2025 08:56:12)
10/04/2023 00:00:00,zyx,35, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,28, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,12, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,National,00, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,10, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,04, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,22, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,26, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,25, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,07, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,XYZ,30, 	(11-APR-2025 08:56:12)	 (Not Deleted)
13/04/2023 00:00:00,TEST1,30, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST2,24, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST3,06, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST4,02, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST5,01, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST6,20, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST7,29, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST8,32, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST9,31, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST10,23, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST11,27, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST12,14, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST13,17, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST25,15, 	(11-APR-2025 08:56:12)	 (Not Deleted)
