

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(01-MAR-2025 16:55:35)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,4,C,12,01/07/2022 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,13,01/08/2024 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,14,01/08/2024 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,10,08/03/2007 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,08/03/2007 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,17,08/03/2007 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,18,28/05/2024 00:00:00,P8,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,1,01/05/2024 00:00:00,P7,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,2,01/05/2024 00:00:00,P7,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,3,01/05/2024 00:00:00,P6,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,4,01/05/2024 00:00:00,P6,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,01/05/2024 00:00:00,P6,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,4,01/06/2023 00:00:00,P4,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,7,01/06/2023 00:00:00,P4,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,01/06/2024 00:00:00,P8,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,9,01/07/2022 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,01/07/2022 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,11,01/07/2022 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,12,01/07/2022 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,13,01/08/2024 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,14,01/08/2024 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,10,08/03/2007 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,08/03/2007 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,17,08/03/2007 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,18,28/05/2024 00:00:00,P8,DLNG, 	(01-MAR-2025 16:55:37)
2,4,R,1,01/09/2023 00:00:00,P4,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,2,01/09/2023 00:00:00,C,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,3,21/09/2023 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,4,21/09/2023 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,5,01/09/2023 00:00:00,C,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,6,01/09/2023 00:00:00,C,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,7,01/10/2024 00:00:00,C,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,8,01/09/2023 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,9,01/08/2024 00:00:00,C,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,10,21/09/2023 00:00:00,P3,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,11,21/09/2023 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,12,21/09/2023 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:37)
2,4,R,13,01/09/2023 00:00:00,C,RLNG, 	(01-MAR-2025 16:55:37)
2,217,C,1,26/08/2006 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:37)
2,217,C,2,26/08/2006 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:37)
2,217,C,3,26/08/2006 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:37)
2,217,C,4,26/08/2006 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:37)
2,217,C,1,26/08/2006 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:37)
2,217,C,2,26/08/2006 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:37)
2,217,C,3,26/08/2006 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:37)
2,217,C,4,26/08/2006 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:37)
2,5,C,1,01/02/2024 00:00:00,P4,RLNG, 	(01-MAR-2025 16:55:37)
2,5,C,2,01/02/2024 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:37)
2,5,C,3,01/02/2024 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:37)
2,5,C,4,01/02/2024 00:00:00,P3,RLNG, 	(01-MAR-2025 16:55:37)
2,5,C,5,01/02/2024 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
2,5,C,6,01/02/2024 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:37)
2,5,C,7,01/02/2024 00:00:00,P6,RLNG, 	(01-MAR-2025 16:55:37)
2,5,C,8,01/02/2024 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,9,01/02/2024 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,10,01/02/2024 00:00:00,P3,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,11,01/02/2024 00:00:00,P4,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,12,01/02/2024 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,13,01/02/2024 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
