

<<ROLLBACK_START>>,<<FMS_CONT_PRICE_DTL>>,,,,,,, 	(04-APR-2025 15:15:02)
 
,TIMESTAMP
**********AutomationEMS Error  (04-APR-2025 15:15:02) **********
java.lang.ArrayIndexOutOfBoundsException: 23

com.etrm.fms.migration.Purchase_SEIPL_Data_RollBack.FMS_CONT_PRICE_DTL(Purchase_SEIPL_Data_RollBack.java:1349)
com.etrm.fms.migration.Purchase_SEIPL_Data_RollBack.init(Purchase_SEIPL_Data_RollBack.java:109)
**************************************************

<<FUNCTION FMS_CONT_PRICE_DTL() ENDED WITH ERRORS>>


<<ROLLBACK_START>>,<<FMS_SECURITY_MST>>,, 	(04-APR-2025 15:15:42)
 
COMPANY_CD, COUNTERPARTY_CD, SEQ_NO, SEQ_REV_NO ,GX, TIMESTAMP
2,256,M,1,0,N,0,1,20025, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,2,20026, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,3,20027, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,21002, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,21003, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,21004, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,21008, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,2,21009, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,21047, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,2,21048, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,3,21049, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,21050, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,21053, 	(04-APR-2025 15:15:56)
2,268,M,1,0,N,0,1,20004, 	(04-APR-2025 15:15:56)
2,268,M,1,0,N,0,1,20009, 	(04-APR-2025 15:15:56)
2,268,M,1,0,N,0,1,20023, 	(04-APR-2025 15:15:56)
2,268,M,1,0,N,0,1,20024, 	(04-APR-2025 15:15:56)
2,268,M,1,0,N,0,1,21005, 	(04-APR-2025 15:15:56)
2,268,M,1,0,N,0,2,21006, 	(04-APR-2025 15:15:56)
2,152,M,1,0,N,0,1,21001, 	(04-APR-2025 15:15:56)
2,152,M,1,0,N,0,1,21055, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23007, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23010, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23011, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23015, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23024, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23025, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23028, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,2,23035, 	(04-APR-2025 15:15:56)
2,110,M,1,0,N,0,1,23034, 	(04-APR-2025 15:15:56)
