

<<ROLLBACK_START>>,<<FMS_SUPPLY_ALLOC_REVISED>>,,,,,,,, 	(01-MAY-2025 13:14:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,MODIFICATION_SEQ_NO,PUR_CONT, TIMESTAMP
2,3,1,3,54,0,S,1,725069, 	(01-MAY-2025 13:14:01)
2,3,1,3,75,0,S,1,725082, 	(01-MAY-2025 13:14:01)
2,3,1,3,12,0,S,1,725024, 	(01-MAY-2025 13:14:01)
2,3,1,3,12,0,S,1,725182, 	(01-MAY-2025 13:14:01)
2,3,1,3,90,0,S,1,725098, 	(01-MAY-2025 13:14:01)
2,3,1,3,101,0,S,1,725109, 	(01-MAY-2025 13:14:01)
2,3,1,3,58,0,S,1,725070, 	(01-MAY-2025 13:14:01)
2,3,1,3,105,0,S,1,725131, 	(01-MAY-2025 13:14:01)
2,3,1,3,102,0,S,1,725111, 	(01-MAY-2025 13:14:01)
2,3,1,3,109,0,S,1,725139, 	(01-MAY-2025 13:14:01)
2,3,1,3,26,0,S,1,725037, 	(01-MAY-2025 13:14:01)
2,3,1,3,29,0,S,1,725039, 	(01-MAY-2025 13:14:01)
2,3,1,3,34,0,S,1,725043, 	(01-MAY-2025 13:14:01)
2,3,1,3,77,1,S,1,725088, 	(01-MAY-2025 13:14:01)
2,3,1,3,78,1,S,1,725211, 	(01-MAY-2025 13:14:01)
2,3,1,3,79,0,S,1,725211, 	(01-MAY-2025 13:14:01)
2,3,1,3,87,0,S,1,725090, 	(01-MAY-2025 13:14:01)
2,3,1,3,36,0,S,1,725047, 	(01-MAY-2025 13:14:01)
2,3,1,3,37,0,S,1,725049, 	(01-MAY-2025 13:14:01)
2,3,1,3,38,0,S,1,725192, 	(01-MAY-2025 13:14:01)
2,3,1,3,43,0,S,1,725199, 	(01-MAY-2025 13:14:01)
2,3,1,3,53,0,S,1,725200, 	(01-MAY-2025 13:14:01)
