

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(14-APR-2025 13:06:05)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,4,C,15,01/11/2022 00:00:00,P2,RLNG, 	(14-APR-2025 13:06:06)
2,4,C,15,01/11/2022 00:00:00,P3,RLNG, 	(14-APR-2025 13:06:06)
2,4,C,16,01/06/2023 00:00:00,P4,RLNG, 	(14-APR-2025 13:06:06)
2,4,C,17,28/05/2024 00:00:00,P8,RLNG, 	(14-APR-2025 13:06:06)
2,4,C,1,01/05/2024 00:00:00,P7,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,2,01/05/2024 00:00:00,P7,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,3,01/07/2022 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,3,01/07/2022 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,4,01/05/2024 00:00:00,P6,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,5,01/08/2024 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,6,01/06/2023 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,7,01/07/2022 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,7,01/07/2022 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,8,08/03/2007 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,9,01/08/2024 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,10,01/05/2024 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,10,01/05/2024 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,10,01/05/2024 00:00:00,P6,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,11,01/06/2024 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,11,01/06/2024 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,11,01/06/2024 00:00:00,P6,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,11,01/06/2024 00:00:00,P8,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,12,01/08/2024 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,13,01/07/2022 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,13,01/07/2022 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,14,01/06/2023 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,15,01/11/2022 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,15,01/11/2022 00:00:00,P3,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,16,01/06/2023 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,4,C,17,28/05/2024 00:00:00,P8,DLNG, 	(14-APR-2025 13:06:06)
2,4,R,1,01/09/2023 00:00:00,P4,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,2,01/09/2023 00:00:00,C,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,3,21/09/2023 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,4,21/09/2023 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,5,01/09/2023 00:00:00,C,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,6,01/09/2023 00:00:00,C,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,7,01/10/2024 00:00:00,C,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,8,01/09/2023 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,9,01/08/2024 00:00:00,C,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,10,21/09/2023 00:00:00,P3,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,11,21/09/2023 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,12,21/09/2023 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,4,R,13,01/09/2023 00:00:00,C,RLNG, 	(14-APR-2025 13:06:06)
2,217,C,1,26/08/2006 00:00:00,0,RLNG, 	(14-APR-2025 13:06:06)
2,217,C,2,26/08/2006 00:00:00,0,RLNG, 	(14-APR-2025 13:06:06)
