

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:05)
 
COMPANY_CD,CD,ABBR,EFF_DT,TIMESTAMP>
2,42 , R , 30/12/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,201 , R , 25/01/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,235 , R , 31/01/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,276 , R , 12/02/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,196 , R , 02/03/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,223 , R , 24/03/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,270 , R , 27/04/2005 00:00:00, 	(28-FEB-2025 11:35:47)
2,116 , R , 03/10/2008 00:00:00, 	(28-FEB-2025 11:35:47)
2,256 , R , 21/06/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,226 , R , 20/12/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,45 , R , 21/04/2006 00:00:00, 	(28-FEB-2025 11:35:47)
2,46 , R , 29/04/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,47 , R , 29/04/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,48 , R , 29/04/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,231 , R , 12/05/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,49 , R , 16/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,50 , R , 24/05/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,140 , R , 02/06/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,51 , R , 07/06/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,52 , R , 07/06/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,272 , R , 09/06/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,255 , R , 27/06/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,53 , R , 29/06/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,224 , R , 01/07/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,117 , R , 13/07/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,54 , R , 14/07/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,55 , R , 16/08/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,56 , R , 24/08/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,57 , R , 26/08/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,58 , R , 06/09/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,59 , R , 13/09/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,60 , R , 28/09/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,124 , R , 01/10/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,208 , R , 17/10/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,61 , R , 25/10/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,62 , R , 16/11/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,158 , R , 17/11/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,227 , R , 18/11/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,63 , R , 25/11/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,64 , R , 25/11/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,65 , R , 08/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,189 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,191 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,141 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,194 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,195 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,199 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
