EFF_DT,SHIP_CD,SHIP_NAME,TIMESTAMP
01/01/2007 00:00:00 , 72 , La Mancha Knutsen, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 73 , LNG Finima II, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 74 , Ibri LNG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 75 , Golar Kelvin, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 76 , Soyo, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 77 , Myrina, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 78 , Methane Patricia Camila, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 79 , Maran Gas Roxana, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 80 , Gaslog Genoa, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 81 , Lobito, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 82 , Methane Alison Victoria, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 83 , Mubaraz, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 84 , ISH, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 85 , Pan Africa, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 86 , Maran Gas Olympias, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 87 , Malanje, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 88 , LNG Abalamabie, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 89 , Marib Spirit, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 90 , Maran Gas Coronis, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 91 , Adam LNG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 92 , GASLOG SARATOGA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 93 , Al Hamra, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 94 , Gaslog Santiago, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 95 , Maran Gas Effessos, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 96 , Sevilla Knutsen, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 97 , SCF MITRE, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 98 , :LNG Finima II, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 99 , Sonangol Benguela, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 100 , Bilbao Knutsen, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 101 , LNG OYO, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 102 , Gaslog Shanghai, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 103 , Maran Gas Achilles, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 104 , Methane Heather Sally, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 105 , GHASHA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 106 , Golar Celsius, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 107 , LNG River Orashi, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 108 , CASTILLO DE SANTISTEBAN, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 109 , LNG Benue, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 110 , Puteri Delima Satu, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 111 , Clean Energy, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 112 , Maran Gas Lindos, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 113 , LNG Borno, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 114 , PALU LNG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 115 , LNG Bonny II, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 116 , LNG OGUN, 	(12-MAR-2025 18:06:21)
