

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(08-APR-2025 13:01:06)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:07)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825008, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:07)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825001, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825002, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:07)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825006, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825006, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825006, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825006, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825006, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825006, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825006, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825004, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825003, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825008, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825008, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825005, 4,D, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825008, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825008, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825011, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825010, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825012, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825008, 4,D, 	(08-APR-2025 13:01:08)
2,1, 0, 0,825008, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825007, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,1, 0, 0,825010, 4,D, 	(08-APR-2025 13:01:08)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
2,, , ,, ,, 	(08-APR-2025 13:01:08)	 (Not Inserted)
