

<<START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:40)
 
CD,ABBR,ADDRESS_TYPE,EFF_DT,TIMESTAMP
223 , GIPSKARTON , R , 24/03/2022 00:00:00, 	(28-FEB-2025 11:35:40)
270 , TGPL , R , 27/04/2005 00:00:00, 	(28-FEB-2025 11:35:40)
116 , SELNG , R , 03/10/2008 00:00:00, 	(28-FEB-2025 11:35:40)
256 , SITME , R , 21/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)
 , RIL-D6 , R , 01/01/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , BP  , R , 01/01/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , AMNS-T , R , 01/01/2019 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , RIL-CBM , R , 25/03/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
226 , HPPL , R , 20/12/2020 00:00:00, 	(28-FEB-2025 11:35:40)
45 , GSPL , R , 21/04/2006 00:00:00, 	(28-FEB-2025 11:35:40)
 , PARK-MSK , R , 19/04/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , PARK-BHD , R , 19/04/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , PARKPHUCBM , R , 19/04/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
46 , TGLPL , R , 29/04/2022 00:00:00, 	(28-FEB-2025 11:35:40)
47 , TGBPL , R , 29/04/2022 00:00:00, 	(28-FEB-2025 11:35:40)
48 , BGEPL , R , 29/04/2022 00:00:00, 	(28-FEB-2025 11:35:40)
231 , IMCL , R , 12/05/2022 00:00:00, 	(28-FEB-2025 11:35:40)
 , PMSKP , R , 13/05/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
49 , VVF India , R , 16/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
50 , GNFC , R , 24/05/2022 00:00:00, 	(28-FEB-2025 11:35:40)
140 , MEGHHQX , R , 02/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)
51 , ONGC , R , 07/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)
52 , GLIL , R , 07/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)
272 , UGEL , R , 09/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)
255 , SGI-AP , R , 27/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)
 , IGX , R , 29/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , IGX , R , 29/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , IGX , R , 29/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
53 , RGPL , R , 29/06/2022 00:00:00, 	(28-FEB-2025 11:35:40)
224 , GTIPL , R , 01/07/2022 00:00:00, 	(28-FEB-2025 11:35:40)
 , GSPL-C , R , 12/07/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
117 , PEPL , R , 13/07/2022 00:00:00, 	(28-FEB-2025 11:35:40)
54 , GFCL , R , 14/07/2022 00:00:00, 	(28-FEB-2025 11:35:40)
 , DERL , R , 16/08/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
55 , CPL , R , 16/08/2022 00:00:00, 	(28-FEB-2025 11:35:40)
56 , IRM , R , 24/08/2022 00:00:00, 	(28-FEB-2025 11:35:40)
