

<<START>>,<<FMS_TRADER_CONT_PLANT>>,,,,,,, 	(16-MAY-2025 10:56:06)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823048,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823049,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823050,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823051,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823052,4,1,D, 	(16-MAY-2025 10:56:06)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,1, 0, 0,823016,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823017,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823018,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823019,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823020,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823021,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823022,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823023,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823024,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823025,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823026,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823027,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823028,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823029,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823030,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823031,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823032,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823033,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823034,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823035,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823036,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823037,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823038,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823039,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823040,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823041,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823042,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823043,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823044,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823045,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823046,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823047,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823048,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823049,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823050,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823051,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823052,3,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823016,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823017,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823018,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823019,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823020,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823021,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823022,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823023,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823024,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823025,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823026,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823027,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823028,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823029,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823030,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823031,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823032,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823033,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823034,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823035,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823036,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823037,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823038,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823039,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823040,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823041,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823042,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823043,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823044,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823045,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823046,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823047,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823048,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823049,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823050,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823051,2,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823052,2,1,D, 	(16-MAY-2025 10:56:06)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
