

<<START>>,<<FMS_BUY_CARGO_ALLOC>>,,,, 	(20-MAY-2025 11:30:02)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,ALLOC_REV,TIMESTAMP
2,256, M, 1 ,0, N, 714001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 711004 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 711007 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 711009 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 714004 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 714006 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256,  ,, ,  ,714006 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256, M, 1 ,0, N, 710098 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710095 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710096 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710097 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710099 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710083 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710085 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710091 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710089 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710090 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710087 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256,  ,, ,  ,710087 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256,  ,, ,  ,710087 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256, M, 1 ,0, N, 710086 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710092 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710093 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710094 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256,  ,, ,  ,710094 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256,  ,, ,  ,710094 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256,  ,, ,  ,710094 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256,  ,, ,  ,710094 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256, M, 1 ,0, N, 710084 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,0,  ,, ,  ,710084 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,268,  ,, ,  ,710084 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,268,  ,, ,  ,710084 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,268,  ,, ,  ,710084 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,268,  ,, ,  ,710084 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,152, M, 1 ,0, N, 721014 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,152, M, 1 ,0, N, 721015 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,1,  ,, ,  ,721015 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,0,  ,, ,  ,721015 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,0,  ,, ,  ,721015 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,0,  ,, ,  ,721015 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,110, M, 1 ,0, N, 723001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723004 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723005 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723007 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723003 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723006 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723008 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723008 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 723009 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 724003 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 724001 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 724001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 724002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 725001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 724004 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M ,, 0, N ,724002 ,0 ,1, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,110, M ,, 0, N ,724002 ,0 ,1, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,110, M, 1 ,0, N, 724005 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,110, M, 1 ,0, N, 725002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)

TOTAL DATA IN EXCEL : 246 	(20-MAY-2025 11:30:02)
 

TOTAL DATA INSERTED : 220 	(20-MAY-2025 11:30:02)
 

TOTAL SKIPPED DATA 26 	(20-MAY-2025 11:30:02)
 
<<END>><<FMS_BUY_CARGO_ALLOC>> 	(20-MAY-2025 11:30:02)
 

