

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(07-JUN-2025 09:45:17)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,2,48,12/01/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,10,16/01/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,2,41,20/01/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,2,44,31/01/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,44,31/01/2022 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,49,01/02/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,3,04/02/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,42,10/02/2022 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,12,50,11/02/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,11,51,11/02/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,11,52,12/02/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,44,14/02/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,2,39,14/02/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,39,14/02/2022 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,2,39,15/02/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,11,54,19/02/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,11,55,21/02/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,41,25/02/2022 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,4,24,02/03/2022 00:00:00,8, 	(07-JUN-2025 09:45:18)
2,11,56,03/03/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,11,57,05/03/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,8,58,07/03/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,44,09/03/2022 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,2,39,17/03/2022 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,12,59,25/03/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,10,43,26/03/2022 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,12,60,29/03/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,42,03/04/2022 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,12,42,07/04/2022 00:00:00,7, 	(07-JUN-2025 09:45:18)
2,12,43,12/04/2022 00:00:00,7, 	(07-JUN-2025 09:45:18)
2,12,59,13/04/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,43,15/04/2022 00:00:00,8, 	(07-JUN-2025 09:45:18)
2,2,43,15/04/2022 00:00:00,9, 	(07-JUN-2025 09:45:18)
2,12,43,15/04/2022 00:00:00,10, 	(07-JUN-2025 09:45:18)
2,12,60,19/04/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,42,20/04/2022 00:00:00,8, 	(07-JUN-2025 09:45:18)
2,12,43,25/04/2022 00:00:00,11, 	(07-JUN-2025 09:45:18)
2,11,29,26/04/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,42,28/04/2022 00:00:00,9, 	(07-JUN-2025 09:45:18)
2,12,42,06/05/2022 00:00:00,10, 	(07-JUN-2025 09:45:18)
2,12,60,13/05/2022 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,13,61,16/05/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,13,62,16/05/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,11,56,17/05/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,63,26/05/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,63,27/05/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,11,29,27/05/2022 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,42,28/05/2022 00:00:00,11, 	(07-JUN-2025 09:45:18)
2,11,64,01/06/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,59,02/06/2022 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,49,08/06/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,13,61,23/06/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,10,18,07/07/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,59,08/09/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,60,11/09/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,60,14/09/2022 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,8,19,22/09/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,8,20,22/09/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,68,27/09/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,53,28/09/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,66,29/09/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,49,30/09/2022 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,71,01/10/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,50,01/10/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,70,12/10/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,25,22/10/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,66,11/11/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,50,21/11/2022 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,43,27/11/2022 00:00:00,12, 	(07-JUN-2025 09:45:18)
2,14,72,28/11/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,14,73,07/12/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,1,31,08/12/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,25,14/12/2022 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,12,71,26/12/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,32,30/12/2022 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,53,31/12/2022 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,74,02/01/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,69,09/01/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,74,10/01/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,50,19/01/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,43,23/01/2023 00:00:00,13, 	(07-JUN-2025 09:45:18)
2,4,70,31/01/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,28,04/02/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,15,75,04/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,13,06/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,77,06/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,76,06/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,80,07/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,79,07/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,78,07/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,81,07/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,86,09/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,82,09/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,84,09/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,87,09/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,83,09/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,85,09/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,88,10/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,89,10/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,92,11/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,93,11/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,93,11/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,91,11/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,90,11/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,96,13/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,94,13/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,97,13/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,12,15/02/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,15,98,15/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,75,15/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,98,16/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,99,17/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,100,19/02/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,68,21/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,88,22/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,100,24/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,40,24/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,87,27/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,92,28/02/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,25,28/02/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,15,98,03/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,15,87,03/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,2,41,04/03/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,2,41,04/03/2023 00:00:00,7, 	(07-JUN-2025 09:45:18)
2,2,39,04/03/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
