

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(12-JUN-2025 09:28:28)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 710010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,P,1,1,T0013340,9.5,2PNS0002/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,PF,1,1,T0013340,9.5,2PFNS0002/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,F,1,1,T0013474,9.5,2NS0002/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,CP,1,1,T0013340,9.5,2PNCD0002/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,CF,1,1,T0013474,9.5,2NCD0002/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,P,1,1,T0012997,8.23,2PNS0003/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,PF,1,1,T0012997,8.23,2PFNS0003/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,F,1,1,T0013037,8.23,2NS0003/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,CP,1,1,T0012997,8.23,2PNCD0003/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,P,1,1,T0014385,13.5,2PNS0004/07-08,1, 	(12-JUN-2025 09:28:29)
