

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(17-JUN-2025 12:04:08)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 116, M, 1, 0, N, 710081, 0,1,8018, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710082, 0,1,8020, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710083, 0,1,8022, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710084, 0,1,8023, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710085, 0,1,8024, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710086, 0,1,8027, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 721001, 0,1,21054, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 721002, 0,1,21056, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 721003, 0,1,21057, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 721004, 0,1,21058, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 721005, 0,1,21063, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 722001, 0,1,22013, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 722002, 0,1,22024, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710087, 0,1,8029, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710088, 0,1,8030, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710089, 0,1,9001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710090, 0,1,9002, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710091, 0,1,9006, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710092, 0,1,9008, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710093, 0,1,9009, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710094, 0,1,9010, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710095, 0,1,9012, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710096, 0,1,9013, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710097, 0,1,9015, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710098, 0,1,9018, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710099, 0,1,9019, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710100, 0,1,9020, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710101, 0,1,9022, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710102, 0,1,9023, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710103, 0,1,9024, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710104, 0,1,9025, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710105, 0,1,9026, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710106, 0,1,10001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710107, 0,1,10003, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710108, 0,1,10006, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710109, 0,1,10007, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 710110, 0,1,10008, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 711004, 0,1,10016, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 711005, 0,1,10017, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 711006, 0,1,11001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 711007, 0,1,11003, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 711008, 0,1,11004, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 711009, 0,1,11005, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 711010, 0,1,11007, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714001, 0,1,14001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714002, 0,1,14002, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714003, 0,1,14003, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714004, 0,1,14004, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714005, 0,1,14005, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714006, 0,1,14006, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714007, 0,1,14007, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 714008, 0,1,14008, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 715001, 0,1,14009, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 715001, 0,2,14010, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 715001, 0,3,14011, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 715001, 0,4,14012, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 715001, 0,5,14013, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 715001, 0,6,14014, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 715002, 0,1,15001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 716001, 0,1,16001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 717001, 0,1,17001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719001, 0,1,19001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719002, 0,1,19002, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719003, 0,1,19003, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719004, 0,1,19004, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719005, 0,1,19005, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719006, 0,1,19006, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719007, 0,1,19007, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719008, 0,1,19008, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719009, 0,1,19009, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719010, 0,1,19010, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719011, 0,1,19011, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719012, 0,1,19012, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719013, 0,1,19013, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719014, 0,1,19014, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 719015, 0,1,19015, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720001, 0,1,19016, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720002, 0,1,19017, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720003, 0,1,19018, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720004, 0,1,19020, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720005, 0,1,19019, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720006, 0,1,19021, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720007, 0,1,19022, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720008, 0,1,19023, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720009, 0,1,19024, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720010, 0,1,19025, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720011, 0,1,19026, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720012, 0,1,19027, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720012, 0,2,19028, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720013, 0,1,19029, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720013, 0,2,19030, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720014, 0,1,19031, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720015, 0,1,19032, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720016, 0,1,20001, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720017, 0,1,20002, 	(17-JUN-2025 12:04:08)
