

<<START>>,<<FMS_TRADER_CONT_PLANT_CHRG>>,,,,,, 	(12-SEP-2025 15:04:31)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)

TOTAL DATA IN EXCEL : 21,,,,,,, 	(12-SEP-2025 15:04:31)
 

TOTAL DATA INSERTED : 0,,,,,,, 	(12-SEP-2025 15:04:31)
 

TOTAL SKIPPED DATA 21,,,,,,, 	(12-SEP-2025 15:04:31)
 
<<END>><<FMS_TRADER_CONT_PLANT_CHRG>> 	(12-SEP-2025 15:04:31)
 

<<START>>,<<FMS_TRADER_BILLING_DTL>>,,,,,, 	(12-SEP-2025 15:04:31)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,SN_NO,PLANT_SEQ_NO,TIMESTAMP
2,1:RIL, 0, 0,823046, 4,D,RIL-1-31-D-21040-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823047, 4,D,RIL-1-32-D-21041-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823048, 4,D,RIL-1-33-D-21042-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823049, 4,D,RIL-1-34-D-21043-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823050, 4,D,RIL-1-35-D-21044-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823051, 4,D,RIL-1-36-D-21045-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823052, 4,D,RIL-1-37-D-21046-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,824004, 21,D,RIL-2-1-D-23012-21,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,824005, 21,D,RIL-2-2-D-23013-21,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,824004, 21,D,RIL-2-1-D-23012-21,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,824005, 21,D,RIL-2-2-D-23013-21,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,824006, 13,D,RIL-3-1-D-23019-13,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,824007, 13,D,RIL-3-2-D-23020-13,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,824006, 13,D,RIL-3-1-D-23019-13,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,824007, 13,D,RIL-3-2-D-23020-13,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,823053, 4,D,RIL-4-1-D-23038-4,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,824008, 1,D,RIL-5-1-D-24014-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,824008, 1,D,RIL-5-1-D-24014-1,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,43:BP, 0, 0,822001, 3,I,BP-1-1-I-9922018-3,1, 	(12-SEP-2025 15:04:31)
2,43:BP, 0, 0,822002, 4,I,BP-2-1-I-9922021-4,1, 	(12-SEP-2025 15:04:31)
2,43:BP, 0, 0,822003, 1,I,BP-3-1-I-9922023-1,1, 	(12-SEP-2025 15:04:31)
2,43:BP, 0, 0,822004, 1,I,BP-4-1-I-9922025-1,1, 	(12-SEP-2025 15:04:31)
