

<<START>>,<<FMS_GTA_SG_INV_MST>>,, 	(01-SEP-2025 14:11:50)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANS_BU_UNIT, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_TYPE, INVOICE_SEQ, INV_NO ,TIMESTAMP,
2,4,1,0,51,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,IC,32,UPG2A24109002564, 	(01-SEP-2025 14:11:51)
2,4,1,0,49,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,TC,33,UPG2A24109006934, 	(01-SEP-2025 14:11:51)
2,4,1,0,49,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,IC,34,UPG2A24109007189, 	(01-SEP-2025 14:11:51)
2,4,1,0,49,0,C,1,1,2,16/08/2024 00:00:00,31/08/2024 00:00:00,TC,35,UPG2A24109007888, 	(01-SEP-2025 14:11:51)
2,4,1,0,49,0,C,1,1,1,01/09/2024 00:00:00,15/09/2024 00:00:00,TC,36,UPG2A24109008361, 	(01-SEP-2025 14:11:51)
2,4,1,0,49,0,C,1,1,2,16/09/2024 00:00:00,30/09/2024 00:00:00,TC,37,UPG2A24109009319, 	(01-SEP-2025 14:11:51)
2,4,1,0,26,0,C,1,1,2,16/03/2025 00:00:00,31/03/2025 00:00:00,TC,38,UPG2A24109025268, 	(01-SEP-2025 14:11:51)
2,4,1,0,133,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,15,UPG2A23109007655, 	(01-SEP-2025 14:11:51)
2,4,1,0,133,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,16,UPG2A23109008198, 	(01-SEP-2025 14:11:51)
2,4,1,0,132,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,17,UPG2A23109007657, 	(01-SEP-2025 14:11:51)
2,4,1,0,132,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,18,UPG2A23109008202, 	(01-SEP-2025 14:11:51)
2,4,1,0,131,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,19,UPG2A23109007667, 	(01-SEP-2025 14:11:51)
2,4,1,0,131,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,20,UPG2A23109008203, 	(01-SEP-2025 14:11:51)
2,4,1,0,125,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,21,UPG2A23109007672, 	(01-SEP-2025 14:11:51)
