

<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,20 ,37, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,39, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,40, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,3, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,4, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,7, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,10, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,11, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,12, 0 ,K, 	(26-MAY-2025 11:41:49)
2,166 ,4, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,1, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,2, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,36, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,43, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,18, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,44, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,6, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,16, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,44, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,13, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,35, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,14, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,15, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,31, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,32, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,9, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,38, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,41, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,17, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,19, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,38, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,154 ,46, 0 ,K, 	(26-MAY-2025 11:41:49)

TOTAL DATA IN EXCEL : 116 	(26-MAY-2025 11:41:49)
 

TOTAL DATA INSERTED : 86 	(26-MAY-2025 11:41:49)
 

TOTAL SKIPPED DATA 30 	(26-MAY-2025 11:41:49)
 
<<END>><<FMS_SECURITY_MST>> 	(26-MAY-2025 11:41:49)
 
