

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(01-APR-2025 15:45:17)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,43, 0, 0,825058, 3,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825058, 3,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825087, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825088, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825089, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825086, 1,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825088, 1,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825090, 0,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825066, 0,, 	(01-APR-2025 15:45:17)
2,124, 0, 0,825113, 0,, 	(01-APR-2025 15:45:17)
2,124, 0, 0,825113, 1,, 	(01-APR-2025 15:45:17)
2,124, 0, 0,825113, 2,, 	(01-APR-2025 15:45:17)
2,61, 0, 0,825115, 0,, 	(01-APR-2025 15:45:17)
2,61, 0, 0,825115, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825063, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825063, 0,, 	(01-APR-2025 15:45:17)
2,20, , ,, ,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,20, , ,, ,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,20, , ,, ,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,20, , ,, ,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,211, , ,, ,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,211, 0, 0,825119, 1,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825095, 0,, 	(01-APR-2025 15:45:17)
2,20, 0, 0,825077, 0,, 	(01-APR-2025 15:45:17)
2,20, 0, 0,825077, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825030, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825052, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825031, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825053, 1,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825098, 0,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825099, 0,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825072, 0,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825072, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825018, 2,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825018, 2,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,186, 0, 0,825121, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,186, 0, 0,825121, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,159, 0, 0,825120, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,159, 0, 0,825120, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 9,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 9,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,154, 0, 0,825103, 0,, 	(01-APR-2025 15:45:17)
2,20, 0, 0,825080, 0,, 	(01-APR-2025 15:45:17)
2,20, 0, 0,825080, 1,, 	(01-APR-2025 15:45:17)
2,166, 0, 0,825122, 3,, 	(01-APR-2025 15:45:17)
2,166, 0, 0,825122, 4,, 	(01-APR-2025 15:45:17)
2,166, 0, 0,825122, 5,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825027, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825027, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825027, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825027, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825027, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825027, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825027, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825027, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
