

<<START>>,<<FMS_AGMT_MST>>,, 	(03-MAR-2025 13:08:18)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP
2,20,F,0,3,45,4, 	(03-MAR-2025 13:08:20)
2,20,F,1,2,45,1, 	(03-MAR-2025 13:08:20)
2,20,F,1,2,45,2, 	(03-MAR-2025 13:08:20)
2,20,F,1,2,45,3, 	(03-MAR-2025 13:08:20)
2,20,F,1,2,45,4, 	(03-MAR-2025 13:08:20)
2,20,F,2,2,45,1, 	(03-MAR-2025 13:08:20)
2,20,F,2,2,45,2, 	(03-MAR-2025 13:08:20)
2,20,F,2,2,45,3, 	(03-MAR-2025 13:08:20)
2,20,F,2,2,45,4, 	(03-MAR-2025 13:08:20)
2,154,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,154,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,154,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,154,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,21,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,21,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,21,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,21,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,22,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,22,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,22,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,22,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,23,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,23,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,23,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,23,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,29,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,29,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,29,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,29,F,0,1,45,4, 	(03-MAR-2025 13:08:20)

TOTAL DATA IN EXCEL : ,69,,,,,, 	(03-MAR-2025 13:08:20)
 

TOTAL DATA INSERTED : ,223,,,,,, 	(03-MAR-2025 13:08:20)
 

TOTAL SKIPPED DATA ,6,,,,,, 	(03-MAR-2025 13:08:20)
 
<<END>>,<<FMS_AGMT_TRANSPTR>>,,,,,, 	(03-MAR-2025 13:08:20)
 

<<START>>,<<FMS_AGMT_PLANT>>,, 	(03-MAR-2025 13:08:20)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP
2,1 , RIL,F,1,2,1, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,1,2,4, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,4,3, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,3,2, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,2,2, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,1,3, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,1,2,3, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,4,1, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,3,1, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,2,6, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,1,2, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,3,4, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,2,4, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,1,2,2, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,3,6, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,2,3, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,2,5, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,3,5, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,4,5, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,0,3,3, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,1,2,5, 	(03-MAR-2025 13:08:20)
2,1 , RIL,F,1,2,6, 	(03-MAR-2025 13:08:20)
2,2 , MGL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,2 , MGL,F,0,6,1, 	(03-MAR-2025 13:08:20)
2,2 , MGL,F,0,5,1, 	(03-MAR-2025 13:08:20)
2,2 , MGL,F,0,4,1, 	(03-MAR-2025 13:08:20)
2,2 , MGL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,2 , MGL,F,0,7,1, 	(03-MAR-2025 13:08:20)
2,2 , MGL,F,0,3,1, 	(03-MAR-2025 13:08:20)
2,3 , GSPCL,F,1,1,1, 	(03-MAR-2025 13:08:20)
2,3 , GSPCL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,3 , GSPCL,F,3,1,1, 	(03-MAR-2025 13:08:20)
2,3 , GSPCL,F,0,3,1, 	(03-MAR-2025 13:08:20)
2,3 , GSPCL,F,2,1,1, 	(03-MAR-2025 13:08:20)
2,3 , GSPCL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,4 , Gail,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,4 , Gail,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,4 , Gail,F,1,2,1, 	(03-MAR-2025 13:08:20)
2,0 , BPL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,0 , EPL,F,0,1,1, 	(03-MAR-2025 13:08:20)	 (Not Inserted)
2,217 , ESL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,6 , KRIBHCO,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,7 , DFPCL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,7 , DFPCL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,8 , AIGL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,218 , ESEZ,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,225 , VIL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,0 , VSIL,F,0,1,1, 	(03-MAR-2025 13:08:20)	 (Not Inserted)
2,10 , GGCL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,11 , TPL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,280 , WMSL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,280 , WMSL,F,1,1,1, 	(03-MAR-2025 13:08:20)
2,280 , WMSL,F,2,1,1, 	(03-MAR-2025 13:08:20)
2,280 , WMSL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,12 , MNGL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,13 , IGL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,13 , IGL,F,0,1,1, 	(03-MAR-2025 13:08:20)
