

<<START>>,<<FMS_METER_MST>>,,,,, 	(15-MAR-2025 17:18:39)
2,4 , Gail , 1 , R , 2, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 3, 	(15-MAR-2025 17:18:39)
2,4 , Gail , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,4 , Gail , 2 , R , 2, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,4 , Gail , 3 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,4 , Gail , 3 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 4 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 4 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 5 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 6 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 6 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 7 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 7 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 8 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 8 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 9 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 9 , R , 2, 	(15-MAR-2025 17:18:39)
2,53 , RGPL , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,53 , RGPL , 1 , R , 2, 	(15-MAR-2025 17:18:39)
2,29 , PipeInfra , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 2, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,29 , PipeInfra , 1 , R , 3, 	(15-MAR-2025 17:18:39)
2,29 , PipeInfra , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,29 , PipeInfra , 3 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 4 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 4 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 5 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 5 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 6 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 6 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 7 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 8 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,168 , GSIGLIM , 1 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,168 , GSIGLIM , 2 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,134 , GSINLIM , 1 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,134 , GSINLIM , 1 , R , 2, 	(15-MAR-2025 17:18:39)

TOTAL DATA IN EXCEL : ,78,,,,, 	(15-MAR-2025 17:18:39)
 

TOTAL DATA INSERTED : ,48,,,,, 	(15-MAR-2025 17:18:39)
 

TOTAL SKIPPED DATA ,30,,,,, 	(15-MAR-2025 17:18:39)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(15-MAR-2025 17:18:39)
 
