

<<START>>,<<FMS_SECURITY_MST>>,,,,, 	(13-MAY-2025 10:21:58)
2,GSPCL,3,15,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,16,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,17,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,18,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,19,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,20,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,21,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,22,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,23,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,24,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,25,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,26,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,27,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,28,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,29,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,30,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,31,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,32,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,33,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,34,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,35,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,36,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,37,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,38,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,39,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,40,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,41,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,42,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,1,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,2,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,3,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,4,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,5,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,6,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,7,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,8,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,9,0,K, 	(13-MAY-2025 10:21:59)
2,Gail,4,10,0,K, 	(13-MAY-2025 10:21:59)
**********AutomationEMS Error  (13-MAY-2025 10:21:59) **********
java.sql.SQLException: ORA-12899: value too large for column "MIGRATE2EMS"."FMS_SECURITY_MST"."STATUS" (actual: 7, maximum: 1)


com.etrm.fms.migration.Sales_SEIPL_Data_Reader.FMS_SECURITY_MST(Sales_SEIPL_Data_Reader.java:10047)
com.etrm.fms.migration.Sales_SEIPL_Data_Reader.init(Sales_SEIPL_Data_Reader.java:227)
**************************************************

<<FUNCTION FMS_SECURITY_MST(S)() ENDED WITH ERRORS>>
