

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(28-FEB-2025 11:33:35)
 
CD,ABBR,EFF_DT,TIMESTAMP
276 , VIRGO,12/02/2022 00:00:00, 	(28-FEB-2025 11:33:35)
196 , BLPL,02/03/2022 00:00:00, 	(28-FEB-2025 11:33:35)
223 , GIPSKARTON,24/03/2022 00:00:00, 	(28-FEB-2025 11:33:35)
270 , TGPL,27/04/2005 00:00:00, 	(28-FEB-2025 11:33:35)
116 , SELNG,29/04/2005 00:00:00, 	(28-FEB-2025 11:33:35)
256 , SITME,20/10/2008 00:00:00, 	(28-FEB-2025 11:33:35)
 , DT,01/04/2005 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
268 , ThirdParty,01/03/2012 00:00:00, 	(28-FEB-2025 11:33:35)
 , Gunvor ,10/02/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , RIL-D6,01/01/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , BP ,01/01/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , AMNS-T,01/01/2019 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , AMNS-T,14/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , RIL-CBM,25/03/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
226 , HPPL,01/07/2017 00:00:00, 	(28-FEB-2025 11:33:35)
 , PIL-Haz,23/03/2018 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PIL-Haz,28/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
45 , GSPL,21/04/2006 00:00:00, 	(28-FEB-2025 11:33:35)
 , GAIL-Haz,08/03/2007 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , GAIL-Haz,14/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PLLD,01/01/2020 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PLLD,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , D6Gadimoga,01/03/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , D6Gadimoga,14/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PANKGA,01/01/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PANKGA,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PMSKGA,01/01/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PMSKGA,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PBHDGS,01/01/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PBHDGS,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PURCHASE-T,01/10/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PURCHASE-T,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARK-ANK,01/02/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARK-ANK,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PHUCBM,31/03/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PHUCBM,14/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARK-MSK,19/04/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARK-MSK,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARK-BHD,19/04/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARK-BHD,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARKPHUCBM,19/04/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PARKPHUCBM,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
46 , TGLPL,29/04/2022 00:00:00, 	(28-FEB-2025 11:33:35)
47 , TGBPL,29/04/2022 00:00:00, 	(28-FEB-2025 11:33:35)
48 , BGEPL,29/04/2022 00:00:00, 	(28-FEB-2025 11:33:35)
231 , IMCL,12/05/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , PMSKP,13/05/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , PMSKP,27/06/2023 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
49 , VVF India,14/05/2022 00:00:00, 	(28-FEB-2025 11:33:35)
50 , GNFC,24/05/2022 00:00:00, 	(28-FEB-2025 11:33:35)
140 , MEGHHQX,02/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)
51 , ONGC,07/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)
52 , GLIL,07/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)
272 , UGEL,09/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)
255 , SGI-AP,27/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , IGX,29/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , IGX,30/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , IGX,14/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , IGX,29/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
53 , RGPL,29/06/2022 00:00:00, 	(28-FEB-2025 11:33:35)
224 , GTIPL,01/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , GSPL-C,12/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , GSPL-C,12/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
117 , PEPL,13/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)
54 , GFCL,14/07/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , DERL,16/08/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
55 , CPL,16/08/2022 00:00:00, 	(28-FEB-2025 11:33:35)
56 , IRM,07/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
56 , IRM,24/08/2022 00:00:00, 	(28-FEB-2025 11:33:35)
57 , PPL,26/08/2022 00:00:00, 	(28-FEB-2025 11:33:35)
58 , YARALTD,06/09/2022 00:00:00, 	(28-FEB-2025 11:33:35)
59 , INPEROX,13/09/2022 00:00:00, 	(28-FEB-2025 11:33:35)
60 , RAFECHL,28/09/2022 00:00:00, 	(28-FEB-2025 11:33:35)
124 , MGRPL,07/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
124 , MGRPL,01/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
208 , CNTENKA,17/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
61 , EFSPL,25/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
62 , WELSMEL,16/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)
158 , HINDURV,17/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , DONOTUSE,21/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , DONOTUSE,21/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , DONOTUSE,17/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , DONOTUSE,21/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
227 , HCGPUTE,18/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)
63 , GOAGLSF,25/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)
64 , IGSPL,16/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
64 , IGSPL,25/11/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , ELAWPRC,02/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
65 , PEFORCV,08/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , AARVKRO,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
189 , ACOVIED,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
191 , ANTIQAC,15/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
191 , ANTIQAC,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
141 , ASIANPL,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
194 , AVLCRMC,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
195 , AXWELLG,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
199 , BEGLASS,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
200 , BHRTFRG,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
66 , BHEL,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
203 , BICELLO,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
143 , CAPAROE,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
209 , CLVTPVL,12/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
210 , COMFIND,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
67 , DCMSHRI,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
138 , DEENOVK,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
212 , DHARLTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
213 , DURAVIT,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
214 , DURZGRA,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
216 , ERACLTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
219 , EURILTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
221 , FIORGPL,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
68 , GAMALTD,13/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
69 , GFLLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
70 , GMRLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
71 , GOCOPRL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
