

<<START>>,<<FMS_METER_MST>>,,,,, 	(24-FEB-2025 12:33:11)
2 ,4 , Gail , 1 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 3, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 2 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 2 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 3 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 3 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 4 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 4 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 5 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 6 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 7 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 7 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 8 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 8 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 9 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,4 , Gail , 9 , R , 2, 	(24-FEB-2025 12:33:12)
2 ,53 , RGPL , 1 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,53 , RGPL , 1 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 1 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 1 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 1 , R , 3, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 2 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 3 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 3 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 4 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 4 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 5 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 5 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 6 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 6 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 7 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 8 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,29 , PipeInfra , 8 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,168 , GSIGLIM , 1 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,168 , GSIGLIM , 2 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,134 , GSINLIM , 1 , R , 1, 	(24-FEB-2025 12:33:12)	 (Not Inserted)
2 ,134 , GSINLIM , 1 , R , 2, 	(24-FEB-2025 12:33:12)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,74,,,,, 	(24-FEB-2025 12:33:12)
 

TOTAL DATA INSERTED : ,1,,,,, 	(24-FEB-2025 12:33:12)
 

TOTAL SKIPPED DATA ,73,,,,, 	(24-FEB-2025 12:33:12)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(24-FEB-2025 12:33:12)
 
