

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(06-JUN-2025 11:49:10)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 11:49:11)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 11:49:11)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 11:49:11)
