

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(09-APR-2025 19:57:58)
 
CD,ABBR,EFF_DT,TIMESTAMP
273 , UEPL,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
273 , UEPL,03/09/2021 00:00:00, 	(09-APR-2025 19:57:58)
206 , CELLO,01/12/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
204 , CALDERYS,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
204 , CALDERYS,20/12/2021 00:00:00, 	(09-APR-2025 19:57:58)
42 , RCF,30/12/2021 00:00:00, 	(09-APR-2025 19:57:58)
201 , BWRL,25/01/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
235 , KRYO,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
235 , KRYO,31/01/2022 00:00:00, 	(09-APR-2025 19:57:58)
276 , VIRGO,12/02/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
196 , BLPL,02/03/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
223 , GIPSKARTON,24/03/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
270 , TGPL,27/04/2005 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
116 , SELNG,29/04/2005 00:00:00, 	(09-APR-2025 19:57:58)
256 , SITME,20/10/2008 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , DT,01/04/2005 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
268 , ThirdParty,01/03/2012 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , Gunvor ,10/02/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , RIL-D6,01/01/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , BP ,01/01/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , AMNS-T,01/01/2019 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , AMNS-T,14/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , RIL-CBM,25/03/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
226 , HPPL,01/07/2017 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PIL-Haz,23/03/2018 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PIL-Haz,28/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
45 , GSPL,21/04/2006 00:00:00, 	(09-APR-2025 19:57:58)
 , GAIL-Haz,08/03/2007 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , GAIL-Haz,14/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PLLD,01/01/2020 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PLLD,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , D6Gadimoga,01/03/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , D6Gadimoga,14/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PANKGA,01/01/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PANKGA,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PMSKGA,01/01/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PMSKGA,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PBHDGS,01/01/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PBHDGS,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PURCHASE-T,01/10/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PURCHASE-T,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARK-ANK,01/02/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARK-ANK,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PHUCBM,31/03/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PHUCBM,14/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARK-MSK,19/04/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARK-MSK,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARK-BHD,19/04/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARK-BHD,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARKPHUCBM,19/04/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PARKPHUCBM,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
46 , TGLPL,29/04/2022 00:00:00, 	(09-APR-2025 19:57:58)
47 , TGBPL,29/04/2022 00:00:00, 	(09-APR-2025 19:57:58)
48 , BGEPL,29/04/2022 00:00:00, 	(09-APR-2025 19:57:58)
231 , IMCL,12/05/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PMSKP,13/05/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , PMSKP,27/06/2023 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
49 , VVF India,14/05/2022 00:00:00, 	(09-APR-2025 19:57:58)
50 , GNFC,24/05/2022 00:00:00, 	(09-APR-2025 19:57:58)
140 , MEGHHQX,02/06/2022 00:00:00, 	(09-APR-2025 19:57:58)
51 , ONGC,07/06/2022 00:00:00, 	(09-APR-2025 19:57:58)
52 , GLIL,07/06/2022 00:00:00, 	(09-APR-2025 19:57:58)
272 , UGEL,09/06/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
