

<<START>>,<<FMS_METER_MST>>,,,,, 	(12-MAR-2025 11:59:26)
2, , PARKPHUCBM , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 5, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 1 , R , 4, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 1 , R , 5, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 1 , R , 6, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 2 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 2 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 3 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 3 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 4 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 4 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 5 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 6 , R , 5, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2 ,4 , Gail , 6 , R , 6, 	(12-MAR-2025 11:59:27)
2,4 , Gail , 7 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 7 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 8 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 8 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 9 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 9 , R , 4, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,53 , RGPL , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,53 , RGPL , 1 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 6, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 7, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 8, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 2 , R , 4, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 4, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 5, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 4 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 4 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 5 , R , 4, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 5 , R , 5, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 6 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 6 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 7 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 8 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,168 , GSIGLIM , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,168 , GSIGLIM , 2 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,134 , GSINLIM , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,134 , GSINLIM , 1 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,78,,,,, 	(12-MAR-2025 11:59:27)
 

TOTAL DATA INSERTED : ,4,,,,, 	(12-MAR-2025 11:59:27)
 

TOTAL SKIPPED DATA ,74,,,,, 	(12-MAR-2025 11:59:27)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(12-MAR-2025 11:59:27)
 
