

<<START>>,<<FMS_SECTOR_MST>>, 	(25-FEB-2025 14:38:17)
 
ABBR,,TIMESTAMP
FERTILISER-GAS BASED,, 	(25-FEB-2025 14:38:18)
CAUSTIC SODA ETC.,, 	(25-FEB-2025 14:38:18)
HEAVY ACIDS,, 	(25-FEB-2025 14:38:18)
OTHER INORG.CHEM,, 	(25-FEB-2025 14:38:18)
PETRO-CHEM OTHERS,, 	(25-FEB-2025 14:38:18)
PETROCHEM -GAS BASED,, 	(25-FEB-2025 14:38:18)
DYES & DYE STUFFS,, 	(25-FEB-2025 14:38:18)
SYNTHETIC RUBBER,, 	(25-FEB-2025 14:38:18)
PESTI./AGRO CHEM,, 	(25-FEB-2025 14:38:18)
OTHER ORG.CHEMICAL,, 	(25-FEB-2025 14:38:18)
DRUGS&PHARMACEUTICAL,, 	(25-FEB-2025 14:38:18)
PAINTS ETC,, 	(25-FEB-2025 14:38:18)
INDU EXPLOSIVE,, 	(25-FEB-2025 14:38:18)
CALCINATION PLANTS,, 	(25-FEB-2025 14:38:18)
SOAPS ETC,, 	(25-FEB-2025 14:38:18)
MISC CHEM INDU,, 	(25-FEB-2025 14:38:18)
CEMENT/BUILD MAT,, 	(25-FEB-2025 14:38:18)
BITUMEN/BUILD.MAT,, 	(25-FEB-2025 14:38:18)
CIVIL MISCELLANEOUS,, 	(25-FEB-2025 14:38:18)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(25-FEB-2025 14:38:18)
LDC,, 	(25-FEB-2025 14:38:18)

TOTAL DATA IN EXCEL : ,97, 	(25-FEB-2025 14:38:18)
 

TOTAL DATA INSERTED : ,96, 	(25-FEB-2025 14:38:18)
 

TOTAL SKIPPED DATA ,1, 	(25-FEB-2025 14:38:18)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(25-FEB-2025 14:38:18)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(25-FEB-2025 14:38:18)
 
ABBR,,TIMESTAMP

TOTAL DATA IN EXCEL : ,97, 	(25-FEB-2025 14:38:18)
 

TOTAL DATA INSERTED : ,0, 	(25-FEB-2025 14:38:18)
 

TOTAL SKIPPED DATA ,0, 	(25-FEB-2025 14:38:18)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(25-FEB-2025 14:38:18)
 
