

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(25-FEB-2025 17:54:08)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2 , 1 , RIL , C , 12 , 01/03/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 13 , 01/07/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 14 , 01/07/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 14 , 31/01/2018 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 14 , 29/05/2018 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 15 , 01/01/2020 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 15 , 01/02/2020 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 16 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 17 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 18 , 01/10/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 2 , MGL , C , 1 , 16/07/2009 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 3 , GSPCL , C , 1 , 24/03/2005 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 3 , GSPCL , C , 1 , 21/04/2006 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 3 , GSPCL , C , 1 , 16/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 3 , GSPCL , C , 2 , 21/04/2006 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 3 , GSPCL , C , 3 , 16/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 1 , 08/03/2007 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 2 , 01/07/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 2 , 28/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 3 , 01/07/2022 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 4 , 01/06/2023 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 5 , 01/06/2023 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 5 , 01/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 6 , 01/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 7 , 01/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 4 , Gail , C , 8 , 28/05/2024 00:00:00, 	(25-FEB-2025 17:54:09)
