

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(28-MAY-2025 11:31:18)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,TIMESTAMP,
2,20,76,25/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,54,47,27/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,48,27/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,76,31/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,76,03/06/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,1,,16/06/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,20,76,18/06/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,78,01/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,44,02/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,44,05/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,209,16/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,79,19/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,44,23/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,1,114,24/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,16,214,26/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,53,163,29/07/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,54,,05/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,55,208,05/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,24,69,11/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,82,162,21/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,56,116,22/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,84,215,23/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,57,,25/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,111,217,28/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,2,49,29/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,7,,29/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,84,117,31/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,112,51,31/08/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,01/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,24,217,04/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,56,215,05/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,54,,05/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,7,50,06/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,209,06/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,8,50,10/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,57,46,10/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,54,211,11/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,9,52,21/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,24,218,27/09/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,02/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,02/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,24,217,04/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,24,218,05/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,113,219,11/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,80,221,12/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,80,220,12/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,19,164,13/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,1,161,17/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,21,122,20/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,79,123,24/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,47,124,25/10/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,47,220,09/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,113,208,10/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,11,124,11/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,21,122,11/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,7,219,19/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,22/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,113,52,25/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,26/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,26/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,26/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,79,28/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,113,80,30/11/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,1,42,04/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,57,47,06/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,44,08/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,22,219,09/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,13/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,15/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,54,46,15/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,44,17/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,24/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,79,26/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,53,30/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,47,220,30/12/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,03/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,120,09/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
