

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(28-MAY-2025 11:31:18)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,TIMESTAMP,
2,58,85,26/09/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,44,129,29/09/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,71,29/09/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,45,84,30/09/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,5,83,30/09/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,01/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,110,165,02/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,226,02/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,226,02/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,167,02/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,03/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,113,51,04/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,21,,04/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,38,182,06/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,70,173,07/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,71,222,09/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,85,09/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,10/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,38,96,11/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,38,182,11/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,122,173,13/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,13/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,123,137,14/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,45,101,14/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,71,17/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,19/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,15,208,20/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,13,74,23/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,38,89,23/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,45,84,25/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,25/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,27/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,44,168,30/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,21,4,30/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,99,,31/10/2023 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,46,63,01/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,45,101,01/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,108,198,02/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,23,107,02/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,113,135,05/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,99,108,06/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,07/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,23,107,09/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,12/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,14/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,108,226,15/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,16/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,13,104,17/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,133,18/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,198,20/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,198,20/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,59,121,21/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,7,,23/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,167,24/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,4,226,26/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,71,6,29/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,112,7,29/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,29/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,46,197,30/11/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,120,74,01/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,01/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,133,04/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,10,109,05/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,108,226,09/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,46,199,11/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,11/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,123,198,12/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,46,197,14/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,71,14/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,75,6,16/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,26,71,19/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,19/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,21/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,74,215,22/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,23/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,65,64,24/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,120,1,25/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,117,30/12/2023 00:00:00, 	(28-MAY-2025 11:31:18)
2,21,196,02/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,34,193,02/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,35,98,02/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,76,200,03/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,03/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,73,202,05/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,71,128,05/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,42,198,05/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,3,111,06/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,23,111,06/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,37,91,07/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,108,137,07/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,80,11,07/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,37,9,07/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,65,198,13/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,31,226,17/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,32,86,17/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,18/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,18/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,124,107,22/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,25,203,22/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,23/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,129,24/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,76,98,26/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,35,200,26/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,76,200,26/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,76,98,26/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,35,98,26/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,76,200,26/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,76,98,26/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,66,220,31/01/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,01/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,01/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,52,204,02/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,110,205,03/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,110,165,03/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,03/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,75,84,05/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,129,05/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,06/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,09/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,133,11/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,37,8,12/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,100,207,12/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,73,201,12/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,100,150,12/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,35,98,12/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,66,65,13/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,76,200,13/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,13/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,14/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,15/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,15/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,59,121,15/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,35,13,18/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,18/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,19/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,47,14,20/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,20/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,23/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,46,1,24/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,120,74,24/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,129,26/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,26/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,73,88,28/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,133,28/02/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,02/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,45,6,04/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,16,04/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,04/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,124,210,05/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,133,06/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,46,1,07/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,129,08/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,55,51,10/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,13/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,133,15/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,56,54,18/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,124,107,18/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,18/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,18/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,121,19/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,35,21/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,28,34,21/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,1,46,22/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,110,205,22/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,125,136,23/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,44,234,24/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,15,101,28/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,31,37,28/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,79,38,28/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,129,28/03/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,01/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,26,226,02/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,05/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,31,07/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,07/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,32,48,08/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,26,21,10/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,26,226,10/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,11/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,47,32,17/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,17/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,15,208,18/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,45,101,19/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,129,19/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,20/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,23/04/2024 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,129,25/04/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,80,10,28/04/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,37,2,28/04/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,197,29/04/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,29/04/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,28,236,30/04/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,167,02/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,04/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,32,37,06/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,167,08/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,129,09/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,31,120,13/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,86,3,13/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,13,74,13/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,13/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,167,17/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,199,18/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,129,24/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,27/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,167,28/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,217,29/05/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,129,04/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,13,104,05/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,05/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,133,06/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,129,10/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,197,11/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,167,15/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,17/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,158,18/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,197,18/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,1,18/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,217,23/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,129,25/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,28/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,74,29/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,197,29/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,201,30/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,30/06/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,74,01/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,129,02/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,129,03/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,199,04/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,129,04/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,197,09/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,129,09/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,10/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,133,12/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,15,6,13/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,30,144,14/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,80,61,14/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,38,12,15/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,66,202,15/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,31,79,18/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,15,208,27/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,32,86,28/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,60,225,29/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,112,7,29/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,30/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,86,145,31/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,31/07/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,217,02/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,86,145,04/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,32,28,07/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,07/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,217,08/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,11/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,74,13/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,199,14/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,124,210,16/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,201,17/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,217,20/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,22/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,217,23/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,1,28/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,120,197,29/08/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,86,3,02/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,217,05/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,28,17,06/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,133,06/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,86,35,07/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,217,08/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,28,39,10/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,10/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,11/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,14,10,13/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,40,10,13/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,217,13/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,14/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,15/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,71,127,16/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,40,10,17/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,14,10,18/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,19/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,40,10,20/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,217,21/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,40,10,22/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,23,210,24/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,124,107,24/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,24/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,60,225,25/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,25/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,10,175,26/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,7,236,28/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,7,,28/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)	 (Not Inserted)
2,7,,28/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)	 (Not Inserted)
2,58,116,30/09/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,01/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,106,10,03/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,217,03/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,106,26,04/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,86,27,05/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,79,123,05/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,08/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,31,37,10/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,217,11/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,12/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,217,15/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,15/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,18/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,110,165,19/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,20/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,129,23/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,117,24/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,26/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,60,135,29/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,60,194,29/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,75,84,31/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,75,6,31/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,75,6,31/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)	 (Not Inserted)
2,75,6,31/10/2024 00:00:00, 	(28-MAY-2025 11:31:19)	 (Not Inserted)
2,58,116,01/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,06/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,2,38,07/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,2,29,07/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,08/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,158,11/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,199,11/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,1,11/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,46,19,17/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,31,209,18/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,31,209,18/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)	 (Not Inserted)
2,120,74,25/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,25/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,57,29,27/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,27/11/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,65,86,05/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,23,219,12/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,13/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,65,,19/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)	 (Not Inserted)
2,23,210,21/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,65,20,23/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,24/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,65,,25/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)	 (Not Inserted)
2,59,121,25/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,133,26/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,65,20,28/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,23,111,29/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,75,84,31/12/2024 00:00:00, 	(28-MAY-2025 11:31:19)
2,13,79,05/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,15,6,06/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,09/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,116,11/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,13/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,13,197,14/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,42,33,14/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,14/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,133,15/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,116,19/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,124,107,21/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,117,22/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,121,26/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,133,28/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,59,133,29/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
2,58,121,29/01/2025 00:00:00, 	(28-MAY-2025 11:31:19)
