

<<START>>,<<FMS_GTA_CONT_MST>>,, 	(28-AUG-2025 10:33:06)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,CONT_NAME,CONT_REF,CUSTOMER_CD,ENT_PT,EXIT_PT,AGMT_TYPE,TIMESTAMP,
2,4 , 1,0,93,0,C,Gail-SEIPL-GTA1-REV0 C93-REV0,1-1-1601-81L126-0-1-0-1,5,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,94,0,C,Gail-SEIPL-GTA1-REV0 C94-REV0,1-1-1604-1133L6-0-1-0-3,105,4,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,95,0,C,Gail-SEIPL-GTA1-REV0 C95-REV0,1-1-1604-333S1-0-33-0-3,20,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,96,0,C,Gail-SEIPL-GTA1-REV0 C96-REV0,1-1-1601-1133L6-0-1-0-3,105,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,97,0,C,Gail-SEIPL-GTA1-REV0 C97-REV0,1-1-1604-333S1-0-29-0-3,20,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,98,0,C,Gail-SEIPL-GTA1-REV0 C98-REV0,1-1-1603-1001S1-0-2-0-1,54,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,99,0,C,Gail-SEIPL-GTA1-REV0 C99-REV0,1-1-1604-893S1-0-3-0-3,50,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,100,0,C,Gail-SEIPL-GTA1-REV0 C100-REV0,1-1-1603-893S1-0-3-0-3,50,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,101,0,C,Gail-SEIPL-GTA1-REV0 C101-REV0,1-1-1601-1201L3-0-1-0-1,107,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,102,0,C,Gail-SEIPL-GTA1-REV0 C102-REV0,1-1-1601-332S1-0-30-1-2,20,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,103,0,C,Gail-SEIPL-GTA1-REV0 C103-REV0,1-1-1601-81L124-0-1-0-1,5,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,104,0,C,Gail-SEIPL-GTA1-REV0 C104-REV0,1-1-1603-701S1-0-7-0-1,39,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,105,0,C,Gail-SEIPL-GTA1-REV0 C105-REV0,1-1-1601-82L124-0-1-0-2,5,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,106,0,C,Gail-SEIPL-GTA1-REV0 C106-REV0,1-1-1606-701S1-0-7-0-1,39,6,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,107,0,C,Gail-SEIPL-GTA1-REV0 C107-REV0,1-1-1606-892L4-0-1-0-2,50,6,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,108,0,C,Gail-SEIPL-GTA1-REV0 C108-REV0,1-1-1601-91L34-0-1-0-1,6,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,109,0,C,Gail-SEIPL-GTA1-REV0 C109-REV0,1-1-1601-892L4-0-1-0-2,50,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,110,0,C,Gail-SEIPL-GTA1-REV0 C110-REV0,1-1-1603-892S1-0-3-0-2,50,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,111,0,C,Gail-SEIPL-GTA1-REV0 C111-REV0,1-1-1606-91L34-0-1-0-1,6,6,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,112,0,C,Gail-SEIPL-GTA1-REV0 C112-REV0,1-1-1603-1132L6-0-1-0-2,105,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,113,0,C,Gail-SEIPL-GTA1-REV0 C113-REV0,1-1-1603-1131L6-0-1-0-1,105,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,114,0,C,Gail-SEIPL-GTA1-REV0 C114-REV0,1-1-1601-1161L4-0-1-0-1,158,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,115,0,C,Gail-SEIPL-GTA1-REV0 C115-REV0,1-1-1601-892S1-0-3-0-2,50,1,2,G, 	(28-AUG-2025 10:33:07)
