

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(09-APR-2025 19:49:16)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2,27 , IFFCO , C , 3 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,27 , IFFCO , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,27 , IFFCO , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,28 , HGL-RLNG , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 10 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 11 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 5 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 7 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 3 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 6 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 9 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 4 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,29 , PipeInfra , C , 8 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,30 , NFL , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,30 , NFL , C , 3 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,30 , NFL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,31 , HSIL , C , 1 , 3 , 01/07/2024 00:00:00, 	(09-APR-2025 19:49:16)
2,31 , HSIL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,31 , HSIL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2, , VVF , C , 3 , 1 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,32 , KFL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,32 , KFL , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,197 , BIL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,254 , RIPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,207 , CP , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,207 , CP , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
