

<<START>>,<<FMS_TRADER_CN_MST>>,,,,, 	(03-JUL-2025 15:48:01)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_REF(Mandate Conform no),TIMESTAMP
2, 256:SITME,  M , 1,  0 , N, 711007, 0,11003, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 711008, 0,11004, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 711009, 0,11005, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 711010, 0,11007, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714001, 0,14001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714002, 0,14002, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714003, 0,14003, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714004, 0,14004, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714005, 0,14005, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714006, 0,14006, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714007, 0,14007, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 714008, 0,14008, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 715001, 0,14009, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 715002, 0,15001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 716001, 0,16001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 717001, 0,17001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719001, 0,19001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719002, 0,19002, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719003, 0,19003, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719004, 0,19004, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719005, 0,19005, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719006, 0,19006, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719007, 0,19007, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719008, 0,19008, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719009, 0,19009, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719010, 0,19010, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719011, 0,19011, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719012, 0,19012, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719013, 0,19013, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719014, 0,19014, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 719015, 0,19015, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720001, 0,19016, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720002, 0,19017, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720003, 0,19018, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720004, 0,19020, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720005, 0,19019, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720006, 0,19021, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720007, 0,19022, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720008, 0,19023, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720009, 0,19024, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720010, 0,19025, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720011, 0,19026, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720012, 0,19027, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720013, 0,19028, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720014, 0,19029, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720015, 0,19030, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720016, 0,20001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720017, 0,20002, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720018, 0,20003, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720019, 0,20005, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720020, 0,20007, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720021, 0,20010, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720022, 0,20011, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720023, 0,20012, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720024, 0,20013, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720025, 0,20014, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720026, 0,20015, 	(03-JUL-2025 15:48:02)
