

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(14-MAY-2025 13:33:36)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
2, 116,  M , 1,  0 , N, 710078, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710079, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710080, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710081, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710082, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 721001, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 721002, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 721003, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 721004, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 721005, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 722001, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 722002, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710083, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710084, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710085, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710086, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710087, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710088, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710089, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710090, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710091, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710092, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710093, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710094, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710095, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710096, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710097, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710098, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 710099, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 711004, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 711005, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 711006, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 711007, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 711008, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 711009, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 711010, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714001, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714002, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714003, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714004, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714005, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714006, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714007, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 714008, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 715001, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , ,  0 , N, 715002, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 256,  M , 1,  0 , N, 715002, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 716001, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 717001, 0, 	(14-MAY-2025 13:33:37)
2, 256,  M , 1,  0 , N, 719001, 0, 	(14-MAY-2025 13:33:37)
