

GLASS/CERAMICS ETC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PACKING MATERIALS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PLASTIC INDUSTRIES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
LEATHER,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PROCESSOR,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
TOBACCO PRODUCTS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
INDUS. MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
COTTON MILLS HOSIERY,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
JUTE MILLS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SYN.FIBRE/RAYON MF,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
TEXTI. MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PET.EXPLO&PROD,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
IRON ORE,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
COAL,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
BAUXITE,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
MANGANESE,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
STONE QUARRYING,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
MINING MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
POST & TELEGRAPHS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
STATE ELEC. BOARDS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
CATERING & HOTELS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
UNIVERSITIES ETC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
LAUNDRIES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
REFINERIES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
TPP-OIL,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
HYDEL POWER PLANTS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
ATOMIC POWER PLANTS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
GAS TURBINES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
POWER MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
RAILWAYS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
OTHER ROAD TRANSPORT,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
STATE ROAD TRANSPORT,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SHIP. COASTAL,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SHIP. INTERNATIONAL,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
INLAND WATERWAYS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
OTHERS (PORT TRUST),, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
DOMESTIC DIST.,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
INDUSTRIAL DIST.,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
OWN CONSUMPTION,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PARALLEL MARKETERS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
TEA PLANTATION,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
RUBBER/COFFEE ETC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FORESTRY&TIMBER,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
AGRI.CROPS/ORCHARD,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SUGAR MILLS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FLOUR MILLS ETC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
VEG. OIL MILLS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FOOD PROCESSING,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
DAIRIES&MILK PROC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FISHERIES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
AGRI. MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
DOMESTIC AIRLINES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FOREIGN AIRLINES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
DAIRIES&MILK PROC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
CAUSTIC SODA ETC.,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
HEAVY ACIDS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
OTHER INORG.CHEM,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PETRO-CHEM OTHERS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PETROCHEM -GAS BASED,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
DYES & DYE STUFFS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SYNTHETIC RUBBER,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PESTI./AGRO CHEM,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
OTHER ORG.CHEMICAL,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
DRUGS&PHARMACEUTICAL,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PAINTS ETC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
INDU EXPLOSIVE,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
CALCINATION PLANTS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SOAPS ETC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
MISC CHEM INDU,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
CEMENT/BUILD MAT,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
BITUMEN/BUILD.MAT,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
CIVIL MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
LDC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,97, 	(26-FEB-2025 11:08:30)
 

TOTAL DATA INSERTED : ,0, 	(26-FEB-2025 11:08:30)
 

TOTAL SKIPPED DATA ,97, 	(26-FEB-2025 11:08:30)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(26-FEB-2025 11:08:30)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(26-FEB-2025 11:08:30)
 
ABBR,,TIMESTAMP

TOTAL DATA IN EXCEL : ,97, 	(26-FEB-2025 11:08:30)
 

TOTAL DATA INSERTED : ,0, 	(26-FEB-2025 11:08:30)
 

TOTAL SKIPPED DATA ,0, 	(26-FEB-2025 11:08:30)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(26-FEB-2025 11:08:30)
 
