

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(18-FEB-2025 10:26:50)
 
CD,NAME,EFF_DT,TIMESTAMP
14 ,SBI RATE BUY SELL , 26/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 27/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 27/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 27/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 28/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 28/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 28/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 11/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 12/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 12/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 12/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 13/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 13/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 13/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 14/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 16/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 16/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 16/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 17/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 17/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
