

<<START>>,<<FMS_INVOICE_MST_CR_DR>>,, 	(03-FEB-2026 10:35:17)
 
COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,INVOICE_NO,INVOICE_SEQ,REF_NO,TIMESTAMP,
2,7,2022-2023,2,0,5,0,S,DMH001/22-23,646,SMH0049/22-23, 	(03-FEB-2026 10:35:17)
2,7,2023-2024,2,0,6,0,S,CMH001/23-24,733,SMH0003/23-24, 	(03-FEB-2026 10:35:17)
2,15,2024-2025,2,0,26,0,S,D034/24-25,589,S0253/24-25, 	(03-FEB-2026 10:35:17)
2,15,2024-2025,2,0,26,0,S,D032/24-25,590,S0242/24-25, 	(03-FEB-2026 10:35:17)
2,15,2023-2024,2,0,20,0,S,CMH016/23-24,734,SMH0185/23-24, 	(03-FEB-2026 10:35:18)
2,15,2023-2024,2,0,18,0,S,C011/23-24,743,S0087/23-24, 	(03-FEB-2026 10:35:18)
2,15,2024-2025,2,0,24,0,S,CMH012/24-25,557,SMH0049/24-25, 	(03-FEB-2026 10:35:18)
2,15,2024-2025,2,0,24,0,S,CMH013/24-25,558,SMH0054/24-25, 	(03-FEB-2026 10:35:18)
2,15,2024-2025,2,0,21,1,S,CMH004/24-25,559,SMH0014/24-25, 	(03-FEB-2026 10:35:18)
2,15,2023-2024,2,0,20,0,S,DMH034/23-24,735,SMH0178/23-24, 	(03-FEB-2026 10:35:18)
2,18,2019-2020,1,0,3,0,S,D008/19-20,898,0097/19-20, 	(03-FEB-2026 10:35:18)
2,20,2022-2023,1,0,24,0,S,DMH002/22-23,647,SMH0087/22-23, 	(03-FEB-2026 10:35:18)
2,20,2022-2023,1,0,24,0,S,DMH004/22-23,648,SMH0093/22-23, 	(03-FEB-2026 10:35:18)
2,20,2022-2023,1,0,24,0,S,DMH006/22-23,649,SMH0103/22-23, 	(03-FEB-2026 10:35:18)
2,20,2023-2024,19,0,25003,0,Q,C0001/23-24,744,L00002/23-24, 	(03-FEB-2026 10:35:18)
2,20,2019-2020,17,0,20005,0,Q,D001/19-20,899,00692/19-20, 	(03-FEB-2026 10:35:18)
2,20,2025-2026,,,,,,2CRMH0006/25-26,2,2SMH0036/25-26, 	(03-FEB-2026 10:35:18)	 (Not Inserted)
2,20,2025-2026,1,0,38,1,S,2DRMH0012/25-26,2,SMH0116/24-25, 	(03-FEB-2026 10:35:18)
2,154,2023-2024,1,0,14,2,S,DMH016/23-24,736,SMH0054/23-24, 	(03-FEB-2026 10:35:18)
2,154,2024-2025,1,0,21,0,S,CAP002/24-25,584,SAP0032/24-25, 	(03-FEB-2026 10:35:18)
2,154,2024-2025,1,0,21,0,S,CMH016/24-25,560,SMH0067/24-25, 	(03-FEB-2026 10:35:18)
2,154,2019-2020,1,0,2,0,S,D012/19-20,900,0101/19-20, 	(03-FEB-2026 10:35:18)
2,154,2024-2025,1,0,21,0,S,CAP001/24-25,585,SAP0031/24-25, 	(03-FEB-2026 10:35:18)
2,154,2025-2026,,,,,,2CRAP0003/25-26,2,2SAP0004/25-26, 	(03-FEB-2026 10:35:18)	 (Not Inserted)
2,154,2023-2024,1,0,14,2,S,CMH014/23-24,737,SMH0118/23-24, 	(03-FEB-2026 10:35:18)
2,154,2023-2024,1,0,14,1,S,DMH013/23-24,738,SMH0044/23-24, 	(03-FEB-2026 10:35:18)
2,154,2025-2026,,,,,,2DRGJ0003/25-26,25,2SGJ0088/25-26, 	(03-FEB-2026 10:35:18)	 (Not Inserted)
2,154,2025-2026,1,0,5,2,S,2DRGJ0004/25-26,25,S0110/20-21, 	(03-FEB-2026 10:35:18)
2,21,2020-2021,1,0,13,0,S,D045/20-21,956,S0235/20-21, 	(03-FEB-2026 10:35:19)
2,21,2020-2021,1,0,13,0,S,D048/20-21,957,S0254/20-21, 	(03-FEB-2026 10:35:19)
2,21,2019-2020,1,0,2,1,S,D009/19-20,901,0098/19-20, 	(03-FEB-2026 10:35:19)
2,21,2019-2020,1,0,11,0,S,D010/19-20,902,0099/19-20, 	(03-FEB-2026 10:35:19)
2,23,2023-2024,1,0,14,0,S,C012/23-24,745,S0083/23-24, 	(03-FEB-2026 10:35:19)
2,23,2023-2024,1,0,14,0,S,C013/23-24,746,S0084/23-24, 	(03-FEB-2026 10:35:19)
2,24,2021-2022,1,0,3,0,S,D001/21-22,518,S0371/20-21, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,D022/23-24,747,S0215/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,D024/23-24,748,S0262/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,C036/23-24,749,S0390/23-24, 	(03-FEB-2026 10:35:19)
2,24,2024-2025,1,0,9,0,S,D020/24-25,591,S0161/24-25, 	(03-FEB-2026 10:35:19)
2,24,2024-2025,1,0,8,0,S,C005/24-25,592,S0180/24-25, 	(03-FEB-2026 10:35:19)
2,24,2024-2025,1,0,8,0,S,C003/24-25,593,S0145/24-25, 	(03-FEB-2026 10:35:19)
2,24,2024-2025,1,0,8,0,S,C006/24-25,594,S0193/24-25, 	(03-FEB-2026 10:35:19)
2,24,2024-2025,1,0,8,0,S,C004/24-25,595,S0160/24-25, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,C040/23-24,750,S0403/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,D014/23-24,751,S0190/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,D032/23-24,752,S0350/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,D039/23-24,753,S0370/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,5,0,S,D001/23-24,754,S0061/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,D010/23-24,755,S0175/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,C028/23-24,756,S0228/23-24, 	(03-FEB-2026 10:35:19)
2,24,2023-2024,1,0,6,0,S,D026/23-24,757,S0320/23-24, 	(03-FEB-2026 10:35:19)
2,24,2024-2025,1,0,6,1,S,D002/24-25,596,S0438/23-24, 	(03-FEB-2026 10:35:20)
2,24,2024-2025,1,0,8,0,S,C008/24-25,597,S0201/24-25, 	(03-FEB-2026 10:35:20)
2,24,2024-2025,1,0,7,0,S,D022/24-25,598,S0179/24-25, 	(03-FEB-2026 10:35:20)
2,24,2024-2025,1,0,7,0,S,D007/24-25,599,S0065/24-25, 	(03-FEB-2026 10:35:20)
2,24,2023-2024,1,0,6,0,S,D008/23-24,758,S0166/23-24, 	(03-FEB-2026 10:35:20)
2,25,2022-2023,1,0,8,0,S,D004/22-23,673,S0022/22-23, 	(03-FEB-2026 10:35:20)
2,25,2023-2024,1,0,5,0,S,C005/23-24,759,S0004/23-24, 	(03-FEB-2026 10:35:20)
2,25,2024-2025,1,0,9,0,S,DMH025/24-25,561,SMH0065/24-25, 	(03-FEB-2026 10:35:20)
2,25,2024-2025,1,0,9,0,S,DMH029/24-25,562,SMH0070/24-25, 	(03-FEB-2026 10:35:20)
2,25,2024-2025,1,0,9,0,S,DMH016/24-25,563,SMH0044/24-25, 	(03-FEB-2026 10:35:20)
