

<<START>>,<<FMS_SECURITY_MST(P)>>,,,, 	(04-JUL-2025 11:50:23)
 
COMPANY_CD,CD,SEQ_NO,SEQ_REV_NO,GX,CONT_REF_NO,SEC_REF_NO,TIMESTAMP
TOTAL DATA IN EXCEL : 118 	(04-JUL-2025 11:50:23)
 

TOTAL DATA INSERTED : 108 	(04-JUL-2025 11:50:23)
 

TOTAL SKIPPED DATA 10 	(04-JUL-2025 11:50:23)
 
<<END>><<FMS_SECURITY_MST(P)>> 	(04-JUL-2025 11:50:23)
 
