

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 15:54:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO,TIMESTAMP,
2,5,,,,,,4,3, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,6, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,6,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,7,2,0,5,0,,4,4, 	(04-JUN-2025 15:54:00)
2,7,2,0,5,0,,4,2, 	(04-JUN-2025 15:54:00)
2,7,2,0,6,0,,4,2, 	(04-JUN-2025 15:54:00)
2,7,2,0,6,0,,4,4, 	(04-JUN-2025 15:54:00)
2,11,,,,,,45,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,11,,,,,,45,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,2,0,17,0,,4,1, 	(04-JUN-2025 15:54:00)
2,13,2,0,17,0,,4,4, 	(04-JUN-2025 15:54:00)
2,13,2,0,18,0,,4,3, 	(04-JUN-2025 15:54:00)
2,13,2,0,19,0,,4,1, 	(04-JUN-2025 15:54:00)
2,13,2,0,15,0,,4,1, 	(04-JUN-2025 15:54:00)
2,13,2,0,16,0,,4,3, 	(04-JUN-2025 15:54:00)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
