

<<START>>,<<FMS_SECURITY_MST(P)>>,,,, 	(28-MAY-2025 11:29:45)
 
COMPANY_CD,CD,SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2,null ,70 ,, ,SITMEFZ-3-2-N-24003-13,SITMEFZ-S-11, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,71 ,, ,SITMEFZ-3-3-N-24004-13,SITMEFZ-S-12, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,72 ,, ,ESSAREX-2-1-T-24005-1,ESSAREX-S-4, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,73 ,, ,RIL-2-1-D-23012-21,RIL-D6-S-1, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,74 ,, ,RIL-2-2-D-23013-21,RIL-D6-S-2, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,75 ,, ,SEMTPL-14-1-D-24008-2,SEMTIPL-S-36, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,76 ,, ,SEMTPL-15-1-D-24012-0,SEMTIPL-S-43, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,77 ,, ,SEMTPL-16-1-D-24012-0,SEMTIPL-S-43, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,78 ,, ,SEMTPL-17-1-D-24012-0,SEMTIPL-S-43, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,79 ,, ,SEMTPL-18-1-D-24012-1,SEMTIPL-S-43, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,80 ,, ,SITMEFZ-18-1-N-25001-1,SITMEFZ-S-18, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,20 ,81, 0 ,K,AMNS-9-1-T-25002-0,AMNS-S-44, 	(28-MAY-2025 11:29:45)
2,null ,82 ,, ,RIL-5-1-D-24014-1,RIL-D6-S-6, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,83 ,, ,SITMEFZ-5-1-N-24011-1,SITMEFZ-S-16, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,84 ,, ,SEMTPL-19-1-T-24013-2,SEMTIPL-S-44, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,85 ,, ,SITMEFZ-19-1-N-24006-2,SITMEFZ-S-13, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,86 ,, ,SEMTPL-13-1-D-24007-0,SEMTIPL-S-35, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,87 ,, ,SITMEFZ-13-1-N-24010-0,SITMEFZ-S-14, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,88 ,, ,SITMEFZ-13-1-N-24010-0,SITMEFZ-S-15, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,20 ,89, 0 ,K,AMNS-7-1-T-23037-1,AMNS-S-31, 	(28-MAY-2025 11:29:45)
2,20 ,90, 0 ,K,AMNS-7-1-T-23037-1,AMNS-S-32, 	(28-MAY-2025 11:29:45)
2,null ,91 ,, ,SITMEFZ-7-1-N-23040-1,SITMEFZ-S-9, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,20 ,92, 0 ,K,AMNS-8-1-T-24001-1,AMNS-S-38, 	(28-MAY-2025 11:29:45)
2,20 ,93, 0 ,K,AMNS-8-1-T-24001-1,AMNS-S-41, 	(28-MAY-2025 11:29:45)
2,null ,94 ,, ,SITMEFZ-8-1-N-24015-1,SITMEFZ-S-17, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,95 ,, ,SITMEFZ-8-1-N-25003-1,SITMEFZ-S-19, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,96 ,, ,SEMTPL-14-1-D-24009-2,SEMTIPL-S-38, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,97 ,, ,SEMTPL-14-1-N-24010-2,SEMTIPL-S-39, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,98 ,, ,SEMTPL-20-1-D-25004-0,SEMTIPL-S-46, 	(28-MAY-2025 11:29:45)	 (Not Inserted)

TOTAL DATA IN EXCEL : 98 	(28-MAY-2025 11:29:45)
 

TOTAL DATA INSERTED : 37 	(28-MAY-2025 11:29:45)
 

TOTAL SKIPPED DATA 61 	(28-MAY-2025 11:29:45)
 
<<END>><<FMS_SECURITY_MST(P)>> 	(28-MAY-2025 11:29:45)
 
