

<<START>>,<<FMS_TRADER_AGMT_MST>>,,,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_MST>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_AGMT_PLANT>>, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_PLANT>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_AGMT_BU>>, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_BU>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_CN_MST>>,,,,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_REF,TIMESTAMP
2, 256,  M , 1,  0 , N, 711010, 0,11007, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714001, 0,14001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714002, 0,14002, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714003, 0,14003, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714004, 0,14004, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714005, 0,14005, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714006, 0,14006, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714007, 0,14007, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 714008, 0,14008, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 715001, 0,14009, 	(04-JUN-2025 09:16:01)
2, 256,  M , ,  0 , N, 715002, 0,14009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0,14009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0,14009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0,14009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 256,  M , ,  0 , N, 715002, 0,14009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 256,  M , 1,  0 , N, 715002, 0,15001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 716001, 0,16001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 717001, 0,17001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719001, 0,19001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719002, 0,19002, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719003, 0,19003, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719004, 0,19004, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719005, 0,19005, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719006, 0,19006, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719007, 0,19007, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719008, 0,19008, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719009, 0,19009, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719010, 0,19010, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719011, 0,19011, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719012, 0,19012, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719013, 0,19013, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719014, 0,19014, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 719015, 0,19015, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720001, 0,19016, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720002, 0,19017, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720003, 0,19018, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720004, 0,19020, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720005, 0,19019, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720006, 0,19021, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720007, 0,19022, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720008, 0,19023, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720009, 0,19024, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 720010, 0,19025, 	(04-JUN-2025 09:16:01)
